time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,0.961855,-3.84742,-3.88589,-1.94295,5.82884
0.5,0.088721,4.45439,4.46046,-0.342095,-4.11836
1,0.41761,-1.22684,-1.23303,-0.56483,1.79787
1.5,-0.0109467,2.13184,2.14696,0.113117,-2.26007
2,-0.0139903,0.00122793,0.0163599,0.0889277,-0.105288
2.5,0.205136,-5.69977,-5.74163,-1.36871,7.11035
3,0.82697,2.08347,2.06244,-0.510925,-1.55151
3.5,1.46699,-3.37755,-3.43236,-1.24128,4.67364
4,2.46654,-0.388418,-0.447108,-1.04274,1.48985
4.5,2.06236,4.09845,4.08074,0.238131,-4.31887
5,0.517347,2.33753,2.34319,0.764397,-3.10759
5.5,0.316626,2.57673,2.60817,1.22534,-3.83351
6,-2.84643,8.1243,8.23698,2.97825,-11.2152
6.5,-5.82315,6.20549,6.38023,3.82874,-10.209
7,-1.58667,-20.733,-20.7656,-2.31984,23.0854
7.5,1.40998,-11.7531,-11.9032,-4.71568,16.6189
8,-1.88363,16.8445,16.8628,0.678948,-17.5418
8.5,-3.08628,13.8977,14.055,4.02296,-18.078
9,-1.24105,1.56146,1.73437,3.45081,-5.18518
9.5,-6.05989,-1.112,-0.950207,2.35056,-1.40035
10,-10.0484,-3.26895,-3.13985,0.977956,2.1619
10.5,-3.3634,-18.0602,-18.1117,-3.79446,21.9062
11,0.234613,-0.771475,-0.830691,-3.05352,3.88421
11.5,-3.1435,16.5496,16.6558,1.87382,-18.5297
12,-4.41554,6.89258,7.06779,3.17231,-10.2401
12.5,-3.25416,-2.28164,-2.12925,1.84692,0.282331
13,-6.36771,-5.49677,-5.39934,0.0353544,5.36399
13.5,-7.58718,-2.49591,-2.42345,-0.579346,3.00279
14,-4.42423,-0.545927,-0.478924,-0.554241,1.03316
14.5,-3.4401,2.94735,3.04382,0.345276,-3.3891
15,-3.31113,-2.98344,-2.9168,-0.470243,3.38704
15.5,-2.80011,-4.48428,-4.46248,-1.4683,5.93078
16,-5.87373,14.5856,14.7533,2.5871,-17.3404
16.5,-6.96299,2.36161,2.55288,2.57854,-5.13143
17,-4.36469,-10.9687,-10.8871,-0.787877,11.675
17.5,-4.81703,-2.22765,-2.16834,-1.13299,3.30133
18,-5.45264,-3.95877,-3.93905,-1.83451,5.77356
18.5,0.846863,-10.1913,-10.2735,-3.94424,14.2177
19,1.94856,5.76469,5.74014,-1.52315,-4.21699
19.5,-3.29582,16.322,16.4607,2.97281,-19.4335
20,-3.21819,-1.01695,-0.888448,2.0075,-1.11905
20.5,0.951868,-18.4045,-18.4601,-3.1094,21.5695
21,-0.490901,-4.31518,-4.41387,-3.43552,7.84939
21.5,-0.338531,2.71575,2.64422,-1.91558,-0.728632
22,3.57289,3.63362,3.59842,-0.537084,-3.06133
