time,measured_position,estimated_position, error, L1, L2, estimated_velocity
0.5,-4.36567,0.221802,-9.17494,0.5,0.1,-0.917494
1,1.64445,0.703751,1.88139,0.5,0.1,-0.729355
1.5,-2.14278,-0.901856,-2.48186,0.5,0.1,-0.977541
2,-0.0152182,-0.702922,1.37541,0.5,0.1,-0.84
2.5,5.9049,2.39099,7.02783,0.5,0.1,-0.137217
3,-1.2565,0.532942,-3.57888,0.5,0.1,-0.495105
3.5,4.84454,2.56497,4.55915,0.5,0.1,-0.03919
4,2.85496,2.70016,0.309583,0.5,0.1,-0.00823165
4.5,-2.03609,0.329981,-4.73213,0.5,0.1,-0.481445
5,-1.82018,-0.86546,-1.90944,0.5,0.1,-0.672389
5.5,-2.2601,-1.73088,-1.05845,0.5,0.1,-0.778234
6,-10.9707,-6.54536,-8.85073,0.5,0.1,-1.66331
6.5,-12.0286,-9.70283,-4.65162,0.5,0.1,-2.12847
7,19.1463,4.18963,29.9134,0.5,0.1,0.862868
7.5,13.1631,8.89206,8.542,0.5,0.1,1.71707
8,-18.7281,-4.48877,-28.4787,0.5,0.1,-1.1308
8.5,-16.984,-11.0191,-11.9298,0.5,0.1,-2.32379
9,-2.80251,-7.49174,9.37846,0.5,0.1,-1.38594
9.5,-4.9479,-6.5663,3.23681,0.5,0.1,-1.06226
10,-6.77944,-6.93844,0.31799,0.5,0.1,-1.03046
10.5,14.6968,3.62158,22.1505,0.5,0.1,1.18459
11,1.00609,2.60998,-3.20778,0.5,0.1,0.863811
11.5,-19.6931,-8.32558,-22.7349,0.5,0.1,-1.40968
12,-11.3081,-10.1693,-2.2777,0.5,0.1,-1.63745
12.5,-0.972516,-5.98026,10.0155,0.5,0.1,-0.635904
13,-0.870946,-3.58458,5.42727,0.5,0.1,-0.0931774
13.5,-5.09127,-4.36122,-1.46011,0.5,0.1,-0.239188
14,-3.87831,-4.17956,0.602507,0.5,0.1,-0.178937
14.5,-6.38745,-5.32824,-2.11842,0.5,0.1,-0.390779
15,-0.32769,-2.92566,5.19594,0.5,0.1,0.128815
15.5,1.68417,-0.588543,4.54542,0.5,0.1,0.583356
16,-20.4594,-10.3781,-20.1625,0.5,0.1,-1.43289
16.5,-9.3246,-10.2096,1.76997,0.5,0.1,-1.2559
17,6.60403,-2.11675,17.4416,0.5,0.1,0.488259
17.5,-2.58938,-2.231,-0.716765,0.5,0.1,0.416582
18,-1.49386,-1.75829,0.528848,0.5,0.1,0.469467
18.5,11.0381,4.75729,12.5617,0.5,0.1,1.72563
19,-3.81613,0.901986,-9.43623,0.5,0.1,0.782011
19.5,-19.6178,-9.16242,-20.9108,0.5,0.1,-1.30907
20,-2.20123,-6.00909,7.61572,0.5,0.1,-0.547499
20.5,19.3564,6.53679,25.6393,0.5,0.1,2.01643
21,3.82428,5.68464,-3.72072,0.5,0.1,1.64435
21.5,-3.05428,1.72627,-9.5611,0.5,0.1,0.688245
22,-0.0607241,1.00483,-2.13111,0.5,0.1,0.475134
22.5,-3.94575,-1.35167,-5.18815,0.5,0.1,-0.0436811
23,-9.16838,-5.27095,-7.79486,0.5,0.1,-0.823168
23.5,7.65241,0.984938,13.3349,0.5,0.1,0.510326
24,10.9084,6.07424,9.66828,0.5,0.1,1.47715
24.5,1.56374,4.18828,-5.24908,0.5,0.1,0.952246
25,6.49308,5.57874,1.82868,0.5,0.1,1.13511
25.5,-0.901913,2.62219,-7.04821,0.5,0.1,0.430293
26,3.00661,2.92197,0.169272,0.5,0.1,0.44722
26.5,9.22382,6.1847,6.07824,0.5,0.1,1.05504
27,-0.643339,3.03444,-7.35556,0.5,0.1,0.319488
27.5,-7.95641,-2.38111,-11.1506,0.5,0.1,-0.795573
28,10.9223,4.07172,13.7012,0.5,0.1,0.574552
28.5,19.628,11.9935,15.269,0.5,0.1,2.10145
29,0.821923,6.93307,-12.2223,0.5,0.1,0.879222
29.5,-7.92503,-0.276173,-15.2977,0.5,0.1,-0.650549
30,5.2586,2.32858,5.86005,0.5,0.1,-0.0645443
30.5,-0.194048,1.05113,-2.49035,0.5,0.1,-0.31358
31,0.09909,0.496715,-0.795249,0.5,0.1,-0.393105
31.5,18.394,9.34709,18.0939,0.5,0.1,1.41628
32,18.8605,14.4579,8.80526,0.5,0.1,2.29681
32.5,-6.35826,4.624,-21.9645,0.5,0.1,0.100355
33,-13.6207,-4.47328,-18.2949,0.5,0.1,-1.72914
33.5,5.81978,0.240963,11.1576,0.5,0.1,-0.613375
34,8.17408,4.05418,8.2398,0.5,0.1,0.210605
34.5,8.60717,6.38332,4.44769,0.5,0.1,0.655374
35,5.5525,6.13176,-1.15851,0.5,0.1,0.539523
35.5,4.86755,5.63453,-1.53397,0.5,0.1,0.386126
36,0.144127,2.98586,-5.68347,0.5,0.1,-0.182221
36.5,3.19016,3.04245,0.295407,0.5,0.1,-0.15268
37,1.41636,2.19124,-1.54976,0.5,0.1,-0.307656
37.5,-7.41726,-2.68992,-9.45467,0.5,0.1,-1.25312
38,5.31225,0.997882,8.62874,0.5,0.1,-0.390249
38.5,2.60672,1.70474,1.80396,0.5,0.1,-0.209852
39,-1.1028,0.248505,-2.70262,0.5,0.1,-0.480114
39.5,9.9319,4.97017,9.92345,0.5,0.1,0.512231
40,7.20254,6.21442,1.97625,0.5,0.1,0.709856
40.5,-17.8013,-5.61599,-24.3707,0.5,0.1,-1.72721
41,-18.7886,-12.6341,-12.309,0.5,0.1,-2.95811
41.5,12.9755,-0.568832,27.0886,0.5,0.1,-0.249247
42,12.3298,5.81815,13.0232,0.5,0.1,1.05307
42.5,-5.50876,0.417963,-11.8534,0.5,0.1,-0.132271
43,0.352836,0.352332,0.0010086,0.5,0.1,-0.13217
43.5,-6.15456,-2.93415,-6.4408,0.5,0.1,-0.77625
44,-19.5586,-11.4404,-16.2363,0.5,0.1,-2.39988
44.5,-10.9987,-11.8196,1.64164,0.5,0.1,-2.23572
45,13.1563,0.109465,26.0938,0.5,0.1,0.373659
45.5,1.10043,0.698363,0.804139,0.5,0.1,0.454073
46,-10.7154,-4.89501,-11.6408,0.5,0.1,-0.710009
46.5,-2.73971,-3.99486,2.5103,0.5,0.1,-0.458979
47,-10.611,-7.41768,-6.38666,0.5,0.1,-1.09764
47.5,-6.05887,-7.01269,1.90764,0.5,0.1,-0.906881
