n,angular_velocity,amplitude,phase
0,0,0.255361,3.14159
1,0.0628319,0.64262,3.11526
2,0.125664,1.15767,-2.80675
3,0.188496,4.53311,0.43986
4,0.251327,0.5396,1.15986
5,0.314159,0.324551,0.483943
6,0.376991,0.187105,-1.43106
7,0.439823,0.159909,1.66508
8,0.502655,0.163189,1.27243
9,0.565487,0.252236,1.42771
