time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.5,7.01423,4.89076,10.6173,0.8,0.2,2.12347
1,0.543752,1.6255,-5.40874,0.8,0.2,1.04172
1.5,0.899251,1.14867,-1.24711,0.8,0.2,0.7923
2,6.2612,5.31793,4.71638,0.8,0.2,1.73558
2.5,-1.97811,-0.345346,-8.16382,0.8,0.2,0.102811
3,1.08206,0.806863,1.376,0.8,0.2,0.378012
3.5,3.55131,3.04022,2.55544,0.8,0.2,0.889101
4,1.3502,1.77712,-2.13457,0.8,0.2,0.462186
4.5,4.5557,4.0462,2.54749,0.8,0.2,0.971685
5,1.72451,2.28602,-2.80753,0.8,0.2,0.410178
5.5,1.88765,2.00834,-0.603462,0.8,0.2,0.289486
6,-4.94892,-3.52852,-7.102,0.8,0.2,-1.13091
6.5,-1.50461,-2.02248,2.58937,0.8,0.2,-0.613041
7,-10.36,-8.75381,-8.03101,0.8,0.2,-2.21924
7.5,0.05624,-1.9277,9.91968,0.8,0.2,-0.235309
8,-5.94578,-5.16569,-3.90043,0.8,0.2,-1.01539
8.5,-0.281803,-1.36012,5.39158,0.8,0.2,0.0629228
9,4.57094,3.39102,5.8996,0.8,0.2,1.24284
9.5,-2.12681,-0.898959,-6.13925,0.8,0.2,0.0149924
10,3.04599,2.2585,3.93745,0.8,0.2,0.802482
10.5,-0.270865,0.315256,-2.9306,0.8,0.2,0.216362
11,3.196,2.64148,2.77256,0.8,0.2,0.770874
11.5,-5.66534,-3.92689,-8.69226,0.8,0.2,-0.967578
12,9.55856,6.76472,13.9692,0.8,0.2,1.82627
12.5,-3.64523,-1.38062,-11.3231,0.8,0.2,-0.438347
13,6.73321,5.06661,8.333,0.8,0.2,1.22825
13.5,5.33434,5.40362,-0.346395,0.8,0.2,1.15897
14,-2.70106,-0.964231,-8.68417,0.8,0.2,-0.57786
14.5,-4.02986,-3.47452,-2.7767,0.8,0.2,-1.1332
15,-2.52156,-2.82547,1.51956,0.8,0.2,-0.829288
15.5,-3.7958,-3.68466,-0.555681,0.8,0.2,-0.940425
16,-9.61024,-8.51917,-5.45536,0.8,0.2,-2.0315
16.5,9.27693,5.51456,18.8118,0.8,0.2,1.73087
17,-8.08279,-5.19023,-14.4628,0.8,0.2,-1.16169
17.5,1.80156,0.287031,7.57263,0.8,0.2,0.352841
18,1.93525,1.64089,1.4718,0.8,0.2,0.6472
18.5,-0.847314,-0.284953,-2.8118,0.8,0.2,0.0848396
19,-5.14606,-4.16535,-4.90352,0.8,0.2,-0.895865
19.5,6.24774,4.07554,10.861,0.8,0.2,1.27634
20,0.417119,1.27644,-4.29659,0.8,0.2,0.417023
20.5,1.96878,1.87201,0.483833,0.8,0.2,0.513789
21,9.25643,7.83092,7.12752,0.8,0.2,1.93929
21.5,4.64525,5.47632,-4.15532,0.8,0.2,1.10823
22,-1.89171,-0.307279,-7.92214,0.8,0.2,-0.476198
22.5,3.84637,2.96802,4.39175,0.8,0.2,0.402153
23,-3.93527,-2.5144,-7.10437,0.8,0.2,-1.01872
23.5,-7.76051,-6.81316,-4.73675,0.8,0.2,-1.96607
24,1.01133,-0.750179,8.80752,0.8,0.2,-0.204568
24.5,-5.614,-4.66169,-4.76154,0.8,0.2,-1.15687
25,1.30537,-0.0037322,6.54549,0.8,0.2,0.152224
25.5,-4.80765,-3.83165,-4.88003,0.8,0.2,-0.823782
26,5.89339,3.86601,10.1369,0.8,0.2,1.2036
26.5,-10.3601,-7.39451,-14.8279,0.8,0.2,-1.76198
27,4.1498,1.66474,12.4253,0.8,0.2,0.723085
27.5,-4.83544,-3.4631,-6.86173,0.8,0.2,-0.649261
28,2.64997,1.36243,6.43769,0.8,0.2,0.638278
28.5,2.31308,2.18677,0.631509,0.8,0.2,0.76458
29,5.76566,5.12634,3.1966,0.8,0.2,1.4039
29.5,8.17281,7.70391,2.34452,0.8,0.2,1.8728
30,-1.20911,0.760773,-9.84942,0.8,0.2,-0.0970811
