time,predicted_position,filtered_position,position_error
0.5,4.80927,-0.30596,-9.17494
1,-1.32089,0.171798,2.96533
1.5,-0.349108,-1.25396,-1.79368
2,-2.07534,-1.06265,2.06012
2.5,-1.58567,1.8988,7.49058
3,2.27073,0.737956,-3.52723
3.5,0.763133,2.41653,4.08141
4,2.77701,2.80655,0.0779426
4.5,3.17251,1.31352,-5.2086
5,1.3588,0.282115,-3.17898
5.5,0.151491,-0.629918,-2.41159
6,-0.883316,-4.03534,-10.0874
6.5,-4.77112,-6.97441,-7.25752
7,-8.04193,0.0309715,27.1882
7.5,0.168252,3.9637,12.9948
8,4.66525,-2.08728,-23.3934
8.5,-2.3889,-6.5678,-14.5951
9,-7.49083,-6.15559,4.68832
9.5,-6.87974,-6.33138,1.93185
10,-6.97372,-6.91868,0.194275
10.5,-7.55279,-1.25641,22.2496
11,-0.948505,-0.395677,1.95459
11.5,-0.00499317,-5.57215,-19.6881
12,-6.0155,-7.51197,-5.29262
12.5,-8.17957,-6.14185,7.20705
13,-6.50405,-4.91134,5.63311
13.5,-5.03484,-5.0508,-0.0564303
14,-5.17669,-4.80959,1.29838
14.5,-4.88047,-5.30653,-1.50698
15,-5.44125,-3.99556,5.11356
15.5,-3.91366,-2.33111,5.59783
16,-2.0121,-7.22711,-18.4473
16.5,-7.68943,-8.15168,-1.63517
17,-8.68325,-4.36181,15.2873
17.5,-4.24595,-3.77768,1.65657
18,-3.59167,-2.99868,2.09781
18.5,-2.72383,1.16625,13.762
19,2.0239,0.373111,-5.84003
19.5,0.983441,-4.83983,-20.6013
20,-5.10193,-4.282,2.90069
20.5,-4.42125,2.29985,23.7777
21,3.16753,3.35317,0.656752
21.5,4.24866,2.18438,-7.30294
22,2.77061,1.97029,-2.83133
22.5,2.43662,0.632555,-6.38237
23,0.828602,-1.99718,-9.99698
23.5,-2.22449,0.567355,9.87689
24,0.758317,3.62737,10.1501
24.5,4.24817,3.48938,-2.68443
25,3.99649,4.70219,2.49659
25.5,5.31503,3.55772,-6.21694
26,3.90729,3.6527,-0.90068
26.5,3.96413,5.45085,5.2597
27,5.98501,4.11142,-6.62835
27.5,4.36488,0.882098,-12.3213
