time,predicted_position,filtered_position,position_error
82,-0.746039,2.54727,11.651
82.5,3.06849,3.84417,2.74421
83,4.48161,2.76256,-6.0816
83.5,3.14245,4.56798,5.0432
84,5.16143,2.06969,-10.9379
84.5,2.19995,1.13019,-3.78456
85,1.10019,-0.984998,-7.37691
85.5,-1.3274,-0.127571,4.24472
86,-0.290218,-3.00078,-9.58937
86.5,-3.56952,-0.547701,10.6905
87,-0.663717,-2.2082,-5.46403
87.5,-2.55561,-2.09619,1.62533
88,-2.37476,-1.97173,1.42582
88.5,-2.18993,-3.32025,-3.99881
89,-3.70779,-1.75034,6.92501
89.5,-1.84462,-1.81158,0.116856
90,-1.90091,0.794644,9.53627
90.5,1.10915,1.31436,0.725987
91,1.65962,3.92405,8.01103
91.5,4.60855,2.21445,-8.4698
92,2.54027,3.53107,3.50523
92.5,4.00534,2.39738,-5.6886
93,2.63075,-0.124554,-9.74762
93.5,-0.303978,0.749916,3.72844
94,0.728382,-0.159067,-3.1396
94.5,-0.313556,-1.44588,-4.00589
95,-1.77001,-0.468599,4.60408
95.5,-0.597756,-0.846675,-0.88062
96,-1.01312,-3.54982,-8.97424
96.5,-4.0963,-2.51417,5.59724
97,-2.82363,-2.65943,0.580888
97.5,-2.94429,-4.24863,-4.61447
98,-4.7289,-0.860316,13.6862
98.5,-0.761007,1.18776,6.8943
99,1.57903,0.18461,-4.93314
99.5,0.36697,2.96237,9.18193
