time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
0,3.75914,-0,0,0,0,3.72192,0.990099
0.5,0.756352,-3.00278,3.30306,0.825766,0.825766,0.751087,0.497764
1,-2.02861,-5.56993,6.4272,2.22612,2.22612,-2.02753,0.332784
1.5,0.168208,6.59046,-6.39223,0.071535,0.071535,0.171243,0.250253
2,1.95787,7.15864,-7.67628,-1.86542,-1.86542,1.96746,0.200801
2.5,-0.647836,-8.62154,8.96606,0.842452,0.842452,0.0806208,0.167916
3,0.214693,1.85152,-1.69215,0.2088,0.2088,0.367551,0.144506
3.5,3.03773,3.47891,-3.66743,-0.760258,-0.760258,1.14863,0.127024
4,0.612512,-5.97992,6.38939,1.02715,1.02715,0.4091,0.113494
4.5,-1.62715,-0.45464,0.90957,0.997757,0.997757,0.153207,0.102732
5,0.482475,0.79625,-0.420946,0.643082,0.643082,0.258987,0.0939826
5.5,0.401939,1.26159,-1.01245,0.229199,0.229199,0.380822,0.0867435
6,0.858949,7.94273,-8.48786,-1.95007,-1.95007,1.0601,0.0806656
6.5,-0.0672077,-9.93098,10.379,1.13219,1.13219,0.225196,0.0754999
7,0.847173,1.64294,-1.35927,0.509325,0.509325,0.38615,0.0710635
7.5,2.10869,5.4776,-5.74169,-1.05343,-1.05343,0.870139,0.0672195
8,0.538667,-6.72523,7.13367,0.993346,0.993346,0.419478,0.0638628
8.5,-1.95484,-1.71103,2.29057,1.31765,1.31765,0.170632,0.0609119
9,1.45904,5.61218,-5.59386,-0.410227,-0.410227,0.572952,0.0583023
9.5,1.15957,-0.166794,0.201797,-0.257221,-0.257221,0.596455,0.0559824
10,-0.389914,0.228775,-0.216651,-0.247078,-0.247078,0.555613,0.0539104
10.5,-0.626443,-6.74276,7.42917,1.67198,1.67198,0.143108,0.0520522
11,0.974424,3.36404,-3.01405,0.500476,0.500476,0.354468,0.0503795
11.5,-0.320134,0.918564,-0.660423,0.210251,0.210251,0.36639,0.0488686
12,-0.680999,-0.130548,0.401744,0.258124,0.258124,0.310439,0.0474999
12.5,-0.681573,0.517567,-0.298129,0.119061,0.119061,0.288492,0.0462565
13,0.813149,-0.708747,0.999061,0.339061,0.339061,0.280185,0.0451241
13.5,0.649431,2.87045,-2.86718,-0.462499,-0.462499,0.423025,0.0440904
14,0.647233,-0.0597945,0.0690426,-0.329614,-0.329614,0.430119,0.043145
14.5,-1.18437,-8.7852,9.67296,2.17103,2.17103,-0.00956559,0.0422786
15,-0.704716,2.93898,-2.34511,1.04199,1.04199,0.083516,0.0414833
15.5,1.21713,8.4965,-8.75228,-1.40657,-1.40657,0.475962,0.040752
16,-1.05721,-6.7946,7.21828,0.749638,0.749638,0.142197,0.0400786
16.5,-2.26254,-3.17669,3.91803,1.54174,1.54174,-0.0780336,0.0394578
