time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.5,-4.36567,-2.53068,-9.17494,0.8,0.2,-1.83499
1,1.64445,0.625923,5.09262,0.8,0.2,-0.816464
1.5,-2.14278,-1.67069,-2.36048,0.8,0.2,-1.28856
2,-0.0152182,-0.475168,2.29975,0.8,0.2,-0.828609
2.5,5.9049,4.54603,6.79438,0.8,0.2,0.530266
3,-1.2565,-0.0429654,-6.06766,0.8,0.2,-0.683265
3.5,4.84454,3.79872,5.22914,0.8,0.2,0.362563
4,2.85496,3.07996,-1.12504,0.8,0.2,0.137555
4.5,-2.03609,-0.999121,-5.18483,0.8,0.2,-0.899411
5,-1.82018,-1.74591,-0.371352,0.8,0.2,-0.973681
5.5,-2.2601,-2.25463,-0.027355,0.8,0.2,-0.979152
6,-10.9707,-9.32543,-8.22652,0.8,0.2,-2.62446
6.5,-12.0286,-11.7504,-1.39098,0.8,0.2,-2.90265
7,19.1463,12.6767,32.3481,0.8,0.2,3.56696
7.5,13.1631,13.4225,-1.29712,0.8,0.2,3.30754
8,-18.7281,-11.9673,-33.8044,0.8,0.2,-3.45334
8.5,-16.984,-16.326,-3.29006,0.8,0.2,-4.11135
9,-2.80251,-5.91834,15.5791,0.8,0.2,-0.995522
9.5,-4.9479,-5.24154,1.4682,0.8,0.2,-0.701882
10,-6.77944,-6.54205,-1.18696,0.8,0.2,-0.939275
10.5,14.6968,10.3551,21.7085,0.8,0.2,3.40243
11,1.00609,3.21614,-11.0502,0.8,0.2,1.19238
11.5,-19.6931,-14.992,-23.5054,0.8,0.2,-3.5087
12,-11.3081,-12.3958,5.4382,0.8,0.2,-2.42106
12.5,-0.972516,-3.49927,12.6338,0.8,0.2,0.105698
13,-0.870946,-1.38604,2.57548,0.8,0.2,0.620794
13.5,-5.09127,-4.28815,-4.01563,0.8,0.2,-0.182332
14,-3.87831,-3.97851,0.501006,0.8,0.2,-0.0821309
14.5,-6.38745,-5.91387,-2.36787,0.8,0.2,-0.555705
15,-0.32769,-1.5005,5.86403,0.8,0.2,0.617102
15.5,1.68417,1.10894,2.87611,0.8,0.2,1.19232
16,-20.4594,-16.0265,-22.1645,0.8,0.2,-3.24057
16.5,-9.3246,-10.989,8.32216,0.8,0.2,-1.57614
17,6.60403,2.92781,18.3811,0.8,0.2,2.10009
17.5,-2.58938,-1.27594,-6.56724,0.8,0.2,0.786641
18,-1.49386,-1.37161,-0.611246,0.8,0.2,0.664392
18.5,11.0381,8.62262,12.0775,0.8,0.2,3.0799
19,-3.81613,-1.02039,-13.9787,0.8,0.2,0.28416
19.5,-19.6178,-15.8699,-18.7395,0.8,0.2,-3.46374
20,-2.20123,-5.28135,15.4006,0.8,0.2,-0.38363
20.5,19.3564,14.3905,24.8296,0.8,0.2,4.58228
21,3.82428,6.39575,-12.8574,0.8,0.2,2.01081
21.5,-3.05428,-0.963194,-10.4554,0.8,0.2,-0.0802753
22,-0.0607241,-0.249246,0.942607,0.8,0.2,0.108246
22.5,-3.94575,-3.19562,-3.75063,0.8,0.2,-0.641879
23,-9.16838,-8.03802,-5.65182,0.8,0.2,-1.77224
23.5,7.65241,4.3371,16.5765,0.8,0.2,1.54307
24,10.9084,9.74843,5.79975,0.8,0.2,2.70302
24.5,1.56374,3.47098,-9.5362,0.8,0.2,0.795776
25,6.49308,5.96824,2.62421,0.8,0.2,1.32062
25.5,-0.901913,0.604179,-7.53046,0.8,0.2,-0.185473
26,3.00661,2.50758,2.49517,0.8,0.2,0.313561
26.5,9.22382,7.91193,6.55946,0.8,0.2,1.62545
27,-0.643339,1.23026,-9.36799,0.8,0.2,-0.248145
27.5,-7.95641,-6.14389,-9.0626,0.8,0.2,-2.06067
28,10.9223,7.30303,18.0966,0.8,0.2,1.55865
28.5,19.628,17.3189,11.5456,0.8,0.2,3.86778
29,0.821923,4.50809,-18.4308,0.8,0.2,0.18161
29.5,-7.92503,-5.42024,-12.5239,0.8,0.2,-2.32317
30,5.2586,2.89052,11.8404,0.8,0.2,0.0449128
30.5,-0.194048,0.427356,-3.10702,0.8,0.2,-0.576491
31,0.09909,0.107094,-0.0400203,0.8,0.2,-0.584496
31.5,18.394,14.6782,18.5792,0.8,0.2,3.13134
32,18.8605,18.3372,2.61664,0.8,0.2,3.65467
32.5,-6.35826,-1.05371,-26.5228,0.8,0.2,-1.64988
33,-13.6207,-11.2723,-11.7421,0.8,0.2,-3.9983
33.5,5.81978,2.00153,19.0913,0.8,0.2,-0.180053
34,8.17408,6.92156,6.26258,0.8,0.2,1.07246
34.5,8.60717,8.37729,1.14937,0.8,0.2,1.30234
35,5.5525,6.24769,-3.47596,0.8,0.2,0.607146
35.5,4.86755,5.20429,-1.68371,0.8,0.2,0.270403
36,0.144127,1.1832,-5.19537,0.8,0.2,-0.768671
36.5,3.19016,2.7119,2.39129,0.8,0.2,-0.290412
37,1.41636,1.64643,-1.15034,0.8,0.2,-0.52048
37.5,-7.41726,-5.65657,-8.80344,0.8,0.2,-2.28117
38,5.31225,2.89037,12.1094,0.8,0.2,0.140712
38.5,2.60672,2.67752,-0.354004,0.8,0.2,0.0699118
39,-1.1028,-0.339747,-3.81528,0.8,0.2,-0.693145
39.5,9.9319,7.80826,10.6182,0.8,0.2,1.4305
40,7.20254,7.46673,-1.32096,0.8,0.2,1.16631
40.5,-17.8013,-12.6311,-25.8512,0.8,0.2,-4.00394
41,-18.7886,-17.9575,-4.15551,0.8,0.2,-4.83504
41.5,12.9755,6.30538,33.3504,0.8,0.2,1.83505
