time, running_average(5), position_error, PI_output, smoothed_output, total_output
45,1.09778,0.944145,0.905308,-0.9685,0.0631921
45.5,1.68413,2.79703,2.78617,-0.0298335,-2.75633
46,2.09121,-3.08038,-3.12205,-0.802889,3.92494
46.5,0.992221,3.42378,3.41635,0.251921,-3.66827
47,-0.147918,2.37243,2.38872,0.786122,-3.17484
47.5,0.320703,-2.17603,-2.1815,0.0442157,2.13729
48,0.714206,-0.140405,-0.147278,-0.00365781,0.150936
48.5,-0.454177,0.216143,0.211431,0.0501145,-0.261546
49,-0.613517,2.61475,2.63618,0.696632,-3.33282
49.5,1.11899,-5.02321,-5.052,-0.740527,5.79253
50,-0.308676,4.33293,4.34746,0.531471,-4.87893
50.5,-1.70944,4.43977,4.4987,1.52328,-6.02198
51,-1.25144,-2.8711,-2.84088,0.432237,2.40865
51.5,-1.16175,1.61807,1.66447,0.740295,-2.40476
52,-2.34147,-2.5851,-2.56455,-0.0859164,2.65047
52.5,-1.59251,-0.695692,-0.682099,-0.234962,0.917062
53,0.770573,-4.89564,-4.93101,-1.40897,6.33998
53.5,1.38463,-3.30532,-3.37374,-1.90016,5.27391
54,2.34207,0.334696,0.269626,-1.35772,1.08809
54.5,3.32428,-1.83037,-1.91375,-1.49672,3.41047
55,3.47624,3.61323,3.56599,-0.231045,-3.33495
55.5,2.24012,2.75449,2.7348,0.510415,-3.24521
56,-0.0451688,6.69134,6.73855,2.06745,-8.806
56.5,-1.75262,4.77724,4.87223,2.76864,-7.64087
57,-3.10936,-1.48029,-1.4001,1.72646,-0.326358
57.5,-4.20284,1.40154,1.49575,1.66878,-3.16453
58,-4.48609,-2.55545,-2.4868,0.629884,1.85692
58.5,-2.66618,-5.02925,-5.01089,-0.78031,5.7912
59,-0.187425,-6.05132,-6.09348,-2.1086,8.20208
59.5,1.54357,-5.48235,-5.57933,-2.97628,8.55561
60,2.87011,1.84181,1.76324,-1.7914,0.0281613
60.5,4.95553,-3.54091,-3.65488,-2.25727,5.91215
61,4.68223,3.68562,3.6085,-0.790828,-2.81768
61.5,2.33297,8.21539,8.22042,1.46199,-9.68241
62,0.406244,3.01396,3.04914,1.85877,-4.90791
62.5,-0.433491,2.73688,2.79943,2.09394,-4.89336
63,-2.92573,1.03902,1.11196,1.84844,-2.9604
63.5,-4.97643,4.28048,4.39622,2.48539,-6.88161
64,-3.04137,-6.83429,-6.78689,0.167317,6.61958
64.5,-1.96406,-4.74288,-4.74291,-1.06024,5.80315
65,-1.63861,-0.0954854,-0.0964712,-0.819297,0.915768
65.5,0.458535,-6.06244,-6.12405,-2.14548,8.26953
66,2.82306,0.257371,0.198335,-1.55953,1.3612
66.5,2.68096,-0.401492,-0.464543,-1.28578,1.75033
67,1.7108,3.78279,3.75757,-0.024945,-3.73262
67.5,2.06235,1.84772,1.84097,0.441535,-2.28251
68,1.04508,-0.389539,-0.400181,0.231106,0.169075
68.5,-0.187404,3.40932,3.43277,1.03152,-4.46429
69,-1.10608,0.404864,0.432364,0.881733,-1.3141
69.5,-0.844395,-0.0808452,-0.0541535,0.647761,-0.593608
70,-0.415213,-2.77575,-2.77682,-0.208383,2.9852
70.5,-0.778628,-0.396172,-0.4012,-0.256588,0.657787
71,-0.932013,3.43164,3.46093,0.672791,-4.13372
71.5,-0.0123367,-3.09977,-3.10148,-0.270777,3.37226
72,-0.282326,1.83117,1.84777,0.258861,-2.10664
72.5,-1.45028,2.02897,2.06586,0.71061,-2.77647
73,-1.26839,-1.79539,-1.77645,0.0888457,1.6876
73.5,-0.0326264,-1.84781,-1.84735,-0.395204,2.24256
74,0.131456,-3.77639,-3.81369,-1.24983,5.06352
74.5,0.0406079,2.60834,2.59712,-0.288089,-2.30904
75,2.15885,-4.95312,-5.01387,-1.46953,6.4834
75.5,3.22833,-2.64604,-2.73325,-1.78546,4.51871
76,2.21609,5.46208,5.42949,0.0182762,-5.44777
76.5,1.31078,1.9295,1.91621,0.492758,-2.40896
77,1.26079,4.07845,4.10594,1.39605,-5.50199
77.5,-0.670251,1.873,1.91922,1.52684,-3.44606
78,-3.92061,6.45684,6.56762,2.78704,-9.35466
78.5,-3.49695,-2.36927,-2.28218,1.51973,0.762446
79,-3.12176,-4.37899,-4.33568,0.0558791,4.27981
79.5,-3.23469,0.147614,0.192395,0.090008,-0.282403
80,-1.5657,-7.36739,-7.39628,-1.78157,9.17785
80.5,1.68662,-4.19755,-4.26842,-2.40328,6.6717
81,3.3299,-3.75881,-3.86727,-2.76928,6.63655
81.5,3.86937,-0.0851965,-0.194505,-2.12558,2.32009
82,4.47851,4.81511,4.75395,-0.4057,-4.34825
82.5,3.48055,2.66867,2.6342,0.354274,-2.98847
83,1.43229,5.7894,5.81283,1.71891,-7.53174
83.5,-1.08594,4.41648,4.48407,2.4102,-6.89427
84,-3.22995,3.53553,3.63847,2.71727,-6.35574
84.5,-3.81594,-0.549385,-0.451935,1.92497,-1.47303
85,-3.89746,-4.30173,-4.2473,0.381901,3.8654
85.5,-3.80371,0.0846808,0.13996,0.321416,-0.461375
86,-1.51507,-7.45587,-7.47515,-1.62773,9.10288
86.5,1.21195,-5.65769,-5.73354,-2.65418,8.38772
87,2.17021,0.645468,0.576066,-1.84662,1.27055
87.5,2.64875,-0.148222,-0.219107,-1.43974,1.65885
88,3.55697,2.90426,2.86242,-0.3642,-2.49822
88.5,3.22015,-1.03651,-1.08872,-0.54533,1.63405
89,0.462985,7.37915,7.40074,1.44119,-8.84192
89.5,-0.351595,2.19656,2.24011,1.64092,-3.88103
90,-0.585418,-2.21328,-2.19186,0.682722,1.50914
90.5,-1.62059,2.90257,2.95301,1.2503,-4.20331
91,-2.67948,-1.64171,-1.60768,0.5358,1.07188
91.5,-1.24297,-1.50932,-1.49039,0.0292525,1.46114
92,0.126126,-4.17122,-4.194,-1.02656,5.22056
92.5,-0.916274,2.66786,2.67176,-0.10198,-2.56978
93,-0.338322,1.29508,1.31193,0.251498,-1.56343
93.5,0.679555,-3.37206,-3.38893,-0.65861,4.04754
94,0.121067,2.64716,2.65676,0.170232,-2.82699
94.5,-0.578946,-1.37623,-1.38039,-0.217424,1.59782
95,0.161801,0.0422032,0.0384639,-0.153452,0.114988
95.5,0.993051,-1.52979,-1.54883,-0.502297,2.05113
96,1.02931,-3.20362,-3.25469,-1.1904,4.44509
96.5,1.37248,2.18276,2.15351,-0.35442,-1.79909
97,1.72101,-0.818938,-0.856373,-0.479908,1.33628
97.5,1.94409,0.709069,0.678725,-0.19025,-0.488475
98,0.683846,4.46224,4.47652,0.976443,-5.45296
98.5,-1.29821,4.37912,4.43719,1.84163,-6.27882
99,-2.00171,2.32608,2.40741,1.98307,-4.39048
99.5,-2.21625,-3.68347,-3.63898,0.577561,3.06142
