time,measured_position,estimated_position, error, L1, L2, estimated_velocity
48.5,-0.67032,0.0718198,-1.48428,0.5,0.1,-0.0370895
49,-3.22827,-1.5875,-3.28154,0.5,0.1,-0.365244
49.5,6.1422,2.18604,7.91232,0.5,0.1,0.425988
50,-4.6416,-1.12128,-7.04064,0.5,0.1,-0.278076
50.5,-6.14921,-3.70476,-4.88888,0.5,0.1,-0.766964
51,1.61966,-1.23429,5.70791,0.5,0.1,-0.196174
51.5,-2.77982,-2.0561,-1.44744,0.5,0.1,-0.340918
52,0.243631,-0.991464,2.47019,0.5,0.1,-0.0938987
52.5,-0.896819,-0.967616,0.141595,0.5,0.1,-0.0797392
53,5.66621,2.32936,6.6737,0.5,0.1,0.587631
53.5,4.68996,3.65657,2.06678,0.5,0.1,0.794309
54,2.00738,3.03055,-2.04635,0.5,0.1,0.589674
54.5,5.15465,4.24002,1.82926,0.5,0.1,0.7726
55,-0.136994,2.24466,-4.76331,0.5,0.1,0.296269
55.5,-0.514371,0.939213,-2.90717,0.5,0.1,0.00555229
56,-6.7365,-2.89726,-7.67849,0.5,0.1,-0.762297
56.5,-6.52986,-4.90413,-3.25145,0.5,0.1,-1.08744
57,-1.62907,-3.53846,3.81878,0.5,0.1,-0.705564
57.5,-5.60438,-4.74781,-1.71314,0.5,0.1,-0.876878
58,-1.93064,-3.55845,3.25561,0.5,0.1,-0.551316
58.5,2.36307,-0.735515,6.19718,0.5,0.1,0.0684012
59,5.8639,2.58129,6.56521,0.5,0.1,0.724922
59.5,7.02592,4.98484,4.08217,0.5,0.1,1.13314
60,1.02831,3.28986,-4.5231,0.5,0.1,0.680829
60.5,8.49643,6.06335,4.86616,0.5,0.1,1.16745
61,0.996614,3.82184,-5.65046,0.5,0.1,0.602399
61.5,-5.88241,-0.879685,-10.0055,0.5,0.1,-0.398147
62,-2.60772,-1.84324,-1.52896,0.5,0.1,-0.551042
62.5,-3.17037,-2.64457,-1.05161,0.5,0.1,-0.656204
63,-3.96475,-3.46871,-0.992081,0.5,0.1,-0.755412
63.5,-9.25692,-6.55166,-5.4105,0.5,0.1,-1.29646
64,3.79293,-1.70348,10.9928,0.5,0.1,-0.19718
64.5,2.77882,0.488372,4.58089,0.5,0.1,0.260909
65,-1.54312,-0.462149,-2.16195,0.5,0.1,0.0447143
65.5,6.52097,3.04059,6.96076,0.5,0.1,0.740791
66,2.56568,2.98834,-0.845301,0.5,0.1,0.656261
66.5,3.08245,3.19946,-0.234013,0.5,0.1,0.632859
67,-2.072,0.721947,-5.58788,0.5,0.1,0.0740709
67.5,0.214628,0.486805,-0.544354,0.5,0.1,0.0196356
68,1.43462,0.96562,0.937993,0.5,0.1,0.113435
68.5,-3.59672,-1.28719,-4.61906,0.5,0.1,-0.348471
69,-1.51095,-1.48619,-0.0495201,0.5,0.1,-0.353423
69.5,-0.76355,-1.21322,0.89935,0.5,0.1,-0.263488
70,2.36054,0.507785,3.70551,0.5,0.1,0.107063
70.5,-0.382455,0.0894304,-0.943771,0.5,0.1,0.0126855
71,-4.36365,-2.13394,-4.45942,0.5,0.1,-0.433257
71.5,3.08744,0.368434,5.438,0.5,0.1,0.110543
72,-2.1135,-0.844896,-2.5372,0.5,0.1,-0.143177
72.5,-3.47925,-2.19787,-2.56276,0.5,0.1,-0.399453
73,0.526993,-0.935301,2.92459,0.5,0.1,-0.106995
73.5,1.81519,0.413195,2.80399,0.5,0.1,0.173404
74,3.90784,2.20387,3.40795,0.5,0.1,0.514199
74.5,-2.56774,-0.0533831,-5.02871,0.5,0.1,0.0113279
75,7.11197,3.53213,7.15969,0.5,0.1,0.727297
75.5,5.87436,4.88507,1.97859,0.5,0.1,0.925156
76,-3.24599,1.05083,-8.59364,0.5,0.1,0.0657918
76.5,-0.618725,0.232499,-1.70245,0.5,0.1,-0.104453
