time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.5,7.46861,0.772002,-12.0114,0.557522,0.221239
1,-0.556691,-7.95138,-14.6901,0.503379,0.333198
1.5,-11.7274,0.982589,25.1949,0.504468,0.335035
2,1.42712,9.66393,16.7562,0.491568,0.289648
2.5,12.5352,-1.94287,-31.1235,0.465181,0.238956
3,-2.7902,0.196417,6.87281,0.434555,0.196618
3.5,0.0247466,5.27434,12.9586,0.405103,0.164311
4,6.16729,-0.257803,-16.9518,0.379021,0.140467
4.5,-0.555435,-1.86095,-3.65785,0.356909,0.123133
5,-2.38379,-0.727106,4.89144,0.33869,0.11067
5.5,-0.979272,0.399923,4.25649,0.324022,0.10182
6,0.364454,5.73557,17.1891,0.312471,0.0956401
6.5,6.52208,-1.54369,-26.5683,0.303587,0.0914219
7,-1.97164,0.0777643,6.90206,0.296926,0.088627
7.5,-0.0443266,4.38561,15.1671,0.292074,0.0868452
8,4.92211,-0.0845609,-17.3451,0.288651,0.0857652
8.5,-0.291855,-2.32175,-7.08955,0.286322,0.0851537
9,-2.83089,1.98899,16.9237,0.284801,0.0848406
9.5,2.19775,2.12343,-0.261826,0.283853,0.0847058
10,2.3211,1.55813,-2.6932,0.283295,0.0846684
10.5,1.64179,-3.0077,-16.43,0.282988,0.0846769
11,-3.61966,-0.155842,12.2468,0.282835,0.0847011
11.5,-0.249144,0.145598,1.39599,0.282768,0.084725
12,0.111433,-0.393112,-1.78445,0.282745,0.0847419
12.5,-0.502886,-0.467524,0.125069,0.28274,0.0847503
13,-0.571998,-0.365311,0.731016,0.28274,0.0847512
13.5,-0.438807,1.6616,7.4288,0.282739,0.084747
14,1.90289,1.68299,-0.777784,0.282735,0.0847398
14.5,1.89132,-4.2948,-21.8802,0.282727,0.0847314
15,-5.01344,-2.34676,9.4323,0.282718,0.0847231
15.5,-2.66583,3.56595,22.0432,0.282708,0.0847158
16,4.18058,-1.45469,-19.9339,0.282698,0.0847098
16.5,-1.68435,-4.29755,-9.24405,0.28269,0.0847051
17,-4.91872,1.65761,23.264,0.282682,0.0847016
17.5,2.02169,0.441385,-5.59051,0.282677,0.0846992
18,0.568708,-5.25484,-20.6018,0.282672,0.0846977
18.5,-5.99998,-0.664679,18.8747,0.282669,0.0846967
19,-0.610504,-0.788432,-0.62946,0.282667,0.0846961
19.5,-0.760913,1.76745,8.94471,0.282666,0.0846958
20,2.17376,0.449124,-6.10134,0.282665,0.0846957
20.5,0.597054,-2.08507,-9.4887,0.282664,0.0846957
21,-2.33896,1.37869,13.1522,0.282664,0.0846957
21.5,1.68176,2.16265,1.7013,0.282664,0.0846957
22,2.53777,-3.7802,-22.3515,0.282664,0.0846957
22.5,-4.35163,0.531868,17.2767,0.282664,0.0846957
23,0.692075,2.13642,5.10975,0.282664,0.0846957
23.5,2.51301,2.30837,-0.723986,0.282664,0.0846957
24,2.6543,-0.441642,-10.9527,0.282664,0.0846957
24.5,-0.559533,-0.418463,0.499071,0.282664,0.0846957
25,-0.515219,0.077597,2.09725,0.282664,0.0846957
25.5,0.0696552,1.35613,4.55125,0.282664,0.0846957
26,1.54092,-2.37524,-13.8545,0.282664,0.0846957
26.5,-2.77715,-0.965036,6.41086,0.282664,0.0846957
27,-1.09546,2.78854,13.7407,0.282664,0.0846957
27.5,3.24,2.46134,-2.7547,0.282664,0.0846957
28,2.79615,-2.74248,-19.5944,0.282664,0.0846957
28.5,-3.23746,-2.04807,4.20781,0.282664,0.0846957
29,-2.36485,1.99424,15.4215,0.282664,0.0846957
29.5,2.33053,0.985456,-4.75855,0.282664,0.0846957
30,1.12022,-4.50864,-19.9136,0.282664,0.0846957
30.5,-5.21717,1.48575,23.7134,0.282664,0.0846957
31,1.78142,5.51913,13.2232,0.282664,0.0846957
31.5,6.37479,-1.05551,-26.2867,0.282664,0.0846957
32,-1.31304,1.02382,8.26729,0.282664,0.0846957
32.5,1.11639,3.16812,7.25857,0.282664,0.0846957
33,3.56808,-0.0440779,-12.779,0.282664,0.0846957
33.5,-0.185287,2.37855,9.07028,0.282664,0.0846957
34,2.62145,0.791552,-6.47377,0.282664,0.0846957
34.5,0.760301,-0.870775,-5.77037,0.282664,0.0846957
35,-1.14639,4.93495,21.5144,0.282664,0.0846957
35.5,5.57042,-2.15099,-27.3166,0.282664,0.0846957
36,-2.67231,-3.15374,-1.70316,0.282664,0.0846957
36.5,-3.74719,0.696148,15.7195,0.282664,0.0846957
37,0.768385,2.19326,5.04088,0.282664,0.0846957
37.5,2.47897,-0.954579,-12.1471,0.282664,0.0846957
38,-1.18328,-0.625421,1.97356,0.282664,0.0846957
38.5,-0.770541,0.414237,4.19148,0.282664,0.0846957
39,0.446617,1.88036,5.07224,0.282664,0.0846957
39.5,2.12753,-2.99987,-18.1396,0.282664,0.0846957
40,-3.52086,-2.45664,3.76497,0.282664,0.0846957
40.5,-2.81819,1.13749,13.9943,0.282664,0.0846957
41,1.36857,3.56509,7.7708,0.282664,0.0846957
41.5,4.12524,-2.407,-23.1096,0.282664,0.0846957
42,-2.82549,-1.21352,5.70277,0.282664,0.0846957
42.5,-1.39051,2.05951,12.2054,0.282664,0.0846957
43,2.3994,0.00770116,-8.46128,0.282664,0.0846957
43.5,-0.010733,-3.44745,-12.1583,0.282664,0.0846957
44,-3.98076,-0.792992,11.2776,0.282664,0.0846957
44.5,-0.848722,3.91652,16.8583,0.282664,0.0846957
45,4.5747,0.701548,-13.7023,0.282664,0.0846957
45.5,0.779467,-3.106,-13.7459,0.282664,0.0846957
46,-3.61019,1.58895,18.3934,0.282664,0.0846957
46.5,1.86368,-0.250732,-7.48031,0.282664,0.0846957
47,-0.292777,-2.03576,-6.16627,0.282664,0.0846957
47.5,-2.33893,1.68019,14.2187,0.282664,0.0846957
48,1.97915,-2.3571,-15.3407,0.282664,0.0846957
48.5,-2.70779,2.66453,19.006,0.282664,0.0846957
49,3.11871,3.10258,-0.0570493,0.282664,0.0846957
49.5,3.55435,-2.72058,-22.1993,0.282664,0.0846957
50,-3.20891,0.100149,11.7067,0.282664,0.0846957
50.5,0.107575,5.60516,19.4492,0.282664,0.0846957
51,6.43622,-1.49013,-28.0416,0.282664,0.0846957
51.5,-1.84657,-0.385489,5.16899,0.282664,0.0846957
52,-0.523037,2.45466,10.5344,0.282664,0.0846957
52.5,2.76323,3.01511,0.891116,0.282664,0.0846957
53,3.36141,-1.58001,-17.4816,0.282664,0.0846957
53.5,-1.97402,-2.21684,-0.859052,0.282664,0.0846957
54,-2.64723,-0.572239,7.34086,0.282664,0.0846957
54.5,-0.691759,3.16742,13.6529,0.282664,0.0846957
55,3.62608,-1.71141,-18.8828,0.282664,0.0846957
55.5,-2.0524,-1.02434,3.63704,0.282664,0.0846957
56,-1.21131,2.37126,12.6743,0.282664,0.0846957
56.5,2.72102,0.844661,-6.63812,0.282664,0.0846957
57,0.913308,-3.08721,-14.1529,0.282664,0.0846957
57.5,-3.6179,-1.5308,7.38371,0.282664,0.0846957
