Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
0,-29.5151,-4.21644,25.2987,25.5517,12.7758
0.1,22.4839,-1.00446,-23.4883,-23.4702,3.71431
0.2,27.8572,2.97513,-24.882,-25.1127,-3.49245
0.3,-21.8851,-0.151315,21.7338,21.7204,2.81077
0.4,-29.9181,-4.42533,25.4928,25.7343,8.54167
0.5,21.6206,-1.33668,-22.9573,-22.9453,0.66993
0.6,27.5631,2.60091,-24.9622,-25.1999,-5.79752
0.7,-21.5478,3.73909,25.2869,25.3021,1.97739
0.8,-30.3054,-3.80222,26.5031,26.7834,8.17889
0.9,20.7506,-4.81745,-25.5681,-25.5435,-0.251703
1,27.2301,2.19901,-25.031,-25.2568,-6.50297
1.1,-21.1993,3.44456,24.6438,24.6645,1.2889
1.2,-30.6767,-4.02648,26.6503,26.9375,7.70104
1.3,19.8752,-5.12476,-24.9999,-24.9627,-0.464905
1.4,26.8578,1.79033,-25.0675,-25.281,-6.66892
1.5,-20.8406,3.14244,23.983,24.0094,1.00066
1.6,-31.0319,-4.25506,26.7769,27.071,7.51824
1.7,18.9945,-5.43157,-24.4261,-24.3762,-0.455369
1.8,26.4455,1.37483,-25.0707,-25.2715,-6.65941
1.9,-20.4719,2.83266,23.3045,23.3367,0.839626
2,-31.3706,-4.48816,26.8824,27.1834,7.42558
2.1,18.1108,-5.73774,-23.8485,-23.786,-0.377302
2.2,25.9954,0.953114,-25.0423,-25.2302,-6.59052
2.3,-20.0939,2.5157,22.6095,22.6478,0.719056
2.4,-31.6917,-4.72518,26.9665,27.2744,7.35788
2.5,17.2225,-6.04276,-23.2652,-23.19,-0.279091
2.6,25.5067,0.525607,-24.9811,-25.1557,-6.49824
2.7,-19.7073,2.19179,21.8991,21.9435,0.612196
2.8,-31.9975,-4.96653,27.0309,27.3457,7.29556
2.9,16.3339,-6.34675,-22.6806,-22.5927,-0.1765
3,24.9809,0.092508,-24.8884,-25.0494,-6.39473
3.1,-19.3117,1.86107,21.1728,21.2235,0.509836
3.2,-32.2833,-5.21118,27.0721,27.3936,7.23078
3.3,15.4422,-6.64896,-22.0912,-21.9906,-0.0745735
3.4,24.4168,-0.345527,-24.7623,-24.9093,-6.28327
3.5,-18.9085,1.52433,20.4328,20.4901,0.410076
3.6,-32.554,-5.45965,27.0943,27.4225,7.16319
3.7,14.5527,-6.9494,-21.5021,-21.3889,0.0251696
3.8,23.8196,-0.787784,-24.6074,-24.7403,-6.16619
3.9,-18.4974,1.18164,19.679,19.7429,0.311083
4,-32.8084,-5.7113,27.0971,27.4319,7.0913
4.1,13.6626,-7.24762,-20.9102,-20.7844,0.12237
4.2,23.1801,-1.23496,-24.415,-24.5334,-6.04157
4.3,-18.0801,0.832732,18.9128,18.9836,0.21472
4.4,-33.0442,-5.96683,27.0774,27.4189,7.01577
4.5,12.7755,-7.54456,-20.32,-20.1817,0.216402
4.6,22.5149,-1.68567,-24.2006,-24.3042,-5.91376
4.7,-17.6557,0.478991,18.1347,18.2124,0.117783
4.8,-33.2625,-6.22459,27.0379,27.3859,6.93482
4.9,11.8916,-7.83722,-19.7288,-19.5781,0.306593
5,21.8082,-2.13889,-23.9471,-24.0358,-5.779
5.1,-17.2268,0.120738,17.3475,17.4323,0.0238278
5.2,-33.4648,-6.48501,26.9797,27.3343,6.85145
5.3,11.0108,-8.12845,-19.1392,-18.9761,0.394568
5.4,21.0658,-2.5968,-23.6626,-23.7361,-5.63809
5.5,-16.793,-0.244016,16.549,16.641,-0.0683239
5.6,-33.6506,-6.75005,26.9006,27.2616,6.76416
5.7,10.1346,-8.4177,-18.5523,-18.3768,0.478915
5.8,20.2955,-3.05737,-23.3529,-23.4109,-5.49353
5.9,-16.3535,-0.612904,15.7406,15.84,-0.160155
6,-33.818,-7.01702,26.801,27.1684,6.67199
6.1,9.26244,-8.70322,-17.9657,-17.7779,0.559515
6.2,19.4909,-3.51982,-23.0107,-23.053,-5.34362
6.3,-15.9098,-0.985419,14.9244,15.0313,-0.24989
6.4,-33.9663,-7.28555,26.6807,27.0544,6.57619
6.5,8.39739,-8.98528,-17.3827,-17.1828,0.636442
6.6,18.6584,-3.98359,-22.642,-22.6685,-5.1898
6.7,-15.4622,-1.36133,14.1009,14.2154,-0.338512
6.8,-34.101,-7.5561,26.5449,26.9248,6.47731
6.9,7.54076,-9.26325,-16.804,-16.5921,0.709945
7,17.7905,-4.44892,-22.2394,-22.2499,-5.03002
7.1,-15.0141,-1.74146,13.2726,13.3948,-0.423821
7.2,-34.2181,-7.82939,26.3887,26.7748,6.37584
7.3,6.69345,-9.53867,-16.2321,-16.0084,0.779787
7.4,16.8935,-4.91643,-21.8099,-21.8042,-4.86621
7.5,-14.5621,-2.12517,12.437,12.567,-0.507908
7.6,-34.3198,-8.10524,26.2146,26.6067,6.27075
7.7,5.8511,-9.81087,-15.662,-15.4264,0.846463
7.8,15.9707,-5.38447,-21.3552,-21.3332,-4.69846
7.9,-14.1077,-2.51155,11.5961,11.7341,-0.590322
8,-34.4028,-8.38245,26.0204,26.4186,6.1619
8.1,5.02093,-10.0785,-15.0995,-14.8523,0.908357
8.2,15.0233,-5.85204,-20.8753,-20.8369,-4.52795
8.3,-13.6525,-2.89956,10.7529,10.8988,-0.671254
8.4,-34.4661,-8.65915,25.8069,26.2109,6.04929
8.5,4.19805,-10.341,-14.539,-14.2804,0.966872
8.6,14.0398,-6.3199,-20.3597,-20.3047,-4.35101
8.7,-13.1983,-3.29068,9.90764,10.0618,-0.747818
8.8,-34.5193,-8.93928,25.58,25.9899,5.93661
8.9,3.39427,-10.6006,-13.9948,-13.7249,1.02124
9,13.0442,-6.78677,-19.8309,-19.7593,-4.17389
9.1,-12.7415,-3.68326,9.05824,9.22048,-0.825297
9.2,-34.5575,-9.21977,25.3377,25.7533,5.81936
9.3,2.59437,-10.8548,-13.4492,-13.1681,1.0725
9.4,12.0097,-7.25367,-19.2634,-19.1749,-3.98936
9.5,-12.2892,-4.07796,8.21129,8.38189,-0.896544
9.6,-34.571,-9.50156,25.0694,25.4907,5.70027
9.7,1.80939,-11.1065,-12.9159,-12.6238,1.11925
9.8,10.9626,-7.72023,-18.6828,-18.5775,-3.80494
9.9,-11.8352,-4.47418,7.361,7.53992,-0.968724
10,-34.5791,-9.78468,24.7944,25.2213,5.57878
10.1,1.04081,-11.3517,-12.3925,-12.0895,1.1617
10.2,9.8975,-8.18214,-18.0796,-17.9575,-3.6181
10.3,-11.3838,-4.86968,6.51408,6.70137,-1.03824
10.4,-34.5663,-10.0662,24.5001,24.9324,5.45442
10.5,0.282163,-11.592,-11.8741,-11.5606,1.20067
10.6,8.79759,-8.64444,-17.442,-17.3029,-3.42523
10.7,-10.9378,-5.26712,5.67068,5.86651,-1.1023
10.8,-34.5366,-10.3496,24.187,24.6247,5.32945
10.9,-0.453555,-11.8283,-11.3748,-11.0508,1.23438
11,7.69266,-9.10312,-16.7958,-16.6398,-3.23416
11.1,-10.49,-5.66365,4.82633,5.03059,-1.16797
11.2,-34.4999,-10.6325,23.8674,24.3103,5.2016
11.3,-1.18011,-12.0579,-10.8778,-10.5436,1.26529
11.4,6.55825,-9.55846,-16.1167,-15.9437,-3.03697
11.5,-10.0515,-6.06058,3.99088,4.20378,-1.22678
11.6,-34.4434,-10.9163,23.5271,23.9753,5.07373
11.7,-1.89245,-12.2856,-10.3931,-10.0489,1.29307
11.8,5.41513,-10.0134,-15.4285,-15.2386,-2.83984
11.9,-9.61331,-6.45819,3.15512,3.37662,-1.28573
12,-34.3744,-11.2002,23.1742,23.6274,4.94255
12.1,-2.58167,-12.5059,-9.92426,-9.57026,1.31435
12.2,4.25764,-10.4618,-14.7194,-14.5126,-2.64239
12.3,-9.18097,-6.85286,2.32811,2.5582,-1.34224
12.4,-34.2873,-11.4807,22.8066,23.2647,4.8095
12.5,-3.25656,-12.7195,-9.46294,-9.09942,1.33227
12.6,3.0758,-10.9068,-13.9826,-13.7589,-2.44052
12.7,-8.75477,-7.24683,1.50794,1.74672,-1.39371
12.8,-34.1884,-11.7621,22.4263,22.8894,4.67706
12.9,-3.91019,-12.9289,-9.01872,-8.64587,1.34633
13,1.89408,-11.3468,-13.2408,-13.0004,-2.24035
13.1,-8.33266,-7.63896,0.693703,0.941082,-1.445
13.2,-34.0849,-12.043,22.0419,22.5097,4.54368
13.3,-4.55131,-13.1326,-8.58129,-8.1993,1.35794
13.4,0.688145,-11.7836,-12.4718,-12.2145,-2.03517
13.5,-7.92099,-8.03112,-0.110135,0.146031,-1.48987
13.6,-33.9599,-12.3239,21.636,22.1085,4.40972
13.7,-5.17186,-13.3334,-8.1615,-7.77059,1.36464
13.8,-0.516525,-12.2168,-11.7002,-11.4263,-1.8331
13.9,-7.51359,-8.42086,-0.907274,-0.642438,-1.53543
14,-33.8285,-12.6033,21.2251,21.7022,4.27398
14.1,-5.76791,-13.5256,-7.7577,-7.35819,1.36594
14.2,-1.73166,-12.6414,-10.9098,-10.6193,-1.63038
14.3,-7.11536,-8.80648,-1.69112,-1.41762,-1.57719
14.4,-33.6834,-12.8796,20.8038,21.2854,4.13845
14.5,-6.35273,-13.7133,-7.36058,-6.95264,1.36568
14.6,-2.96526,-13.0635,-10.0983,-9.79133,-1.42357
14.7,-6.72753,-9.19198,-2.46445,-2.18214,-1.61321
