Time, Current Position, Running Average(5), Error, PI Output, Smoothed Output, Measurement, PID Out, Kalman Estimate, Kalman Gain
0,-7.10298,-7.10298,0,0,0,-7.10298,0,-7.03266,0.990099
0.01,-16.8282,-11.9656,4.86261,5.34887,1.33722,-16.8282,1.33722,-11.9085,0.497764
0.02,-24.0407,-15.9906,8.05006,9.34133,3.33825,-24.0407,3.33825,-15.9459,0.332784
0.03,-27.5404,-18.8781,8.66233,10.8198,5.20864,-27.5404,5.20864,-18.8475,0.250253
0.04,-27.027,-20.5079,6.51917,9.32859,6.23863,-27.027,6.23863,-20.4899,0.200801
0.05,-23.1084,-23.7089,-0.600542,2.14882,5.21618,-23.1084,5.21618,-20.9296,0.167916
0.06,-17.0808,-23.7595,-6.6787,-4.59721,2.76283,-17.0808,2.76283,-20.3734,0.144506
0.07,-10.5565,-21.0626,-10.5061,-9.47527,-0.296694,-10.5565,-0.296694,-19.1264,0.127024
0.08,-5.04979,-16.5645,-11.5147,-11.6353,-3.13134,-5.04979,-3.13134,-17.5288,0.113494
0.09,-1.63287,-11.4857,-9.85279,-10.9587,-5.08817,-1.63287,-5.08817,-15.8958,0.102732
0.1,-0.743145,-7.0126,-6.26946,-8.00228,-5.8167,-0.743145,-5.8167,-14.4717,0.0939826
0.11,-2.17304,-4.03106,-1.85802,-3.77664,-5.30668,-2.17304,-5.30668,-13.4049,0.0867435
0.12,-5.21769,-2.9633,2.25438,0.5612,-3.83971,-5.21769,-3.83971,-12.7445,0.0806656
0.13,-8.91661,-3.73667,5.17994,4.00476,-1.8786,-8.91661,-1.8786,-12.4555,0.0754999
0.14,-12.3084,-5.87178,6.43663,5.90511,0.0673305,-12.3084,0.0673305,-12.445,0.0710635
0.15,-14.628,-8.64874,5.97923,6.04563,1.56191,-14.628,1.56191,-12.5918,0.0672195
0.16,-15.4069,-11.2955,4.11142,4.58897,2.31867,-15.4069,2.31867,-12.7715,0.0638628
0.17,-14.4764,-13.1473,1.3291,1.93955,2.22389,-14.4764,2.22389,-12.8754,0.0609119
0.18,-11.9028,-13.7445,-1.84169,-1.41541,1.31407,-11.9028,1.31407,-12.8187,0.0583023
0.19,-7.90518,-12.8639,-4.95868,-5.02826,-0.271516,-7.90518,-0.271516,-12.5436,0.0559824
0.2,-2.79362,-10.497,-7.70336,-8.54329,-2.33946,-2.79362,-2.33946,-12.018,0.0539104
0.21,3.04888,-6.80582,-9.8547,-11.6801,-4.67462,3.04888,-4.67462,-11.2337,0.0520522
0.22,9.15031,-2.08048,-11.2308,-14.1793,-7.05078,9.15031,-7.05078,-10.2068,0.0503795
0.23,14.9292,3.28592,-11.6433,-15.7561,-9.2271,14.9292,-9.2271,-8.97842,0.0488686
0.24,19.7083,8.80861,-10.8996,-16.1024,-10.9459,19.7083,-10.9459,-7.61581,0.0474999
0.25,22.7885,13.925,-8.86343,-14.9525,-11.9476,22.7885,-11.9476,-6.20942,0.0462565
0.26,23.5853,18.0323,-5.55301,-12.1974,-12.01,23.5853,-12.01,-4.86496,0.0451241
0.27,21.7967,20.5616,-1.23513,-8.00305,-11.0083,21.7967,-11.0083,-3.68943,0.0440904
0.28,17.5493,21.0856,3.53633,-2.87796,-8.97571,17.5493,-8.97571,-2.77309,0.043145
0.29,11.4635,19.4367,7.97312,2.35614,-6.14275,11.4635,-6.14275,-2.17118,0.0422786
0.3,4.59509,15.798,11.2029,6.70622,-2.93051,4.59509,-2.93051,-1.89049,0.0414833
0.31,-1.75664,10.7296,12.4862,9.23818,0.111664,-1.75664,0.111664,-1.88504,0.040752
0.32,-6.33684,5.10289,11.4397,9.33564,2.41766,-6.33684,2.41766,-2.06346,0.0400786
0.33,-8.24967,-0.0569031,8.19277,6.90795,3.54023,-8.24967,3.54023,-2.30756,0.0394578
