time,predicted_position,filtered_position,position_error
0.5,6.578,0.914777,-10.1578
1,-0.208877,-3.31996,-6.18041
1.5,-5.47327,-3.31978,4.26882
2,-4.75799,-5.23166,-0.963605
2.5,-6.80942,-1.8652,10.6286
3,-2.17308,-0.144654,4.66781
3.5,0.00635919,0.741779,1.81539
4,1.04194,4.40113,8.86283
4.5,5.32376,0.029274,-14.8343
5,0.0386013,0.894413,2.52683
5.5,1.04356,0.724713,-0.984036
6,0.823765,-2.51616,-10.6887
6.5,-2.92824,0.569767,11.5223
7,0.684377,0.291993,-1.32149
7.5,0.348044,1.19419,2.89704
8,1.37604,1.86274,1.68612
8.5,2.1169,0.137578,-6.91291
9,0.0974015,1.17669,3.78963
9.5,1.29727,0.00591385,-4.54939
10,-0.0661855,-2.46566,-8.4699
10.5,-2.89633,0.717779,12.7712
11,0.827827,-0.645579,-5.20942
11.5,-0.756153,-1.83187,-3.80423
12,-2.1036,1.1239,11.4149
12.5,1.33583,-1.34834,-9.49341
13,-1.5387,-0.317739,4.31831
13.5,-0.325104,-0.248704,0.270214
14,-0.244619,-0.731468,-1.72193
14.5,-0.800341,-0.0844303,2.53216
15,-0.0460265,-2.29457,-7.95331
15.5,-2.59308,0.115751,9.58174
16,0.223103,-0.00739448,-0.815347
16.5,0.0654229,-0.710226,-2.74382
17,-0.753617,1.52417,8.05776
17.5,1.82203,1.60787,-0.757634
18,1.87364,-0.355257,-7.8851
18.5,-0.423405,-0.123391,1.06136
19,-0.146592,-0.542584,-1.40091
19.5,-0.625111,-1.80907,-4.18854
20,-2.06897,-0.821033,4.4149
20.5,-0.893974,0.772779,5.89658
21,0.949545,1.9086,3.39292
21.5,2.22905,0.509115,-6.08473
22,0.571888,2.08636,5.35784
22.5,2.37602,-0.418476,-9.8863
23,-0.547473,-2.6692,-7.5062
23.5,-3.11607,-0.693294,8.57123
24,-0.777189,-1.80955,-3.65224
24.5,-2.04811,0.88261,10.3682
25,1.08312,1.49971,1.47379
25.5,1.76263,2.35158,2.08358
26,2.70274,1.77855,-3.26959
26.5,1.99125,-1.16816,-11.1773
27,-1.4288,-0.256903,4.14589
27.5,-0.341968,-1.42931,-3.84678
28,-1.67728,-2.42581,-2.64814
28.5,-2.78592,0.645276,12.1388
29,0.799217,1.46535,2.35663
29.5,1.71909,-0.302552,-7.15211
30,-0.351689,2.0816,8.60844
30.5,2.39702,-1.10464,-12.3881
31,-1.31384,-2.61332,-4.59728
31.5,-3.0172,-1.72949,4.55563
32,-1.94045,-1.90167,0.137205
32.5,-2.10682,1.27925,11.9791
33,1.58139,-0.00585854,-5.61531
33.5,0.0584856,2.10439,7.23795
34,2.47525,2.09384,-1.34934
34.5,2.40755,-0.976947,-11.9736
35,-1.17029,0.023471,4.22325
35.5,0.00897503,-0.0965468,-0.373312
36,-0.126852,-1.18228,-3.73385
36.5,-1.3707,1.64485,10.6683
37,1.9082,3.30372,4.93703
37.5,3.77615,1.86486,-6.7617
38,2.05094,1.38855,-2.34341
38.5,1.47539,-0.78697,-8.00372
39,-1.03906,-1.10212,-0.223089
39.5,-1.36367,-1.9135,-1.9452
40,-2.25742,-1.63886,2.18834
40.5,-1.8901,1.3918,11.6106
41,1.63224,0.454816,-4.16545
41.5,0.518857,0.993776,1.68015
42,1.12897,0.608868,-1.83999
42.5,0.66614,-0.403377,-3.78371
43,-0.506336,-1.78468,-4.52248
43.5,-2.07915,-1.81613,0.930538
44,-2.0712,0.204654,8.05144
44.5,0.290545,-0.551233,-2.97802
45,-0.591455,0.945151,5.43616
45.5,1.13514,0.980777,-0.546098
46,1.14764,0.672829,-1.67977
46.5,0.768556,0.0356537,-2.59284
47,0.0215795,-1.10451,-3.98385
47.5,-1.28729,-0.13279,4.08436
48,-0.142608,-0.213011,-0.249068
48.5,-0.233376,-1.22222,-3.4983
49,-1.39073,0.536383,6.81768
49.5,0.656586,1.44555,2.79117
50,1.68395,-1.05704,-9.697
50.5,-1.22928,1.39026,9.26735
51,1.61047,0.582567,-3.63649
51.5,0.648778,-0.777635,-5.04632
52,-0.925125,-0.198407,2.57096
52.5,-0.237022,-1.42607,-4.20657
53,-1.64282,0.570233,7.82928
53.5,0.685032,-1.10064,-6.31731
54,-1.25337,0.372515,5.752
54.5,0.463374,2.68115,7.84597
55,3.10426,-0.125031,-11.4245
55.5,-0.185716,-0.239396,-0.189909
56,-0.308122,0.602145,3.22032
56.5,0.669792,-1.97071,-9.34148
57,-2.29865,-2.2205,0.276486
57.5,-2.53673,0.822764,11.8851
58,1.00984,0.529644,-1.69881
58.5,0.644777,1.46249,2.89289
59,1.70013,1.50246,-0.699303
59.5,1.71049,1.03896,-2.37573
60,1.14638,-1.08394,-7.89035
60.5,-1.31066,-2.93107,-5.73265
61,-3.40056,-0.605147,9.88952
61.5,-0.655833,-0.846852,-0.675781
62,-0.926155,0.541033,5.19057
62.5,0.681539,2.51105,6.47241
63,2.92565,2.63312,-1.03492
63.5,3.00389,-0.415438,-12.0968
64,-0.55694,-1.24638,-2.43907
64.5,-1.49117,-1.05292,1.55043
65,-1.23205,-3.54811,-8.19369
65.5,-4.07423,-0.0334816,14.2952
66,0.0457724,1.87731,6.47957
66.5,2.23096,1.69436,-1.89838
67,1.96762,2.27801,1.09809
67.5,2.59777,0.726328,-6.62072
68,0.765714,-1.5231,-8.09729
68.5,-1.82661,-2.4759,-2.29704
69,-2.87669,-2.1869,2.44033
69.5,-2.48435,-0.110631,8.39767
70,-0.0524568,1.46579,5.37119
70.5,1.75142,1.32948,-1.49273
71,1.5519,3.66485,7.47515
71.5,4.20383,0.379868,-13.5283
72,0.34595,-1.22433,-5.55528
72.5,-1.4935,0.310931,6.38366
73,0.312093,-2.51278,-9.99376
73.5,-2.93483,0.841827,13.361
74,0.985583,2.48538,5.30595
74.5,2.85383,1.98072,-3.08889
75,2.21836,2.1369,-0.288169
75.5,2.36234,0.361876,-7.0772
76,0.287612,-0.705198,-3.51234
76.5,-0.928202,-1.86538,-3.31554
77,-2.22879,-2.0737,0.548677
77.5,-2.41388,0.461792,10.1735
78,0.552442,1.08966,1.90055
78.5,1.26079,0.182688,-3.81409
79,0.192303,2.56025,8.37727
79.5,2.92463,-0.14343,-10.8541
80,-0.238703,-1.48322,-4.4028
80.5,-1.76494,-0.627455,4.02415
81,-0.738763,-1.29247,-1.95887
81.5,-1.48673,-0.171932,4.65145
82,-0.169215,-0.303934,-0.476605
82.5,-0.3214,1.70245,7.15993
83,1.9882,0.501465,-5.25972
83.5,0.564469,-0.0902932,-2.3164
84,-0.125384,0.381562,1.79346
84.5,0.42242,-0.805153,-4.34287
85,-0.948206,-0.316911,2.23338
85.5,-0.365385,-1.06379,-2.4708
86,-1.2169,0.160748,4.87379
86.5,0.214036,0.520909,1.08565
87,0.620171,-0.397262,-3.59945
87.5,-0.450429,0.870224,4.67217
88,1.01491,1.35264,1.19481
88.5,1.54793,-0.86891,-8.55023
89,-1.03571,0.142724,4.16902
89.5,0.152477,-0.420332,-2.02647
90,-0.496396,-1.61611,-3.9613
90.5,-1.85993,0.336969,7.77212
91,0.422285,-1.13635,-5.5141
91.5,-1.28454,1.79899,10.9088
92,2.11276,0.728911,-4.89575
92.5,0.835359,-1.1797,-7.12883
93,-1.37515,2.01738,12.002
93.5,2.3302,-1.01389,-11.8306
94,-1.20207,-1.30622,-0.368449
94.5,-1.51001,1.1833,9.52829
95,1.38301,0.188012,-4.22763
95.5,0.208696,1.65442,5.11465
96,1.8917,2.54077,2.29626
96.5,2.87529,1.53793,-4.73126
97,1.67209,0.782193,-3.14826
97.5,0.783031,-2.17071,-10.4497
98,-2.61239,-1.19354,5.01957
98.5,-1.42266,0.357534,6.29791
99,0.395123,-2.26254,-9.40222
99.5,-2.62312,0.866482,12.3454
