Time, Current Position, Running Average(7), Error, PI Output, Smoothed Output
10.1,1.03917,-11.3523,-12.3915,-12.0886,1.16185
10.2,9.89615,-8.18278,-18.0789,-17.9568,-3.6178
10.3,-11.3846,-4.87047,6.51408,6.70139,-1.03801
10.4,-34.5665,-10.0667,24.4998,24.9321,5.45451
10.5,0.281256,-11.5925,-11.8738,-11.5602,1.20083
10.6,8.79694,-8.64522,-17.4422,-17.303,-3.42513
10.7,-10.9406,-5.26831,5.6723,5.86817,-1.10181
10.8,-34.5367,-10.3506,24.1861,24.6238,5.3296
10.9,-0.454668,-11.8293,-11.3746,-11.0506,1.23455
11,7.69349,-9.10382,-16.7973,-16.6413,-3.23442
11.1,-10.4906,-5.6644,4.82617,5.03044,-1.1682
11.2,-34.499,-10.633,23.866,24.3089,5.20107
11.3,-1.18117,-12.0585,-10.8773,-10.5431,1.26502
11.4,6.55826,-9.55861,-16.1169,-15.9439,-3.0372
11.5,-10.052,-6.0608,3.99118,4.20408,-1.22688
11.6,-34.4431,-10.9163,23.5268,23.9749,5.07357
11.7,-1.89314,-12.2858,-10.3927,-10.0484,1.29307
11.8,5.414,-10.0137,-15.4277,-15.2378,-2.83964
11.9,-9.61239,-6.4585,3.15389,3.3754,-1.28588
12,-34.3744,-11.2004,23.174,23.6272,4.9424
12.1,-2.57999,-12.5058,-9.92586,-9.57187,1.31383
12.2,4.25784,-10.4616,-14.7194,-14.5126,-2.64279
12.3,-9.1814,-6.85278,2.32863,2.5587,-1.34241
12.4,-34.2878,-11.4806,22.8072,23.2653,4.80952
12.5,-3.25844,-12.7195,-9.46106,-9.09752,1.33276
12.6,3.07538,-10.907,-13.9823,-13.7586,-2.44009
12.7,-8.75507,-7.24706,1.50801,1.7468,-1.39337
12.8,-34.188,-11.7625,22.4255,22.8886,4.67712
12.9,-3.90966,-12.9293,-9.01962,-8.64676,1.34615
13,1.89247,-11.3473,-13.2398,-12.9993,-2.24022
13.1,-8.33378,-7.63959,0.694192,0.941589,-1.44477
13.2,-34.0868,-12.0436,22.0431,22.511,4.54417
13.3,-4.55053,-13.1331,-8.58252,-8.20052,1.358
13.4,0.687673,-11.7841,-12.4718,-12.2145,-2.03512
13.5,-7.92231,-8.03185,-0.109531,0.146659,-1.48968
13.6,-33.9616,-12.325,21.6367,22.1092,4.41005
13.7,-5.17247,-13.3343,-8.1618,-7.77086,1.36482
13.8,-0.516855,-12.2176,-11.7007,-11.4268,-1.83308
13.9,-7.51297,-8.4213,-0.908329,-0.643481,-1.53568
14,-33.8274,-12.6037,21.2237,21.7008,4.27344
14.1,-5.76767,-13.5259,-7.75823,-7.35873,1.36539
14.2,-1.73173,-12.6415,-10.9098,-10.6194,-1.6308
14.3,-7.11537,-8.80635,-1.69098,-1.41749,-1.57747
14.4,-33.6832,-12.8793,20.8039,21.2854,4.13824
14.5,-6.35246,-13.713,-7.36051,-6.95258,1.36554
14.6,-2.96535,-13.0633,-10.098,-9.79101,-1.4236
14.7,-6.72844,-9.19203,-2.46359,-2.18128,-1.61302
14.8,-33.5215,-13.1569,20.3647,20.8506,4.00289
14.9,-6.90499,-13.8959,-6.99091,-6.57486,1.35845
15,-4.18516,-13.4773,-9.29214,-8.96901,-1.22341
15.1,-6.34024,-9.57117,-3.23093,-2.94011,-1.65259
15.2,-33.3633,-13.4299,19.9335,20.4236,3.86646
15.3,-7.44302,-14.0695,-6.62651,-6.20262,1.34919
15.4,-5.4292,-13.8839,-8.45472,-8.11538,-1.01695
15.5,-5.9699,-9.94797,-3.97808,-3.67852,-1.68234
15.6,-33.1822,-13.7019,19.4803,19.9747,3.73192
15.7,-7.96421,-14.2417,-6.27752,-5.84593,1.33746
15.8,-6.66416,-14.288,-7.62384,-7.26849,-0.81403
15.9,-5.60434,-10.3224,-4.71809,-4.40992,-1.713
16,-32.9962,-13.9729,19.0233,19.5217,3.59568
16.1,-8.45582,-14.4053,-5.94944,-5.51053,1.31913
16.2,-7.90715,-14.682,-6.77487,-6.4037,-0.611579
16.3,-5.24698,-10.6913,-5.44429,-5.12757,-1.74058
16.4,-32.7993,-14.2391,18.5601,19.0625,3.46018
16.5,-8.92374,-14.5619,-5.6382,-5.19226,1.29707
16.6,-9.14651,-15.068,-5.92145,-5.53473,-0.410878
16.7,-4.90249,-11.0546,-6.15207,-5.82687,-1.76488
16.8,-32.5863,-14.5018,18.0845,18.5905,3.32398
16.9,-9.3806,-14.7123,-5.33167,-4.87894,1.27325
17,-10.384,-15.4461,-5.06214,-4.66003,-0.210073
17.1,-4.57607,-11.4142,-6.83816,-6.50444,-1.78366
17.2,-32.3721,-14.764,17.6081,18.1179,3.19173
