time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.5,-4.16274,-2.06088,3.77,0.557522,0.221239
1,-1.64384,-0.804078,1.66826,0.503379,0.333198
1.5,-0.109112,0.268209,0.747959,0.504468,0.335035
2,1.08847,3.50447,4.91488,0.491568,0.289648
2.5,5.03652,5.16405,0.274149,0.465181,0.238956
3,6.72886,5.61902,-2.55398,0.434555,0.196618
3.5,6.93275,4.23275,-6.66495,0.405103,0.164311
4,4.99892,4.12439,-2.30734,0.379021,0.140467
4.5,4.72851,-0.313892,-14.128,0.356909,0.123133
5,-0.579587,-2.04645,-4.33099,0.33869,0.11067
5.5,-2.5518,-3.02415,-1.45778,0.324022,0.10182
6,-3.60371,-3.72143,-0.376744,0.312471,0.0956401
6.5,-4.31901,-3.04664,4.19114,0.303587,0.0914219
7,-3.45264,-1.10071,7.92089,0.296926,0.088627
7.5,-1.15571,1.53233,9.20329,0.292074,0.0868452
8,1.87697,2.21567,1.1734,0.288651,0.0857652
8.5,2.61062,3.6437,3.60809,0.286322,0.0851537
9,4.19227,3.16597,-3.60358,0.284801,0.0848406
9.5,3.56168,1.18678,-8.36668,0.283853,0.0847058
10,1.22813,-0.855729,-7.35582,0.283295,0.0846684
10.5,-1.12577,-1.54081,-1.46661,0.282988,0.0846769
11,-1.87295,-2.77517,-3.18993,0.282835,0.0847011
11.5,-3.24241,-3.07604,0.588356,0.282768,0.084725
12,-3.51835,-2.17823,4.73968,0.282745,0.0847419
12.5,-2.41971,-0.655678,6.23907,0.28274,0.0847503
13,-0.632783,0.320766,3.37252,0.28274,0.0847512
13.5,0.486574,2.54198,7.26963,0.282739,0.084747
14,3.01583,4.08478,3.78075,0.282735,0.0847398
14.5,4.71881,2.27356,-8.64881,0.282727,0.0847314
15,2.54119,1.03006,-5.34499,0.282718,0.0847231
15.5,1.07127,-0.964026,-7.19929,0.282708,0.0847158
16,-1.22777,-2.38876,-4.10684,0.282698,0.0847098
16.5,-2.82645,-2.48454,1.2095,0.28269,0.0847051
17,-2.87101,-1.49308,4.87447,0.282682,0.0847016
17.5,-1.6731,-0.46559,4.27172,0.282677,0.0846992
18,-0.46471,-0.564163,-0.351832,0.282672,0.0846977
18.5,-0.578183,0.00781417,2.07308,0.282669,0.0846967
19,0.0815858,2.25153,7.67668,0.282667,0.0846961
19.5,2.6504,1.35269,-4.59095,0.282666,0.0846958
20,1.55714,2.34374,2.78282,0.282665,0.0846957
20.5,2.66604,1.35428,-4.64069,0.282664,0.0846957
21,1.48005,-1.54015,-10.6848,0.282664,0.0846957
21.5,-1.86685,-1.89662,-0.105311,0.282664,0.0846957
22,-2.22779,-2.42499,-0.69767,0.282664,0.0846957
