n,angular_velocity,amplitude,phase
0,0,6.42385,0
1,0.628319,1.58392,1.74934
2,1.25664,0.782193,1.71404
3,1.88496,0.525128,1.72598
4,2.51327,0.399196,1.74953
5,3.14159,0.325504,1.77815
6,3.76991,0.277466,1.80942
7,4.39823,0.244608,1.8409
8,5.02655,0.221336,1.87335
9,5.65487,0.204577,1.90664
10,6.28319,0.192412,1.94072
11,6.9115,0.18381,1.97437
12,7.53982,0.178505,2.00688
13,8.16814,0.175927,2.04122
14,8.79646,0.175621,2.07401
15,9.42478,0.178245,2.10683
16,10.0531,0.183744,2.14026
17,10.6814,0.192908,2.17236
18,11.3097,0.206617,2.20573
19,11.9381,0.226712,2.23829
20,12.5664,0.256733,2.26983
21,13.1947,0.304056,2.30063
22,13.823,0.384409,2.33189
23,14.4513,0.54463,2.36313
24,15.0796,1.00582,2.39216
