time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,-1.66466,6.65866,6.72524,3.36262,-10.0879
0.5,-1.82131,-1.0381,-0.981893,2.27649,-1.2946
1,-1.81111,-1.8621,-1.82452,1.25124,0.573275
1.5,-1.55512,-2.83505,-2.82581,0.231977,2.59383
2,0.84666,-11.1622,-11.2646,-2.64218,13.9068
2.5,4.63603,-5.9875,-6.14976,-3.51907,9.66883
3,6.46306,-1.88887,-2.07002,-3.15681,5.22683
3.5,6.5604,6.02268,5.90176,-0.892168,-5.00959
4,7.38148,1.99617,1.89521,-0.195324,-1.69988
4.5,1.22035,20.0171,20.1163,4.88258,-24.9989
5,-2.86816,6.95085,7.11957,5.44183,-12.5614
5.5,-6.14193,1.87499,2.06245,4.59698,-6.65943
6,-7.84123,0.117566,0.306207,3.52429,-3.8305
6.5,-8.96899,-8.71549,-8.61401,0.489715,8.12429
7,-3.42189,-12.3606,-12.3828,-2.72841,15.1112
7.5,1.76137,-14.3359,-14.5014,-5.67166,20.1731
8,4.58535,-1.51762,-1.69827,-4.67831,6.37658
8.5,8.66501,-3.7745,-3.9929,-4.50696,8.49986
9,8.95163,7.77205,7.63137,-1.47238,-6.15899
9.5,5.24231,14.8501,14.858,2.61021,-17.4682
10,-0.427795,11.8254,11.9515,4.94553,-16.897
10.5,-2.68492,2.49774,2.64879,4.37134,-7.02014
11,-7.19754,2.92603,3.10634,4.05509,-7.16143
11.5,-8.49462,-3.1888,-3.04038,2.28122,0.759156
12,-6.08409,-8.52888,-8.46574,-0.405517,8.87126
12.5,-2.1053,-9.74606,-9.78039,-2.74923,12.5296
13,0.0275599,-5.45406,-5.54293,-3.44766,8.99059
13.5,5.15519,-10.3594,-10.5519,-5.22371,15.7756
14,8.93542,-4.65993,-4.89899,-5.14253,10.0415
14.5,6.8749,14.7327,14.641,-0.196647,-14.4444
15,4.22567,9.83104,9.83762,2.31192,-12.1495
15.5,0.678574,12.9325,13.0684,5.00103,-18.0694
16,-4.55773,6.10922,6.30622,5.32733,-11.6335
16.5,-7.92313,-4.69152,-4.54144,2.86013,1.68131
17,-5.54973,-9.5589,-9.5044,-0.231,9.7354
17.5,-3.38875,-8.58826,-8.61965,-2.32816,10.9478
18,-1.26414,0.366686,0.338962,-1.66138,1.32242
18.5,1.46765,-1.52435,-1.56732,-1.63787,3.20518
19,5.2177,-10.301,-10.4469,-3.84014,14.2871
19.5,3.64007,7.51907,7.44829,-1.01803,-6.43025
20,4.33661,-4.34559,-4.45983,-1.87848,6.33831
20.5,3.87335,7.82047,7.78443,0.537248,-8.32168
21,-0.406505,18.0008,18.1447,4.93912,-23.0839
21.5,-4.29865,-0.356594,-0.21619,3.65029,-3.4341
22,-4.6926,1.15615,1.30812,3.06475,-4.37286
22.5,-3.41861,-18.4707,-18.5035,-2.32731,20.8308
23,-2.79889,-1.95039,-2.00264,-2.24614,4.24878
23.5,2.43844,-5.34095,-5.44661,-3.04626,8.49287
24,3.10151,3.72825,3.65988,-1.36972,-2.29015
24.5,2.48582,11.413,11.4588,1.83739,-13.2961
25,-0.140354,-2.06159,-2.03645,0.868933,1.16752
25.5,1.55606,-6.0775,-6.11313,-0.876584,6.98972
26,-0.656763,2.62794,2.61858,-0.00279257,-2.61579
26.5,-1.79666,4.52957,4.56551,1.13928,-5.7048
27,0.300915,-1.2598,-1.23645,0.54535,0.691103
27.5,-1.91595,7.24714,7.34296,2.24475,-9.58771
28,-1.15589,-12.5898,-12.6199,-1.4714,14.0913
