time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
46.5,-25.2665,-20.5974,16.5183,0.282664,0.0846957
47,-24.5711,-11.4198,46.5262,0.282664,0.0846957
47.5,-13.4232,-21.2372,-27.644,0.282664,0.0846957
48,-24.4113,-17.1904,25.5459,0.282664,0.0846957
48.5,-19.2826,-23.9453,-16.4954,0.282664,0.0846957
49,-26.7361,-10.2849,58.2005,0.282664,0.0846957
49.5,-10.611,-6.44267,14.7466,0.282664,0.0846957
50,-6.14431,6.88672,46.1008,0.282664,0.0846957
50.5,9.13735,31.9486,80.7011,0.282664,0.0846957
51,37.6168,31.5138,-21.5911,0.282664,0.0846957
51.5,36.2676,33.6149,-9.38443,0.282664,0.0846957
52,37.9713,3.71136,-121.204,0.282664,0.0846957
52.5,2.93504,-6.49603,-33.365,0.282664,0.0846957
53,-8.68529,1.74931,36.9152,0.282664,0.0846957
53.5,1.12333,-9.46857,-37.4717,0.282664,0.0846957
54,-11.6814,-15.3808,-13.0878,0.282664,0.0846957
54.5,-18.1479,-30.388,-43.3028,0.282664,0.0846957
55,-34.9889,-20.0871,52.719,0.282664,0.0846957
55.5,-22.4554,-23.779,-4.68261,0.282664,0.0846957
56,-26.3456,-20.3572,21.1857,0.282664,0.0846957
56.5,-22.0266,16.9955,138.051,0.282664,0.0846957
57,21.1723,26.3832,18.4352,0.282664,0.0846957
57.5,31.3407,30.7827,-1.97392,0.282664,0.0846957
58,35.6566,14.7152,-74.0858,0.282664,0.0846957
58.5,16.4517,11.2651,-18.3491,0.282664,0.0846957
59,12.2245,16.6609,15.6951,0.282664,0.0846957
59.5,18.285,3.88088,-50.9585,0.282664,0.0846957
60,3.34697,3.34132,-0.0199995,0.282664,0.0846957
60.5,2.80657,-19.2975,-78.1991,0.282664,0.0846957
61,-23.1438,-23.5794,-1.54093,0.282664,0.0846957
61.5,-27.4909,-29.288,-6.35776,0.282664,0.0846957
62,-33.4688,-37.9896,-15.9936,0.282664,0.0846957
62.5,-42.8477,-8.22095,122.502,0.282664,0.0846957
63,-7.89137,9.56743,61.7653,0.282664,0.0846957
63.5,12.5126,21.2949,31.0696,0.282664,0.0846957
64,25.5558,8.57924,-60.0593,0.282664,0.0846957
64.5,10.2968,12.2307,6.84163,0.282664,0.0846957
65,14.238,30.1806,56.4015,0.282664,0.0846957
65.5,34.5764,15.523,-67.4064,0.282664,0.0846957
66,17.0643,18.4762,4.99484,0.282664,0.0846957
66.5,20.2289,6.00112,-50.3347,0.282664,0.0846957
67,5.62233,-9.09964,-52.083,0.282664,0.0846957
67.5,-11.684,-26.7915,-53.4467,0.282664,0.0846957
68,-31.6392,-41.8468,-36.1119,0.282664,0.0846957
68.5,-48.2238,-20.2025,99.133,0.282664,0.0846957
69,-22.3814,-12.1411,36.2281,0.282664,0.0846957
69.5,-12.7858,2.69313,54.761,0.282664,0.0846957
70,4.36738,-0.928805,-18.7367,0.282664,0.0846957
70.5,-0.0480158,-2.01232,-6.94926,0.282664,0.0846957
71,-1.42582,24.0056,89.9706,0.282664,0.0846957
71.5,28.4022,21.9716,-22.75,0.282664,0.0846957
72,25.4047,27.8198,8.54384,0.282664,0.0846957
72.5,31.6147,23.645,-28.1953,0.282664,0.0846957
73,26.2459,15.376,-38.4554,0.282664,0.0846957
73.5,16.3484,-7.24057,-83.4524,0.282664,0.0846957
74,-9.80215,-37.1855,-96.8762,0.282664,0.0846957
