time,measured_position,estimated_position, error, L1, L2, estimated_velocity
0.5,-0.783206,-4.55326,7.54011,0.5,0.1,0.754011
1,0.050994,-2.06263,4.22725,0.5,0.1,1.17674
1.5,1.27992,-0.0971694,2.75419,0.5,0.1,1.45216
2,12.0089,6.31891,11.38,0.5,0.1,2.59016
2.5,10.6235,9.11876,3.00954,0.5,0.1,2.89111
3,8.35193,9.45812,-2.21238,0.5,0.1,2.66987
3.5,0.537717,5.66539,-10.2553,0.5,0.1,1.64434
4,5.38531,5.93643,-1.10225,0.5,0.1,1.53411
4.5,-18.7967,-6.04662,-25.5002,0.5,0.1,-1.01591
5,-9.81901,-8.18679,-3.26443,0.5,0.1,-1.34235
5.5,-8.01691,-8.43744,0.841059,0.5,0.1,-1.25825
6,-7.9588,-8.51268,1.10777,0.5,0.1,-1.14747
6.5,-0.253497,-4.66996,8.83292,0.5,0.1,-0.264178
7,8.93876,2.06836,13.7408,0.5,0.1,1.1099
7.5,16.0973,9.36031,13.474,0.5,0.1,2.4573
8,6.10297,8.34597,-4.486,0.5,0.1,2.0087
8.5,12.4395,10.8949,3.0892,0.5,0.1,2.31762
9,1.17958,6.61665,-10.8741,0.5,0.1,1.23021
9.5,-9.60784,-1.18804,-16.8396,0.5,0.1,-0.453751
10,-12.2532,-6.83406,-10.8383,0.5,0.1,-1.53758
10.5,-5.18266,-6.39275,2.42019,0.5,0.1,-1.29556
11,-10.1236,-8.58205,-3.08303,0.5,0.1,-1.60386
11.5,-5.30581,-7.3449,4.07817,0.5,0.1,-1.19605
12,2.44479,-2.74907,10.3877,0.5,0.1,-0.157276
12.5,7.64076,2.40653,10.4685,0.5,0.1,0.88957
13,5.48162,4.16647,2.63031,0.5,0.1,1.1526
13.5,15.5146,10.1287,10.7718,0.5,0.1,2.22978
14,13.5954,12.4195,2.35179,0.5,0.1,2.46496
14.5,-7.85783,2.89706,-21.5098,0.5,0.1,0.313984
15,-5.60537,-1.27566,-8.65942,0.5,0.1,-0.551957
15.5,-12.2539,-6.90276,-10.7022,0.5,0.1,-1.62218
16,-10.667,-9.1904,-2.95311,0.5,0.1,-1.91749
16.5,-3.2316,-6.69038,6.91754,0.5,0.1,-1.22574
17,4.00917,-1.64704,11.3124,0.5,0.1,-0.0944967
17.5,5.1995,1.75261,6.89379,0.5,0.1,0.594883
18,-1.63083,0.20961,-3.68088,0.5,0.1,0.226795
18.5,2.992,1.6575,2.66899,0.5,0.1,0.493694
19,15.5187,8.71151,13.6143,0.5,0.1,1.85513
19.5,-3.879,2.88004,-13.5181,0.5,0.1,0.503318
20,8.68219,5.90694,5.5505,0.5,0.1,1.05837
20.5,-3.94712,1.2445,-10.3833,0.5,0.1,0.0200431
21,-18.4073,-8.57637,-19.6618,0.5,0.1,-1.94614
21.5,-3.94206,-6.74575,5.60738,0.5,0.1,-1.3854
22,-5.84875,-6.6436,1.58969,0.5,0.1,-1.22643
22.5,15.0521,3.89766,22.3089,0.5,0.1,1.00447
23,-0.848493,1.7757,-5.24838,0.5,0.1,0.479627
23.5,7.7794,4.89746,5.76389,0.5,0.1,1.05602
24,-0.626743,2.39936,-6.05221,0.5,0.1,0.450795
24.5,-8.92717,-3.15121,-11.5519,0.5,0.1,-0.704398
25,1.92124,-0.791083,5.42464,0.5,0.1,-0.161933
25.5,7.63356,3.38075,8.50561,0.5,0.1,0.688628
26,-3.2847,0.220184,-7.00977,0.5,0.1,-0.0123491
26.5,-6.32623,-3.05611,-6.54024,0.5,0.1,-0.666374
27,1.56071,-0.914294,4.95001,0.5,0.1,-0.171373
27.5,-9.16309,-5.08154,-8.16311,0.5,0.1,-0.987684
28,11.4339,2.92925,17.0093,0.5,0.1,0.713242
28.5,5.04923,4.16755,1.76336,0.5,0.1,0.889578
29,11.1251,7.86873,6.51278,0.5,0.1,1.54086
29.5,-9.5841,-0.472471,-18.2233,0.5,0.1,-0.28147
30,-13.1785,-6.89587,-12.5653,0.5,0.1,-1.538
30.5,1.39357,-3.13565,9.05844,0.5,0.1,-0.632159
31,-11.2133,-7.33252,-7.76158,0.5,0.1,-1.40832
31.5,8.88845,0.425888,16.9251,0.5,0.1,0.284197
32,8.84497,4.70648,8.27698,0.5,0.1,1.1119
32.5,-0.781245,2.24059,-6.04367,0.5,0.1,0.507528
33,1.41299,1.95367,-1.08137,0.5,0.1,0.399391
33.5,3.08585,2.61961,0.932488,0.5,0.1,0.49264
34,7.68948,5.2777,4.82354,0.5,0.1,0.974995
34.5,-1.01844,2.37338,-6.78364,0.5,0.1,0.29663
35,-5.18808,-1.33319,-7.70978,0.5,0.1,-0.474347
35.5,-5.14571,-3.35804,-3.57535,0.5,0.1,-0.831882
36,-20.4147,-12.0943,-16.6407,0.5,0.1,-2.49595
36.5,-2.79371,-8.06801,10.5486,0.5,0.1,-1.44109
37,6.27245,-1.25806,15.061,0.5,0.1,0.065008
37.5,11.0589,4.91665,12.2844,0.5,0.1,1.29345
38,7.93185,6.74761,2.36848,0.5,0.1,1.5303
38.5,10.6777,9.09525,3.16498,0.5,0.1,1.84679
39,3.91692,6.96778,-6.10173,0.5,0.1,1.23662
39.5,-7.25038,0.167857,-14.8365,0.5,0.1,-0.247026
40,1.78828,0.916313,1.74394,0.5,0.1,-0.0726323
40.5,-7.78383,-3.45192,-8.66383,0.5,0.1,-0.939015
41,-11.2591,-7.59026,-7.33767,0.5,0.1,-1.67278
41.5,-14.1316,-11.2791,-5.70494,0.5,0.1,-2.24328
42,1.77533,-5.31272,14.1761,0.5,0.1,-0.825667
42.5,-2.23088,-3.97822,3.49467,0.5,0.1,-0.476201
43,11.969,3.87633,16.1853,0.5,0.1,1.14233
43.5,15.7299,10.0887,11.2825,0.5,0.1,2.27057
44,11.8282,11.5261,0.604239,0.5,0.1,2.331
44.5,1.8418,7.26671,-10.8498,0.5,0.1,1.24601
45,-4.01897,1.93537,-11.9087,0.5,0.1,0.0551457
45.5,0.472741,1.21784,-1.4902,0.5,0.1,-0.0938748
46,-19.5733,-9.20119,-20.7442,0.5,0.1,-2.16829
46.5,-4.85587,-7.5706,5.42947,0.5,0.1,-1.62535
47,-7.52722,-7.95525,0.856054,0.5,0.1,-1.53974
47.5,-3.73694,-6.23103,4.98818,0.5,0.1,-1.04092
48,5.32838,-0.711557,12.0799,0.5,0.1,0.167063
48.5,12.1656,5.76881,12.7937,0.5,0.1,1.44643
49,12.0034,9.2477,5.51135,0.5,0.1,1.99757
49.5,5.559,7.90274,-4.68749,0.5,0.1,1.52882
50,4.61706,6.64211,-4.05009,0.5,0.1,1.12381
50.5,2.88924,5.04662,-4.31477,0.5,0.1,0.692331
51,-11.6755,-3.14134,-17.0682,0.5,0.1,-1.01449
51.5,-13.1688,-8.4087,-9.52023,0.5,0.1,-1.96652
52,-1.85963,-5.62579,7.53232,0.5,0.1,-1.21328
52.5,-18.7808,-12.5066,-12.5484,0.5,0.1,-2.46812
53,6.29539,-3.72265,20.0361,0.5,0.1,-0.464515
53.5,8.90479,2.47494,12.8597,0.5,0.1,0.821455
54,9.72512,6.30539,6.83945,0.5,0.1,1.5054
54.5,9.71142,8.38476,2.65333,0.5,0.1,1.77073
55,-0.0391283,4.6155,-9.30925,0.5,0.1,0.839807
55.5,5.24293,5.13917,0.207532,0.5,0.1,0.860561
56,-8.95861,-1.69458,-14.5281,0.5,0.1,-0.592245
56.5,-3.48138,-2.73604,-1.49067,0.5,0.1,-0.741312
