time, running_average(5), position_error, PI_output, smoothed_output, total_output
45.5,1.51558,0.926539,0.891548,-0.785118,-0.10643
46,1.63888,2.17101,2.15773,-0.0494064,-2.10832
46.5,0.0779724,1.90226,1.908,0.439945,-2.34794
47,-0.176987,3.78528,3.82888,1.28718,-5.11605
47.5,-0.586514,-3.38358,-3.37383,0.121927,3.2519
48,-0.782658,-0.390982,-0.385133,-0.0048384,0.389972
48.5,-1.42257,2.30911,2.33805,0.580883,-2.91893
49,0.0276806,-5.39927,-5.42432,-0.920419,6.34474
49.5,1.50969,-1.93807,-1.9825,-1.18594,3.16845
50,-0.652338,7.36071,7.38988,0.958016,-8.3479
50.5,1.03361,-7.00446,-7.04533,-1.04282,8.08815
51,1.37474,3.40076,3.3939,0.066359,-3.46026
51.5,-0.590158,3.80739,3.8386,1.00942,-4.84802
52,-0.950542,-2.59638,-2.59113,0.109281,2.48185
52.5,-0.236651,4.20694,4.25426,1.14553,-5.39978
53,-0.606972,-6.79343,-6.81405,-0.844368,7.65842
53.5,-1.32822,4.30405,4.32648,0.448343,-4.77482
54,0.451012,-4.04762,-4.06568,-0.680162,4.74584
54.5,1.78371,-6.52563,-6.60894,-2.16236,8.77129
55,1.00838,9.32863,9.3386,0.712884,-10.0515
55.5,-0.304035,0.0715901,0.082282,0.555234,-0.637515
56,1.40486,-1.50734,-1.51172,0.0384958,1.47322
56.5,-1.2292,7.44248,7.51253,1.907,-9.41953
57,-3.29551,-1.27334,-1.21603,1.12624,0.0897862
57.5,0.238224,-9.11018,-9.14397,-1.44131,10.5853
58,0.175554,0.864531,0.839384,-0.871135,0.0317513
58.5,0.300647,-3.23702,-3.29453,-1.47698,4.77152
59,2.23515,1.23432,1.18915,-0.810452,-0.378696
59.5,2.50654,3.17178,3.15832,0.181741,-3.34006
60,-0.71194,6.03203,6.0789,1.65603,-7.73493
60.5,-1.98281,5.0605,5.15797,2.53152,-7.68949
61,-1.39255,-7.88151,-7.86286,-0.0670772,7.92993
61.5,-1.85903,-0.527421,-0.51404,-0.178818,0.692858
62,-0.873102,-5.13752,-5.17552,-1.42799,6.60351
62.5,1.90648,-5.24747,-5.33793,-2.40548,7.74341
63,3.69329,1.80255,1.73011,-1.37158,-0.358528
63.5,0.576914,9.66983,9.69409,1.39484,-11.0889
64,0.244035,3.24004,3.2967,1.8703,-5.167
64.5,-0.596997,-0.656258,-0.606165,1.25118,-0.645019
65,-3.91293,5.51281,5.61803,2.3429,-7.96093
65.5,-2.24688,-12.4679,-12.4874,-1.36467,13.852
66,0.876773,-5.64857,-5.72452,-2.45463,8.17914
66.5,1.54249,1.20991,1.14606,-1.55446,0.408395
67,2.14378,-0.921924,-0.994988,-1.41459,2.40958
67.5,3.22434,7.24729,7.2467,0.750734,-7.99744
68,-0.286179,7.04539,7.11525,2.34186,-9.45712
68.5,-2.41598,1.70767,1.79461,2.20505,-3.99966
69,-2.56977,-2.1334,-2.0678,1.13684,0.930961
69.5,-2.00024,-7.91356,-7.92709,-1.12914,9.05624
