time,angle0,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14,angle15,angle16,angle17,angle18,angle19,angle20,angle21,angle22,angle23,angle24,distance
23.3000,-1.4999,2.0573,0.3736,-1.2045,0.4374,1.1847,-0.2182,-2.7289,-1.0613,1.0145,1.5585,0.2618,-1.7443,-1.6518,-1.7274,1.2248,-2.1027,1.4561,2.7820,2.1084,1.0006,2.2402,-2.4508,-2.6144,2.3325,5.0189
23.4000,-1.7018,1.9519,0.2055,-1.0053,0.3526,1.0701,-0.1940,-2.5538,-0.8440,1.0270,1.7076,0.1188,-1.5780,-1.8002,-1.8186,1.4488,-1.8374,1.2845,2.8563,2.3385,0.7714,2.1438,-2.2726,-2.6108,2.3112,11.2193
23.5000,-1.9037,1.8466,0.0373,-0.8062,0.2678,0.9555,-0.1697,-2.3788,-0.6267,1.0396,1.8568,-0.0243,-1.4117,-1.9487,-1.9099,1.6728,-1.5721,1.1128,2.9305,2.5687,0.5422,2.0473,-2.0943,-2.6072,2.2898,16.8270
23.6000,-2.1055,1.7412,-0.1308,-0.6071,0.1831,0.8409,-0.1455,-2.2037,-0.4093,1.0522,2.0059,-0.1673,-1.2454,-2.0972,-2.0012,1.8968,-1.3068,0.9411,3.0047,2.7988,0.3130,1.9509,-1.9160,-2.6037,2.2685,21.6380
23.7000,-2.3074,1.6359,-0.2989,-0.4080,0.0983,0.7264,-0.1213,-2.0286,-0.1920,1.0647,2.1551,-0.3104,-1.0791,-2.2457,-2.0925,2.1208,-1.0414,0.7694,3.0789,3.0290,0.0838,1.8544,-1.7378,-2.6001,2.2471,25.4869
23.8000,-2.5093,1.5305,-0.4670,-0.2089,0.0135,0.6118,-0.0970,-1.8536,0.0254,1.0773,2.3042,-0.4534,-0.9128,-2.3942,-2.1838,2.3448,-0.7761,0.5978,-3.1301,-3.0240,-0.1454,1.7579,-1.5595,-2.5965,2.2258,28.2505
23.9000,-2.7112,1.4252,-0.6351,-0.0098,-0.0713,0.4972,-0.0728,-1.6785,0.2427,1.0899,2.4533,-0.5964,-0.7465,-2.5427,-2.2751,2.5688,-0.5108,0.4261,-3.0558,-2.7939,-0.3746,1.6615,-1.3812,-2.5930,2.2044,29.8530
24.0000,-2.9131,1.3198,-0.8032,0.1893,-0.1560,0.3826,-0.0486,-1.5035,0.4601,1.1024,2.6025,-0.7395,-0.5802,-2.6912,-2.3664,2.7928,-0.2454,0.2544,-2.9816,-2.5637,-0.6038,1.5650,-1.2030,-2.5894,2.1831,30.2688
24.1000,-3.1149,1.2145,-0.9714,0.3884,-0.2408,0.2680,-0.0244,-1.3284,0.6774,1.1150,2.7516,-0.8825,-0.4139,-2.8397,-2.4577,3.0168,0.0199,0.0827,-2.9074,-2.3336,-0.8329,1.4685,-1.0247,-2.5858,2.1617,29.5230
24.2000,2.9664,1.1091,-1.1395,0.5875,-0.3256,0.1534,-0.0001,-1.1534,0.8948,1.1276,2.9007,-1.0256,-0.2476,-2.9882,-2.5490,-3.0423,0.2852,-0.0889,-2.8332,-2.1034,-1.0621,1.3721,-0.8464,-2.5822,2.1404,27.6895
24.3000,2.7645,1.0038,-1.3076,0.7866,-0.4103,0.0388,0.0241,-0.9783,1.1121,1.1402,3.0499,-1.1686,-0.0813,-3.1367,-2.6402,-2.8183,0.5506,-0.2606,-2.7590,-1.8733,-1.2913,1.2756,-0.6682,-2.5787,2.1190,24.8871
24.4000,2.5626,0.8984,-1.4757,0.9857,-0.4951,-0.0758,0.0483,-0.8032,1.3294,1.1527,-3.0842,-1.3117,0.0850,2.9980,-2.7315,-2.5943,0.8159,-0.4323,-2.6848,-1.6431,-1.5205,1.1791,-0.4899,-2.5751,2.0977,21.2728
24.5000,2.3607,0.7931,-1.6438,1.1848,-0.5799,-0.1903,0.0726,-0.6282,1.5468,1.1653,-2.9350,-1.4547,0.2513,2.8495,-2.8228,-2.3703,1.0812,-0.6040,-2.6105,-1.4130,-1.7497,1.0827,-0.3116,-2.5715,2.0764,17.0340
24.6000,2.1589,0.6877,-1.8119,1.3839,-0.6647,-0.3049,0.0968,-0.4531,1.7641,1.1779,-2.7859,-1.5978,0.4176,2.7010,-2.9141,-2.1463,1.3465,-0.7756,-2.5363,-1.1828,-1.9789,0.9862,-0.1334,-2.5680,2.0550,12.3806
24.7000,1.9570,0.5824,-1.9801,1.5830,-0.7494,-0.4195,0.1210,-0.2781,1.9815,1.1904,-2.6368,-1.7408,0.5839,2.5525,-3.0054,-1.9223,1.6119,-0.9473,-2.4621,-0.9527,-2.2081,0.8897,0.0449,-2.5644,2.0337,7.5397
24.8000,1.7551,0.4770,-2.1482,1.7821,-0.8342,-0.5341,0.1453,-0.1030,2.1988,1.2030,-2.4876,-1.8839,0.7502,2.4040,-3.0967,-1.6983,1.8772,-1.1190,-2.3879,-0.7225,-2.4373,0.7933,0.2232,-2.5608,2.0123,2.8069
24.9000,1.5532,0.3717,-2.3163,1.9812,-0.9190,-0.6487,0.1695,0.0720,2.4162,1.2156,-2.3385,-2.0269,0.9165,2.2555,3.0952,-1.4743,2.1425,-1.2907,-2.3137,-0.4924,-2.6665,0.6968,0.4014,-2.5572,1.9910,2.2609
25.0000,1.3513,0.2663,-2.4844,2.1803,-1.0037,-0.7633,0.1937,0.2471,2.6335,1.2281,-2.1893,-2.1700,1.0828,2.1070,3.0039,-1.2503,2.4079,-1.4623,-2.2395,-0.2622,-2.8956,0.6004,0.5797,-2.5537,1.9696,6.3322
25.1000,1.1495,0.1610,-2.6525,2.3795,-1.0885,-0.8779,0.2179,0.4222,2.8508,1.2407,-2.0402,-2.3130,1.2491,1.9585,2.9126,-1.0262,2.6732,-1.6340,-2.1652,-0.0321,-3.1248,0.5039,0.7580,-2.5501,1.9483,9.9710
25.2000,0.9476,0.0556,-2.8206,2.5786,-1.1733,-0.9925,0.2422,0.5972,3.0682,1.2533,-1.8911,-2.4560,1.4154,1.8100,2.8213,-0.8022,2.9385,-1.8057,-2.0910,0.1981,2.9292,0.4074,0.9362,-2.5465,1.9269,12.9435
25.3000,0.7457,-0.0497,-2.9888,2.7777,-1.2581,-1.1071,0.2664,0.7723,-2.9977,1.2659,-1.7419,-2.5991,1.5817,1.6615,2.7301,-0.5782,-3.0793,-1.9774,-2.0168,0.4282,2.7000,0.3110,1.1145,-2.5430,1.9056,15.1541
25.4000,0.5438,-0.1551,3.1263,2.9768,-1.3428,-1.2216,0.2906,0.9473,-2.7803,1.2784,-1.5928,-2.7421,1.7480,1.5130,2.6388,-0.3542,-2.8140,-2.1491,-1.9426,0.6584,2.4708,0.2145,1.2928,-2.5394,1.8842,16.5571
25.5000,0.3420,-0.2604,2.9582,-3.1073,-1.4276,-1.3362,0.3149,1.1224,-2.5630,1.2910,-1.4437,-2.8852,1.9143,1.3645,2.5475,-0.1302,-2.5487,-2.3207,-1.8684,0.8885,2.2416,0.1180,1.4710,-2.5358,1.8629,17.1493
25.6000,0.1401,-0.3658,2.7901,-2.9082,-1.5124,-1.4508,0.3391,1.2974,-2.3456,1.3036,-1.2945,-3.0282,2.0806,1.2160,2.4562,0.0938,-2.2833,-2.4924,-1.7942,1.1187,2.0124,0.0216,1.6493,-2.5323,1.8415,16.9672
25.7000,-0.0618,-0.4712,2.6220,-2.7091,-1.5971,-1.5654,0.3633,1.4725,-2.1283,1.3161,-1.1454,3.1119,2.2469,1.0675,2.3649,0.3178,-2.0180,-2.6641,-1.7199,1.3488,1.7832,-0.0749,1.8276,-2.5287,1.8202,16.0811
25.8000,-0.2637,-0.5765,2.4538,-2.5100,-1.6819,-1.6800,0.3875,1.6476,-1.9109,1.3287,-0.9962,2.9689,2.4132,0.9190,2.2736,0.5418,-1.7527,-2.8358,-1.6457,1.5790,1.5540,-0.1714,2.0058,-2.5251,1.7988,14.5898
25.9000,-0.4656,-0.6819,2.2857,-2.3109,-1.7667,-1.7946,0.4118,1.8226,-1.6936,1.3413,-0.8471,2.8258,2.5795,0.7705,2.1823,0.7658,-1.4873,-3.0074,-1.5715,1.8091,1.3248,-0.2678,2.1841,-2.5215,1.7775,12.6130
26.0000,-0.6674,-0.7872,2.1176,-2.1118,-1.8515,-1.9092,0.4360,1.9977,-1.4763,1.3538,-0.6980,2.6828,2.7458,0.6220,2.0910,0.9898,-1.2220,3.1041,-1.4973,2.0393,1.0957,-0.3643,2.3624,-2.5180,1.7562,10.2841
26.1000,-0.8693,-0.8926,1.9495,-1.9127,-1.9362,-2.0238,0.4602,2.1727,-1.2589,1.3664,-0.5488,2.5397,2.9121,0.4735,1.9997,1.2138,-0.9567,2.9324,-1.4231,2.2694,0.8665,-0.4608,2.5406,-2.5144,1.7348,7.7431
26.2000,-1.0712,-0.9979,1.7814,-1.7136,-2.0210,-2.1383,0.4845,2.3478,-1.0416,1.3790,-0.3997,2.3967,3.0784,0.3250,1.9085,1.4379,-0.6913,2.7607,-1.3489,2.4995,0.6373,-0.5572,2.7189,-2.5108,1.7135,5.1351
26.3000,-1.2731,-1.1033,1.6133,-1.5145,-2.1058,-2.2529,0.5087,2.5228,-0.8242,1.3916,-0.2506,2.2536,-3.0385,0.1765,1.8172,1.6619,-0.4260,2.5890,-1.2746,2.7297,0.4081,-0.6537,2.8972,-2.5073,1.6921,2.6456
26.4000,-1.4750,-1.2086,1.4451,-1.3154,-2.1906,-2.3675,0.5329,2.6979,-0.6069,1.4041,-0.1014,2.1106,-2.8722,0.0280,1.7259,1.8859,-0.1607,2.4174,-1.2004,2.9598,0.1789,-0.7501,3.0754,-2.5037,1.6708,1.1533
26.5000,-1.6768,-1.3140,1.2770,-1.1163,-2.2753,-2.4821,0.5571,2.8730,-0.3895,1.4167,0.0477,1.9675,-2.7059,-0.1205,1.6346,2.1099,0.1046,2.2457,-1.1262,-3.0932,-0.0503,-0.8466,-3.0295,-2.5001,1.6494,2.6382
26.6000,-1.8787,-1.4193,1.1089,-0.9171,-2.3601,-2.5967,0.5814,3.0480,-0.1722,1.4293,0.1969,1.8245,-2.5396,-0.2690,1.5433,2.3339,0.3700,2.0740,-1.0520,-2.8630,-0.2795,-0.9431,-2.8512,-2.4965,1.6281,4.5174
26.7000,-2.0806,-1.5247,0.9408,-0.7180,-2.4449,-2.7113,0.6056,-3.0601,0.0451,1.4418,0.3460,1.6814,-2.3733,-0.4175,1.4520,2.5579,0.6353,1.9023,-0.9778,-2.6329,-0.5087,-1.0395,-2.6730,-2.4930,1.6067,6.1574
26.8000,-2.2825,-1.6300,0.7727,-0.5189,-2.5296,-2.8259,0.6298,-2.8851,0.2625,1.4544,0.4951,1.5384,-2.2070,-0.5660,1.3607,2.7819,0.9006,1.7307,-0.9036,-2.4027,-0.7379,-1.1360,-2.4947,-2.4894,1.5854,7.4895
26.9000,-2.4844,-1.7354,0.6046,-0.3198,-2.6144,-2.9405,0.6541,-2.7100,0.4798,1.4670,0.6443,1.3954,-2.0407,-0.7145,1.2694,3.0059,1.1660,1.5590,-0.8293,-2.1726,-0.9671,-1.2325,-2.3164,-2.4858,1.5640,8.5037
27.0000,-2.6862,-1.8407,0.4364,-0.1207,-2.6992,-3.0550,0.6783,-2.5349,0.6972,1.4795,0.7934,1.2523,-1.8744,-0.8630,1.1781,-3.0533,1.4313,1.3873,-0.7551,-1.9424,-1.1962,-1.3289,-2.1382,-2.4823,1.5427,9.2120
27.1000,-2.8881,-1.9461,0.2683,0.0784,-2.7840,3.1136,0.7025,-2.3599,0.9145,1.4921,0.9425,1.1093,-1.7081,-1.0115,1.0869,-2.8292,1.6966,1.2156,-0.6809,-1.7123,-1.4254,-1.4254,-1.9599,-2.4787,1.5213,9.6387
27.2000,-3.0900,-2.0514,0.1002,0.2775,-2.8687,2.9990,0.7267,-2.1848,1.1319,1.5047,1.0917,0.9662,-1.5418,-1.1600,0.9956,-2.6052,1.9620,1.0440,-0.6067,-1.4821,-1.6546,-1.5219,-1.7816,-2.4751,1.5000,9.8178
27.3000,2.9913,-2.1568,-0.0679,0.4766,-2.9535,2.8844,0.7510,-2.0098,1.3492,1.5173,1.2408,0.8232,-1.3755,-1.3085,0.9043,-2.3812,2.2273,0.8723,-0.5325,-1.2520,-1.8838,-1.6183,-1.6034,-2.4716,1.4787,9.7932
27.4000,2.7894,-2.2621,-0.2360,0.6757,-3.0383,2.7698,0.7752,-1.8347,1.5666,1.5298,1.3900,0.6801,-1.2092,-1.4570,0.8130,-2.1572,2.4926,0.7006,-0.4582,-1.0218,-2.1130,-1.7148,-1.4251,-2.4680,1.4573,9.6247
27.5000,2.5876,-2.3675,-0.4041,0.8748,-3.1230,2.6552,0.7994,-1.6597,1.7839,1.5424,1.5391,0.5371,-1.0429,-1.6055,0.7217,-1.9332,2.7579,0.5289,-0.3840,-0.7917,-2.3422,-1.8113,-1.2468,-2.4644,1.4360,9.3970
27.6000,2.3857,-2.4728,-0.5723,1.0739,3.0754,2.5406,0.8237,-1.4846,2.0012,1.5550,1.6882,0.3940,-0.8766,-1.7540,0.6304,-1.7092,3.0233,0.3573,-0.3098,-0.5615,-2.5714,-1.9077,-1.0686,-2.4608,1.4146,9.2289
27.7000,2.1838,-2.5782,-0.7404,1.2730,2.9906,2.4260,0.8479,-1.3095,2.2186,1.5675,1.8374,0.2510,-0.7103,-1.9024,0.5391,-1.4852,-2.9946,0.1856,-0.2356,-0.3314,-2.8006,-2.0042,-0.8903,-2.4573,1.3933,9.2699
27.8000,1.9819,-2.6835,-0.9085,1.4721,2.9058,2.3114,0.8721,-1.1345,2.4359,1.5801,1.9865,0.1079,-0.5440,-2.0509,0.4478,-1.2612,-2.7292,0.0139,-0.1614,-0.1012,-3.0298,-2.1006,-0.7120,-2.4537,1.3719,9.6677
27.9000,1.7800,-2.7889,-1.0766,1.6712,2.8210,2.1969,0.8963,-0.9594,2.6533,1.5927,2.1356,-0.0351,-0.3777,-2.1994,0.3565,-1.0372,-2.4639,-0.1578,-0.0872,0.1289,3.0242,-2.1971,-0.5338,-2.4501,1.3506,10.5107
28.0000,1.5782,-2.8942,-1.2447,1.8703,2.7363,2.0823,0.9206,-0.7844,2.8706,1.6052,2.2848,-0.1782,-0.2114,-2.3479,0.2653,-0.8132,-2.1986,-0.3294,-0.0129,0.3591,2.7951,-2.2936,-0.3555,-2.4466,1.3292,11.7886
28.1000,1.3763,-2.9996,-1.4128,2.0694,2.6515,1.9677,0.9448,-0.6093,3.0880,1.6178,2.4339,-0.3212,-0.0451,-2.4964,0.1740,-0.5892,-1.9333,-0.5011,0.0613,0.5892,2.5659,-2.3900,-0.1772,-2.4430,1.3079,13.4070
28.2000,1.1744,-3.1049,-1.5810,2.2685,2.5667,1.8531,0.9690,-0.4343,-2.9779,1.6304,2.5831,-0.4643,0.1212,-2.6449,0.0827,-0.3651,-1.6679,-0.6728,0.1355,0.8194,2.3367,-2.4865,0.0010,-2.4394,1.2865,15.2298
28.3000,0.9725,3.0729,-1.7491,2.4677,2.4820,1.7385,0.9933,-0.2592,-2.7605,1.6429,2.7322,-0.6073,0.2875,-2.7934,-0.0086,-0.1411,-1.4026,-0.8445,0.2097,1.0495,2.1075,-2.5830,0.1793,-2.4358,1.2652,17.1141
28.4000,0.7707,2.9675,-1.9172,2.6668,2.3972,1.6239,1.0175,-0.0841,-2.5432,1.6555,2.8813,-0.7503,0.4538,-2.9419,-0.0999,0.0829,-1.1373,-1.0162,0.2839,1.2797,1.8783,-2.6794,0.3575,-2.4323,1.2438,18.9275
28.5000,0.5688,2.8622,-2.0853,2.8659,2.3124,1.5093,1.0417,0.0909,-2.3259,1.6681,3.0305,-0.8934,0.6201,-3.0904,-0.1912,0.3069,-0.8719,-1.1878,0.3581,1.5098,1.6491,-2.7759,0.5358,-2.4287,1.2225,20.5574
28.6000,0.3669,2.7568,-2.2534,3.0650,2.2276,1.3947,1.0660,0.2660,-2.1085,1.6807,-3.1036,-1.0364,0.7864,3.0443,-0.2825,0.5309,-0.6066,-1.3595,0.4324,1.7400,1.4199,-2.8724,0.7141,-2.4251,1.2012,21.9161
28.7000,0.1650,2.6515,-2.4215,-3.0191,2.1429,1.2802,1.0902,0.4410,-1.8912,1.6932,-2.9544,-1.1795,0.9527,2.8958,-0.3738,0.7549,-0.3413,-1.5312,0.5066,1.9701,1.1907,-2.9688,0.8923,-2.4216,1.1798,22.9475
28.8000,-0.0369,2.5461,-2.5897,-2.8200,2.0581,1.1656,1.1144,0.6161,-1.6738,1.7058,-2.8053,-1.3225,1.1190,2.7473,-0.4651,0.9789,-0.0759,-1.7029,0.5808,2.2003,0.9615,-3.0653,1.0706,-2.4180,1.1585,23.6319
28.9000,-0.2387,2.4408,-2.7578,-2.6209,1.9733,1.0510,1.1386,0.7912,-1.4565,1.7184,-2.6562,-1.4656,1.2853,2.5988,-0.5563,1.2029,0.1894,-1.8745,0.6550,2.4304,0.7323,3.1214,1.2489,-2.4144,1.1371,23.9909
29.0000,-0.4406,2.3354,-2.9259,-2.4218,1.8886,0.9364,1.1629,0.9662,-1.2391,1.7309,-2.5070,-1.6086,1.4516,2.4503,-0.6476,1.4269,0.4547,-2.0462,0.7292,2.6606,0.5032,3.0250,1.4271,-2.4109,1.1158,24.0891
29.1000,-0.6425,2.2301,-3.0940,-2.2227,1.8038,0.8218,1.1871,1.1413,-1.0218,1.7435,-2.3579,-1.7517,1.6179,2.3018,-0.7389,1.6509,0.7200,-2.2179,0.8034,2.8907,0.2740,2.9285,1.6054,-2.4073,1.0944,24.0308
29.2000,-0.8444,2.1247,3.0211,-2.0236,1.7190,0.7072,1.2113,1.3163,-0.8045,1.7561,-2.2088,-1.8947,1.7842,2.1533,-0.8302,1.8749,0.9854,-2.3896,0.8777,3.1208,0.0448,2.8320,1.7837,-2.4037,1.0731,23.9480
29.3000,-1.0463,2.0194,2.8529,-1.8245,1.6342,0.5926,1.2356,1.4914,-0.5871,1.7686,-2.0596,-2.0378,1.9505,2.0048,-0.9215,2.0990,1.2507,-2.5612,0.9519,-2.9322,-0.1844,2.7356,1.9619,-2.4001,1.0517,23.9766
29.4000,-1.2481,1.9140,2.6848,-1.6254,1.5495,0.4780,1.2598,1.6664,-0.3698,1.7812,-1.9105,-2.1808,2.1168,1.8563,-1.0128,2.3230,1.5160,-2.7329,1.0261,-2.7020,-0.4136,2.6391,2.1402,-2.3966,1.0304,24.2231
29.5000,-1.4500,1.8087,2.5167,-1.4263,1.4647,0.3634,1.2840,1.8415,-0.1524,1.7938,-1.7613,-2.3239,2.2831,1.7078,-1.1041,2.5470,1.7814,-2.9046,1.1003,-2.4719,-0.6428,2.5426,2.3185,-2.3930,1.0090,24.7314
29.6000,-1.6519,1.7033,2.3486,-1.2272,1.3799,0.2489,1.3082,2.0166,0.0649,1.8064,-1.6122,-2.4669,2.4494,1.5593,-1.1954,2.7710,2.0467,-3.0763,1.1745,-2.2417,-0.8720,2.4462,2.4967,-2.3894,0.9877,25.4651
29.7000,-1.8538,1.5980,2.1805,-1.0281,1.2952,0.1343,1.3325,2.1916,0.2823,1.8189,-1.4631,-2.6099,2.6157,1.4108,-1.2866,2.9950,2.3120,3.0352,1.2487,-2.0116,-1.1012,2.3497,2.6750,-2.3859,0.9663,26.3155
29.8000,-2.0557,1.4926,2.0124,-0.8289,1.2104,0.0197,1.3567,2.3667,0.4996,1.8315,-1.3139,-2.7530,2.7820,1.2623,-1.3779,-3.0642,2.5774,2.8636,1.3230,-1.7814,-1.3304,2.2533,2.8533,-2.3823,0.9450,27.1288
29.9000,-2.2575,1.3873,1.8442,-0.6298,1.1256,-0.0949,1.3809,2.5417,0.7169,1.8441,-1.1648,-2.8960,2.9483,1.1138,-1.4692,-2.8402,2.8427,2.6919,1.3972,-1.5513,-1.5595,2.1568,3.0315,-2.3787,0.9236,27.7388
30.0000,-2.4594,1.2819,1.6761,-0.4307,1.0408,-0.2095,1.4052,2.7168,0.9343,1.8566,-1.0157,-3.0391,3.1146,0.9653,-1.5605,-2.6162,3.1080,2.5202,1.4714,-1.3211,-1.7887,2.0603,-3.0734,-2.3751,0.9023,27.9939
30.1000,-2.6613,1.1765,1.5080,-0.2316,0.9561,-0.3241,1.4294,2.8918,1.1516,1.8692,-0.8665,3.1011,-3.0023,0.8168,-1.6518,-2.3922,-2.9098,2.3485,1.5456,-1.0910,-2.0179,1.9639,-2.8951,-2.3716,0.8810,27.7753
30.2000,-2.8632,1.0712,1.3399,-0.0325,0.8713,-0.4387,1.4536,3.0669,1.3690,1.8818,-0.7174,2.9580,-2.8360,0.6683,-1.7431,-2.1681,-2.6445,2.1769,1.6198,-0.8608,-2.2471,1.8674,-2.7169,-2.3680,0.8596,27.0093
30.3000,-3.0650,0.9658,1.1718,0.1666,0.7865,-0.5533,1.4778,-3.0412,1.5863,1.8943,-0.5682,2.8150,-2.6697,0.5198,-1.8344,-1.9441,-2.3792,2.0052,1.6940,-0.6307,-2.4763,1.7709,-2.5386,-2.3644,0.8383,25.6736
30.4000,3.0163,0.8605,1.0037,0.3657,0.7017,-0.6678,1.5021,-2.8662,1.8037,1.9069,-0.4191,2.6719,-2.5034,0.3713,-1.9257,-1.7201,-2.1138,1.8335,1.7683,-0.4005,-2.7055,1.6745,-2.3603,-2.3609,0.8169,23.8034
30.5000,2.8144,0.7551,0.8355,0.5648,0.6170,-0.7824,1.5263,-2.6911,2.0210,1.9195,-0.2700,2.5289,-2.3371,0.2228,-2.0170,-1.4961,-1.8485,1.6618,1.8425,-0.1704,-2.9347,1.5780,-2.1821,-2.3573,0.7956,21.4973
30.6000,2.6125,0.6498,0.6674,0.7639,0.5322,-0.8970,1.5505,-2.5161,2.2383,1.9321,-0.1208,2.3858,-2.1708,0.0743,-2.1082,-1.2721,-1.5832,1.4902,1.9167,0.0598,3.1193,1.4815,-2.0038,-2.3537,0.7742,18.9292
30.7000,2.4106,0.5444,0.4993,0.9630,0.4474,-1.0116,1.5748,-2.3410,2.4557,1.9446,0.0283,2.2428,-2.0045,-0.0742,-2.1995,-1.0481,-1.3179,1.3185,1.9909,0.2899,2.8901,1.3851,-1.8255,-2.3502,0.7529,16.3673
30.8000,2.2087,0.4391,0.3312,1.1621,0.3627,-1.1262,1.5990,-2.1659,2.6730,1.9572,0.1774,2.0997,-1.8382,-0.2227,-2.2908,-0.8241,-1.0525,1.1468,2.0651,0.5201,2.6609,1.2886,-1.6473,-2.3466,0.7315,14.1966
30.9000,2.0069,0.3337,0.1631,1.3612,0.2779,-1.2408,1.6232,-1.9909,2.8904,1.9698,0.3266,1.9567,-1.6719,-0.3712,-2.3821,-0.6001,-0.7872,0.9751,2.1393,0.7502,2.4318,1.1921,-1.4690,-2.3430,0.7102,12.8843
31.0000,1.8050,0.2284,-0.0050,1.5603,0.1931,-1.3554,1.6474,-1.8158,3.1077,1.9823,0.4757,1.8136,-1.5056,-0.5197,-2.4734,-0.3761,-0.5219,0.8035,2.2136,0.9804,2.2026,1.0957,-1.2907,-2.3394,0.6888,12.7623
31.1000,1.6031,0.1230,-0.1732,1.7594,0.1083,-1.4700,1.6717,-1.6408,-2.9581,1.9949,0.6248,1.6706,-1.3393,-0.6682,-2.5647,-0.1521,-0.2565,0.6318,2.2878,1.2105,1.9734,0.9992,-1.1125,-2.3359,0.6675,13.7276
31.2000,1.4012,0.0177,-0.3413,1.9585,0.0236,-1.5845,1.6959,-1.4657,-2.7408,2.0075,0.7740,1.5275,-1.1730,-0.8167,-2.6560,0.0719,0.0088,0.4601,2.3620,1.4407,1.7442,0.9028,-0.9342,-2.3323,0.6461,15.3116
31.3000,1.1994,-0.0877,-0.5094,2.1576,-0.0612,-1.6991,1.7201,-1.2907,-2.5234,2.0200,0.9231,1.3845,-1.0067,-0.9652,-2.7473,0.2960,0.2741,0.2884,2.4362,1.6708,1.5150,0.8063,-0.7559,-2.3287,0.6248,17.0190
31.4000,0.9975,-0.1930,-0.6775,2.3567,-0.1460,-1.8137,1.7444,-1.1156,-2.3061,2.0326,1.0723,1.2415,-0.8404,-1.1137,-2.8386,0.5200,0.5395,0.1167,2.5104,1.9010,1.2858,0.7098,-0.5777,-2.3252,0.6035,18.4919
31.5000,0.7956,-0.2984,-0.8456,2.5559,-0.2307,-1.9283,1.7686,-0.9405,-2.0887,2.0452,1.2214,1.0984,-0.6741,-1.2622,-2.9298,0.7440,0.8048,-0.0549,2.5846,2.1311,1.0566,0.6134,-0.3994,-2.3216,0.5821,19.5078
31.6000,0.5937,-0.4037,-1.0137,2.7550,-0.3155,-2.0429,1.7928,-0.7655,-1.8714,2.0578,1.3705,0.9554,-0.5078,-1.4107,-3.0211,0.9680,1.0701,-0.2266,2.6589,2.3613,0.8274,0.5169,-0.2211,-2.3180,0.5608,19.9459
31.7000,0.3918,-0.5091,-1.1819,2.9541,-0.4003,-2.1575,1.8170,-0.5904,-1.6541,2.0703,1.5197,0.8123,-0.3415,-1.5592,-3.1124,1.1920,1.3355,-0.3983,2.7331,2.5914,0.5982,0.4204,-0.0429,-2.3145,0.5394,19.7627
31.8000,0.1900,-0.6144,-1.3500,-3.1300,-0.4851,-2.2721,1.8413,-0.4154,-1.4367,2.0829,1.6688,0.6693,-0.1752,-1.7077,3.0795,1.4160,1.6008,-0.5700,2.8073,2.8216,0.3690,0.3240,0.1354,-2.3109,0.5181,18.9824
31.9000,-0.0119,-0.7198,-1.5181,-2.9309,-0.5698,-2.3867,1.8655,-0.2403,-1.2194,2.0955,1.8179,0.5262,-0.0089,-1.8562,2.9882,1.6400,1.8661,-0.7416,2.8815,3.0517,0.1399,0.2275,0.3137,-2.3073,0.4967,17.6969
32.0000,-0.2138,-0.8251,-1.6862,-2.7318,-0.6546,-2.5012,1.8897,-0.0653,-1.0020,2.1080,1.9671,0.3832,0.1574,-2.0046,2.8969,1.8640,2.1314,-0.9133,2.9557,-3.0013,-0.0893,0.1310,0.4919,-2.3037,0.4754,16.0797
32.1000,-0.4157,-0.9305,-1.8543,-2.5327,-0.7394,-2.6158,1.9140,0.1098,-0.7847,2.1206,2.1162,0.2401,0.3237,-2.1531,2.8056,2.0880,2.3968,-1.0850,3.0299,-2.7712,-0.3185,0.0346,0.6702,-2.3002,0.4540,14.4187
32.2000,-0.6176,-1.0358,-2.0224,-2.3336,-0.8242,-2.7304,1.9382,0.2849,-0.5673,2.1332,2.2654,0.0971,0.4900,-2.3016,2.7143,2.3120,2.6621,-1.2567,3.1042,-2.5410,-0.5477,-0.0619,0.8485,-2.2966,0.4327,13.1561
32.3000,-0.8194,-1.1412,-2.1906,-2.1345,-0.9089,-2.8450,1.9624,0.4599,-0.3500,2.1457,2.4145,-0.0460,0.6563,-2.4501,2.6230,2.5360,2.9274,-1.4283,-3.1048,-2.3109,-0.7769,-0.1584,1.0267,-2.2930,0.4113,12.8479
32.4000,-1.0213,-1.2465,-2.3587,-1.9354,-0.9937,-2.9596,1.9867,0.6350,-0.1327,2.1583,2.5636,-0.1890,0.8226,-2.5986,2.5317,2.7601,-3.0904,-1.6000,-3.0306,-2.0807,-1.0061,-0.2548,1.2050,-2.2895,0.3900,13.8874
32.5000,-1.2232,-1.3519,-2.5268,-1.7363,-1.0785,-3.0742,2.0109,0.8100,0.0847,2.1709,2.7128,-0.3321,0.9889,-2.7471,2.4405,2.9841,-2.8251,-1.7717,-2.9564,-1.8506,-1.2353,-0.3513,1.3833,-2.2859,0.3686,16.2115
32.6000,-1.4251,-1.4572,-2.6949,-1.5372,-1.1632,3.0944,2.0351,0.9851,0.3020,2.1835,2.8619,-0.4751,1.1552,-2.8956,2.3492,-3.0751,-2.5598,-1.9434,-2.8822,-1.6204,-1.4645,-0.4477,1.5615,-2.2823,0.3473,19.4500
