time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
6.6,-10.9784,9.95154,-4.85364,14.6253,14.6253,20.9955,0.0320533
6.7,-8.61449,33.5797,-31.8397,3.00906,3.00906,21.1226,0.0319958
6.8,2.90794,45.7668,-48.6036,-9.8941,-9.8941,22.0026,0.0319418
6.9,22.8918,45.6035,-53.0006,-20.6707,-20.6707,23.4853,0.0318913
7,44.8371,38.2401,-49.4612,-27.8683,-27.8683,25.383,0.0318439
7.1,63.3075,28.0175,-42.0404,-31.4114,-31.4114,27.4799,0.0317995
7.2,76.816,15.6917,-31.2837,-31.3794,-31.3794,29.545,0.0317578
7.3,84.3499,1.9941,-17.7855,-27.981,-27.981,31.3466,0.0317188
7.4,85.2744,-12.1563,-2.4195,-21.5906,-21.5906,32.67,0.0316822
7.5,79.4493,-25.4977,13.4716,-12.825,-12.825,33.3436,0.0316478
7.6,67.4775,-36.0114,27.5865,-2.72216,-2.72216,33.2842,0.0316157
7.7,51.4103,-39.2385,34.7375,6.64275,6.64275,32.6173,0.0315855
7.8,36.0807,-26.3847,24.5222,11.1126,11.1126,31.894,0.0315572
7.9,27.332,2.04259,-4.10942,7.3071,7.3071,31.8146,0.0315306
8,28.3716,30.7778,-35.9224,-3.50028,-3.50028,32.6758,0.0315057
8.1,40.0746,49.9067,-60.042,-17.6357,-17.6357,34.4799,0.0314824
8.2,61.1308,56.322,-72.0895,-31.2491,-31.2491,37.0903,0.0314605
8.3,86.9567,51.8687,-72.8231,-41.6426,-41.6426,40.2888,0.0314399
8.4,111.529,40.7062,-65.7312,-47.6648,-47.6648,43.8062,0.0314206
8.5,130.998,25.4985,-53.0734,-49.0169,-49.0169,47.345,0.0314025
8.6,143.209,7.82437,-36.1816,-45.8081,-45.8081,50.5993,0.0313856
8.7,146.911,-10.9459,-16.3168,-38.4353,-38.4353,53.2772,0.0313696
8.8,141.557,-29.5011,5.18853,-27.5293,-27.5293,55.1202,0.0313547
8.9,127.271,-46.4684,26.8027,-13.9463,-13.9463,55.9251,0.0313407
9,104.911,-60.2109,46.5662,1.18182,1.18182,55.5734,0.0313275
9.1,76.5096,-67.4858,60.5898,16.0338,16.0338,54.1157,0.0313152
9.2,47.8219,-55.2949,53.9284,25.5075,25.5075,52.1878,0.0313036
9.3,28.54,-12.8934,12.8162,22.3346,22.3346,51.0443,0.0312927
9.4,22.5613,28.3473,-31.2593,8.93616,8.93616,51.0401,0.0312825
