time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
0.1,40.7055,41.0393,0.661068,0.50495,0.049505
0.2,41.0426,40.6162,-1.22362,0.348493,0.0977326
0.3,40.6075,39.3562,-4.47602,0.279561,0.142482
0.4,39.2837,37.1224,-8.75313,0.24692,0.181269
0.5,36.8913,33.7557,-13.4956,0.23234,0.211971
0.6,33.2385,29.154,-17.9899,0.227044,0.233414
0.7,28.2169,23.3805,-21.3926,0.226079,0.245619
0.8,21.9179,16.8258,-22.4762,0.226557,0.249652
0.9,14.8021,10.6777,-18.177,0.226902,0.247202
1,8.20472,6.39202,-8.00653,0.226403,0.240125
1.1,3.72675,4.01596,1.28614,0.224868,0.230113
1.2,1.38029,3.00285,7.29621,0.222384,0.218531
1.3,0.52662,2.72634,10.0372,0.219157,0.206379
1.4,0.457263,2.62397,10.0582,0.215418,0.194338
1.5,0.550359,2.26078,8.09173,0.211379,0.182835
1.6,0.335111,1.36078,4.94981,0.207213,0.172114
1.7,-0.4797,-0.156916,1.58965,0.203053,0.162292
1.8,-1.97159,-2.07172,-0.503157,0.198996,0.153405
1.9,-3.89411,-3.6843,1.07535,0.19511,0.145436
2,-5.49106,-4.35974,5.90957,0.191438,0.138339
2.1,-6.08475,-4.08475,10.638,0.188005,0.132055
2.2,-5.66927,-3.14378,13.6642,0.184825,0.126513
2.3,-4.55543,-1.90377,14.5776,0.181901,0.121645
2.4,-3.13809,-0.737799,13.3923,0.179229,0.117384
2.5,-1.81492,0.0143931,10.3466,0.176802,0.113663
2.6,-0.945124,0.0705377,5.81677,0.174609,0.110426
2.7,-0.824745,-0.777697,0.272522,0.172637,0.107616
2.8,-1.67005,-2.65176,-5.74534,0.170871,0.105184
2.9,-3.60454,-4.36331,-4.48188,0.169296,0.103087
3,-5.36229,-4.40898,5.6779,0.167899,0.101282
3.1,-5.35046,-3.00725,14.0596,0.166663,0.0997346
3.2,-3.8085,-0.43723,20.3609,0.165575,0.098412
3.3,-1.03811,2.97863,24.3998,0.164622,0.0972854
3.4,2.61512,6.89226,26.1138,0.163789,0.0963292
3.5,6.78031,10.9513,25.5786,0.163064,0.0955205
3.6,11.0836,14.8202,23.0034,0.162437,0.0948393
3.7,15.1708,18.2016,18.7213,0.161895,0.0942678
3.8,18.7287,20.8534,13.162,0.16143,0.0937902
3.9,21.5039,22.6025,6.82242,0.161032,0.093393
4,23.3167,23.3543,0.234056,0.160693,0.093064
4.1,24.0707,23.0939,-6.08922,0.160406,0.0927928
4.2,23.7538,21.8838,-11.6754,0.160163,0.0925706
4.3,22.4356,19.8537,-16.1407,0.159959,0.0923891
4.4,20.2564,17.1849,-19.2222,0.159789,0.092242
4.5,17.4102,14.0942,-20.7709,0.159646,0.0921233
4.6,14.1282,10.8336,-20.6525,0.159528,0.0920281
4.7,10.6775,7.7388,-18.4324,0.159431,0.0919524
4.8,7.41325,5.17273,-14.0602,0.159351,0.0918924
4.9,4.71797,3.29631,-8.92522,0.159286,0.0918454
5,2.75958,2.15483,-3.79784,0.159233,0.0918088
5.1,1.58324,1.74624,1.02394,0.15919,0.0917806
5.2,1.18404,2.01919,5.24741,0.159156,0.0917591
5.3,1.50514,2.86843,8.56723,0.159128,0.0917429
5.4,2.43298,4.13466,10.6952,0.159107,0.0917308
5.5,3.79732,5.61564,11.4296,0.159089,0.0917219
5.6,5.38313,7.08148,10.6763,0.159076,0.0917156
5.7,6.94689,8.29424,8.47041,0.159066,0.0917112
5.8,8.23733,9.0283,4.97288,0.159058,0.0917081
5.9,9.017,9.09181,0.470325,0.159052,0.0917061
6,9.08482,8.34397,-4.65803,0.159047,0.0917049
6.1,8.29426,6.7098,-9.96247,0.159044,0.0917042
6.2,6.56873,4.2023,-14.8794,0.159041,0.091704
6.3,3.92478,2.0583,-11.7359,0.159039,0.0917039
6.4,1.67316,1.20588,-2.93822,0.159038,0.091704
6.5,0.793791,1.39281,3.76654,0.159037,0.0917041
6.6,1.01527,2.31023,8.14254,0.159036,0.0917043
6.7,2.00735,3.6231,10.1597,0.159036,0.0917046
6.8,3.4134,4.99204,9.9263,0.159036,0.0917048
6.9,4.87336,6.09748,7.69712,0.159036,0.091705
7,6.04939,6.66199,3.85199,0.159035,0.0917051
7.1,6.64923,6.47056,-1.12342,0.159035,0.0917052
7.2,6.44749,5.38622,-6.67321,0.159035,0.0917053
7.3,5.30195,3.36109,-12.204,0.159035,0.0917053
7.4,3.16491,1.1591,-12.6123,0.159035,0.0917053
7.5,0.847257,0.30604,-3.40313,0.159035,0.0917053
