time,measured_position,estimated_position, error, K1, K2, estimated_velocity
8.5,17.687,17.8798,-0.963717,0.8,0.2,-1.39004
8.6,16.9228,17.0864,-0.817947,0.8,0.2,-1.55363
8.7,16.3062,16.4311,-0.624901,0.8,0.2,-1.67861
8.8,15.7275,15.8346,-0.535803,0.8,0.2,-1.78578
8.9,15.0023,15.1331,-0.653746,0.8,0.2,-1.91652
9,13.9466,14.1455,-0.994819,0.8,0.2,-2.11549
9.1,12.4516,12.7481,-1.48237,0.8,0.2,-2.41196
9.2,10.5673,10.9552,-1.9396,0.8,0.2,-2.79988
9.3,8.66037,9.06334,-2.01487,0.8,0.2,-3.20286
9.4,7.70569,7.91316,-1.03737,0.8,0.2,-3.41033
9.5,8.90606,8.63928,1.33393,0.8,0.2,-3.14354
9.6,12.052,11.3066,3.72713,0.8,0.2,-2.39812
9.7,16.1133,15.104,5.04651,0.8,0.2,-1.38882
9.8,20.3642,19.2844,5.39909,0.8,0.2,-0.308998
9.9,24.3441,23.326,5.09059,0.8,0.2,0.70912
10,27.7226,26.8574,4.32569,0.8,0.2,1.57426
10.1,30.2587,29.6099,3.24384,0.8,0.2,2.22303
10.2,31.7994,31.406,1.96714,0.8,0.2,2.61645
10.3,32.2904,32.1659,0.622833,0.8,0.2,2.74102
10.4,31.7909,31.9207,-0.649038,0.8,0.2,2.61121
10.5,30.4872,30.8261,-1.69468,0.8,0.2,2.27228
10.6,28.7021,29.1723,-2.35128,0.8,0.2,1.80202
10.7,26.8858,27.3792,-2.4667,0.8,0.2,1.30868
10.8,25.5526,25.9441,-1.95745,0.8,0.2,0.917191
10.9,25.1199,25.3031,-0.915926,0.8,0.2,0.734006
11,25.699,25.6345,0.322548,0.8,0.2,0.798516
11.1,27.0275,26.7649,1.3132,0.8,0.2,1.06116
11.2,28.6272,28.276,1.75618,0.8,0.2,1.41239
11.3,30.0174,29.6974,1.60018,0.8,0.2,1.73243
11.4,30.8371,30.6438,0.966522,0.8,0.2,1.92573
11.5,30.8811,30.8722,0.0447483,0.8,0.2,1.93468
11.6,30.0981,30.2916,-0.967562,0.8,0.2,1.74117
11.7,28.5767,28.9545,-1.88902,0.8,0.2,1.36337
11.8,26.5255,27.0385,-2.56536,0.8,0.2,0.850294
11.9,24.2426,24.8188,-2.88095,0.8,0.2,0.274103
12,22.0647,22.621,-2.78154,0.8,0.2,-0.282204
12.1,20.2824,20.7444,-2.31041,0.8,0.2,-0.744286
12.2,19.035,19.362,-1.63501,0.8,0.2,-1.07129
12.3,18.251,18.4518,-1.00387,0.8,0.2,-1.27206
12.4,17.7087,17.8319,-0.615849,0.8,0.2,-1.39523
12.5,17.1924,17.2924,-0.49999,0.8,0.2,-1.49523
12.6,16.6441,16.7439,-0.498743,0.8,0.2,-1.59498
12.7,16.2506,16.3173,-0.333801,0.8,0.2,-1.66174
12.8,16.4196,16.3659,0.268444,0.8,0.2,-1.60805
12.9,17.5714,17.2981,1.36626,0.8,0.2,-1.3348
13,19.8223,19.2908,2.65768,0.8,0.2,-0.80326
13.1,22.8923,22.1559,3.68182,0.8,0.2,-0.0668967
