time,predicted_position,filtered_position,position_error
0.1,26.2083,26.3751,0.33032
0.2,26.3768,26.1635,-0.612001
0.3,26.1591,25.5336,-2.23773
0.4,25.4973,24.4168,-4.37588
0.5,24.3013,22.7334,-6.74821
0.6,22.4748,20.4325,-8.99502
0.7,19.964,17.5458,-10.6963
0.8,16.8145,14.2682,-11.239
0.9,13.2564,11.1943,-9.08782
1,9.95784,9.05131,-4.00404
1.1,7.71866,7.863,0.641889
1.2,6.54511,7.35668,3.64939
1.3,6.11854,7.21851,5.01907
1.4,6.08396,7.16743,5.0296
1.5,6.13062,6.98583,4.04587
1.6,6.023,6.53583,2.47492
1.7,5.61559,5.77702,0.795024
1.8,4.86969,4.81961,-0.251659
1.9,3.90842,4.01332,0.537683
2,3.10995,3.6755,2.95426
2.1,2.81299,3.81285,5.31824
2.2,3.02057,4.28338,6.83245
2.3,3.57754,4.9034,7.2889
2.4,4.28623,5.48646,6.69663
2.5,4.9479,5.86258,5.17351
2.6,5.38282,5.89057,2.9079
2.7,5.44292,5.46651,0.13663
2.8,5.02033,4.52953,-2.87233
2.9,4.05314,3.67365,-2.24157
3,3.17415,3.65074,2.83854
3.1,3.17999,4.35155,7.02953
3.2,3.95091,5.63668,10.1813
3.3,5.33623,7.34468,12.2004
3.4,7.16293,9.30152,13.057
3.5,9.24554,11.331,12.789
3.6,11.3972,13.2654,11.5015
3.7,13.4407,14.9561,9.36027
3.8,15.2196,16.2819,6.58055
3.9,16.6071,17.1564,3.41124
4,17.5135,17.5322,0.116539
4.1,17.8904,17.4021,-3.04426
4.2,17.732,16.7971,-5.83679
4.3,17.073,15.7821,-8.07012
4.4,15.9835,14.4478,-9.61082
4.5,14.5604,12.9026,-10.3845
4.6,12.9196,11.2722,-10.3267
4.7,11.1942,9.72489,-9.21573
4.8,9.56212,8.44194,-7.02961
4.9,8.21458,7.5038,-4.46223
5,7.23546,6.93304,-1.89921
5.1,6.64726,6.72859,0.510917
5.2,6.44749,6.86511,2.62397
5.3,6.6081,7.28971,4.28344
5.4,7.07199,7.92285,5.34769
5.5,7.75418,8.66332,5.71464
5.6,8.54707,9.3962,5.33786
5.7,9.3289,10.0025,4.23459
5.8,9.97402,10.3695,2.48665
5.9,10.3639,10.4013,0.235195
6,10.3978,10.0273,-2.32962
6.1,10.0024,9.21017,-4.98135
6.2,9.13963,7.95626,-7.44066
6.3,7.81749,6.88447,-5.86657
6.4,6.6919,6.45827,-1.46902
6.5,6.25222,6.5518,1.88367
6.6,6.36303,7.01072,4.07262
6.7,6.8593,7.66723,5.0802
6.8,7.5624,8.35167,4.96285
6.9,8.29235,8.90425,3.84757
7,8.88021,9.18635,1.92501
7.1,9.17997,9.09054,-0.562306
7.2,9.079,8.54843,-3.33618
