time, running_average(5), position_error, PI_output, smoothed_output, total_output
0,7.82321,-31.2929,-31.6058,-15.8029,47.4087
0.1,14.2368,-17.831,-18.3222,-16.4327,34.7549
0.2,19.2824,-5.94585,-6.49655,-13.9487,20.4452
0.3,23.0086,4.37771,3.87079,-9.49381,5.62302
0.4,25.4121,13.3944,13.0215,-3.86499,-9.15647
0.5,18.5865,13.5986,13.3616,0.441662,-13.8033
0.6,11.6073,14.4356,14.3429,3.91698,-18.2599
0.7,4.27232,15.7189,15.7834,6.88359,-22.667
0.8,-3.37611,16.2352,16.4621,9.27821,-25.7403
0.9,-9.68217,9.83047,10.1557,9.49757,-19.6533
1,-12.6577,-2.76787,-2.47033,6.5056,-4.03526
1.1,-11.8004,-13.2589,-13.094,1.60571,11.4882
1.2,-6.99274,-19.5843,-19.6152,-3.69951,23.3147
1.3,1.46646,-21.2183,-21.4614,-8.13997,29.6013
1.4,11.5972,-19.5437,-19.9822,-11.1005,31.0827
1.5,21.0808,-16.4477,-17.0507,-12.5881,29.6387
1.6,29.1053,-12.4755,-13.2032,-12.7419,25.9451
1.7,35.2311,-7.98965,-8.7973,-11.7557,20.553
1.8,39.2063,-3.35458,-4.19578,-9.86573,14.0615
1.9,40.9518,1.08376,0.253405,-7.33595,7.08254
2,40.5574,5.00084,4.2205,-4.44684,0.226338
2.1,38.2701,8.12586,7.42677,-1.47843,-5.94834
2.2,34.4652,10.269,9.67262,1.30933,-10.9819
2.3,29.612,11.3172,10.834,3.69049,-14.5244
2.4,24.2315,11.2657,10.8951,5.49165,-16.3868
2.5,18.8451,10.2207,9.9523,6.60681,-16.5591
2.6,13.9234,8.38757,8.20309,7.00588,-15.209
2.7,9.8359,6.07724,5.95353,6.74279,-12.6963
2.8,6.82326,3.59169,3.50389,5.93307,-9.43696
2.9,4.98095,1.22666,1.15113,4.73758,-5.88872
3,4.26954,-0.79783,-0.881339,3.33285,-2.45151
3.1,4.54004,-2.34826,-2.45525,1.88583,0.569423
3.2,5.56481,-3.31771,-3.45788,0.549901,2.90797
3.3,7.05991,-3.64714,-3.82378,-0.54352,4.3673
3.4,8.71387,-3.31026,-3.52,-1.28764,4.80764
3.5,10.2108,-2.34125,-2.5744,-1.60933,4.18374
3.6,11.2558,-0.85726,-1.09899,-1.48175,2.58073
3.7,11.6121,0.947691,0.715441,-0.932449,0.217008
3.8,11.1366,2.80743,2.60326,-0.0485227,-2.55473
3.9,9.81384,4.40332,4.24317,1.0244,-5.26758
4,7.78117,5.39245,5.28623,2.08986,-7.37609
4.1,5.32741,5.48317,5.43179,2.92534,-8.35713
4.2,2.85586,4.54915,4.54325,3.32982,-7.87307
4.3,0.783626,2.81569,2.83795,3.20685,-6.0448
4.4,-0.600203,0.908422,0.939768,2.64008,-3.57985
4.5,-1.23264,-0.459187,-0.432433,1.87195,-1.43952
4.6,-1.29814,-0.814879,-0.796274,1.2049,-0.408622
4.7,-1.18911,-0.0409601,-0.0227645,0.897981,-0.875216
4.8,-1.38549,1.62847,1.66295,1.08922,-2.75218
4.9,-2.30255,3.79137,3.86377,1.78286,-5.64663
5,-4.16626,5.92577,6.05742,2.8515,-8.90892
5.1,-6.91421,7.30879,7.51353,4.01701,-11.5305
5.2,-10.0398,6.73616,7.00826,4.76482,-11.7731
5.3,-12.5509,3.01872,3.32101,4.40387,-7.72487
5.4,-13.546,-2.47654,-2.19902,2.75314,-0.554123
5.5,-12.5886,-7.28373,-7.07905,0.295097,6.78395
5.6,-9.64778,-10.1287,-10.0253,-2.28501,12.3104
5.7,-5.15331,-10.8497,-10.8548,-4.42747,15.2823
5.8,-0.0267822,-10.0898,-10.1958,-5.86954,16.0653
5.9,4.8938,-8.63967,-8.83206,-6.61017,15.4422
6,9.19738,-7.01565,-7.2782,-6.77718,14.0554
6.1,12.7694,-5.5716,-5.88987,-6.55535,12.4452
6.2,15.68,-4.56962,-4.93359,-6.14991,11.0835
6.3,18.1161,-4.1271,-4.53233,-5.74552,10.2778
6.4,20.3287,-4.26782,-4.71573,-5.48807,10.2038
6.5,22.5601,-4.81029,-5.30631,-5.44263,10.7489
6.6,24.9882,-5.49316,-6.0441,-5.593,11.6371
6.7,27.6773,-6.01761,-6.62873,-5.85193,12.4807
6.8,30.5626,-6.10726,-6.77945,-6.08381,12.8633
6.9,33.4501,-5.58394,-6.31198,-6.14085,12.4528
