time, running_average(5), position_error, PI_output, smoothed_output, PID_out, kalman_estimate, kalman_gain
0,26.2083,-0,0,0,0,25.9488,0.990099
0.1,26.3735,0.165159,-0.181675,-0.0454188,-0.0454188,26.2424,0.497764
0.2,26.1706,-0.405823,0.429889,0.0734082,0.0734082,26.0835,0.332784
0.3,25.6083,-1.68688,1.87964,0.524966,0.524966,25.5424,0.250253
0.4,24.7109,-3.58948,4.14118,1.42902,1.42902,24.6547,0.200801
0.5,22.9799,-5.4268,6.52118,2.70206,2.70206,23.4622,0.167916
0.6,20.3681,-6.8883,8.67151,4.19442,4.19442,22.0197,0.144506
0.7,17.0687,-7.80099,10.3643,5.73689,5.73689,20.3999,0.127024
0.8,13.3995,-7.82396,11.1697,7.09509,7.09509,18.7174,0.113494
0.9,10.0089,-5.84036,9.77011,7.76384,7.76384,17.2228,0.102732
1,7.68908,-1.73528,5.83855,7.28252,7.28252,16.1637,0.0939826
1.1,6.66523,1.69531,2.23843,6.0215,6.0215,15.4868,0.0867435
1.2,6.85059,3.34391,0.255441,4.57998,4.57998,15.0599,0.0806656
1.3,7.96301,3.17461,0.107278,3.46181,3.46181,14.7638,0.0754999
1.4,9.352,1.76155,1.34418,2.9324,2.9324,14.5044,0.0710635
1.5,10.1965,-0.0200558,3.12779,2.98125,2.98125,14.2135,0.0672195
1.6,10.224,-1.7261,5.00645,3.48755,3.48755,13.8485,0.0638628
1.7,9.46724,-3.05662,6.64263,4.27632,4.27632,13.3954,0.0609119
1.8,8.16332,-3.54529,7.48583,5.0787,5.0787,12.8837,0.0583023
1.9,6.82983,-2.38373,6.56264,5.44968,5.44968,12.4113,0.0559824
2,6.00737,0.0568309,4.1164,5.11636,5.11636,12.0691,0.0539104
2.1,5.93404,2.1972,1.75631,4.27635,4.27635,11.8642,0.0520522
2.2,6.62252,3.23051,0.399954,3.30725,3.30725,11.7628,0.0503795
2.3,7.8722,2.99424,0.336795,2.56464,2.56464,11.719,0.0488686
2.4,9.17955,1.80331,1.3474,2.26033,2.26033,11.6841,0.0474999
2.5,9.99099,0.130412,3.00725,2.44706,2.44706,11.6118,0.0462565
2.6,10.0229,-1.73217,5.04305,3.09606,3.09606,11.4619,0.0451241
2.7,9.1682,-3.58865,7.25839,4.13664,4.13664,11.2026,0.0440904
2.8,7.42451,-5.27651,9.47391,5.47096,5.47096,10.8119,0.043145
2.9,5.59025,-3.77868,8.35394,6.1917,6.1917,10.4314,0.0422786
3,4.76851,1.24419,3.20666,5.44544,5.44544,10.2481,0.0414833
3.1,5.15227,5.05726,-1.11214,3.80605,3.80605,10.2465,0.040752
3.2,6.86279,7.26938,-4.0512,1.84174,1.84174,10.4022,0.0400786
3.3,9.94052,7.59612,-5.13755,0.0969158,0.0969158,10.6837,0.0394578
3.4,13.6222,6.59774,-4.79894,-1.12705,-1.12705,11.0546,0.0388846
3.5,16.8266,5.20799,-3.92999,-1.82778,-1.82778,11.4757,0.0383548
3.6,19.3644,3.53426,-2.60968,-2.02326,-2.02326,11.9082,0.0378646
3.7,21.0981,1.70281,-0.948524,-1.75458,-1.75458,12.3157,0.0374107
3.8,21.9508,-0.150723,0.920085,-1.08591,-1.08591,12.6665,0.0369899
3.9,21.9105,-1.89219,2.85077,-0.101741,-0.101741,12.9356,0.0365995
4,21.0296,-3.39959,4.69813,1.09823,1.09823,13.1057,0.036237
4.1,19.4191,-4.57299,6.32883,2.40588,2.40588,13.1682,0.0359002
4.2,17.238,-5.34277,7.63289,3.71263,3.71263,13.1229,0.035587
4.3,14.6785,-5.67561,8.53329,4.91779,4.91779,12.9775,0.0352956
4.4,11.9494,-5.57674,8.99209,5.93637,5.93637,12.7462,0.0350244
4.5,9.25856,-5.08261,9.00622,6.70383,6.70383,12.4482,0.0347718
4.6,6.80791,-4.21501,8.56012,7.1679,7.1679,12.1078,0.0345363
4.7,4.82456,-2.84613,7.47586,7.24489,7.24489,11.7602,0.0343168
4.8,3.53048,-0.997979,5.7275,6.86555,6.86555,11.4454,0.0341121
4.9,3.00643,0.74592,3.90901,6.12641,6.12641,11.1845,0.0339211
5,3.23849,2.09776,2.34739,5.18166,5.18166,10.9871,0.0337427
5.1,4.15154,3.00663,1.13786,4.17071,4.17071,10.8586,0.0335762
5.2,5.57015,3.50132,0.293045,3.20129,3.20129,10.7988,0.0334206
5.3,7.24195,3.64958,-0.220178,2.34592,2.34592,10.8019,0.0332753
5.4,8.97542,3.44426,-0.359281,1.66962,1.66962,10.8555,0.0331394
5.5,10.6019,2.86689,-0.0685973,1.23507,1.23507,10.9418,0.0330124
5.6,11.9473,1.93765,0.666876,1.09302,1.09302,11.0386,0.0328936
5.7,12.8457,0.717798,1.81495,1.2735,1.2735,11.1214,0.0327825
5.8,13.1595,-0.69885,3.30148,1.7805,1.7805,11.1651,0.0326785
5.9,12.7954,-2.19631,5.01858,2.59002,2.59002,11.1467,0.0325812
6,11.7153,-3.64709,6.83406,3.65103,3.65103,11.0467,0.0324902
6.1,9.9425,-4.92143,8.60054,4.88841,4.88841,10.8514,0.0324049
6.2,7.5696,-5.87063,10.1368,6.2005,6.2005,10.5556,0.0323251
6.3,5.46765,-3.51673,8.13458,6.68402,6.68402,10.2781,0.0322504
6.4,4.3924,0.830478,3.70432,5.9391,5.9391,10.1154,0.0321804
6.5,4.40595,3.72995,0.431859,4.56229,4.56229,10.0518,0.0321148
