time,position
31.9,59.4377
32,54.4649
32.1,45.6279
32.2,33.511
32.3,19.3067
32.4,5.65766
32.5,-2.32027
32.6,1.07672
32.7,14.1552
32.8,30.8449
32.9,47.0368
33,60.3952
33.1,69.4549
33.2,73.347
33.3,71.5879
33.4,64.1514
33.5,51.3653
33.6,33.9608
33.7,12.9932
33.8,-10.0582
33.9,-32.1242
34,-29.7623
34.1,-9.47211
34.2,8.92072
34.3,23.1273
34.4,32.0742
34.5,35.1576
34.6,32.1567
34.7,23.2015
34.8,8.78769
34.9,-10.2938
35,-33.0013
35.1,-34.8267
35.2,-8.61891
35.3,17.3977
35.4,41.9015
35.5,63.7733
35.6,82.0488
35.7,96.0234
35.8,105.249
35.9,109.527
36,108.966
36.1,103.862
36.2,94.7404
36.3,82.3116
36.4,67.3698
36.5,50.7964
36.6,33.5426
36.7,16.6027
36.8,1.08656
36.9,-11.604
37,-19.7154
37.1,-22.1486
37.2,-20.8377
37.3,-19.0777
37.4,-18.9845
37.5,-21.4933
37.6,-26.8523
37.7,-34.7971
37.8,-40.5762
37.9,-30.2512
38,-14.827
38.1,2.35207
38.2,20.333
38.3,38.2767
38.4,55.3753
38.5,70.8254
38.6,83.8767
38.7,93.9072
38.8,100.389
38.9,102.965
39,101.466
39.1,95.9119
39.2,86.5451
39.3,73.7217
39.4,58.0187
39.5,40.1155
39.6,20.8421
39.7,1.32433
39.8,-16.3669
39.9,-25.5408
40,-17.7608
40.1,-2.41492
40.2,13.7437
40.3,29.0129
40.4,42.8355
40.5,54.9943
40.6,65.3184
40.7,73.6633
40.8,79.897
40.9,83.912
41,85.6244
41.1,85.0068
41.2,82.1789
41.3,77.3285
41.4,70.8041
41.5,63.0739
41.6,54.6877
41.7,46.2443
41.8,38.3347
41.9,31.3849
42,25.6818
42.1,21.2715
42.2,18.0345
42.3,15.7723
42.4,14.3702
42.5,13.8437
42.6,14.2588
42.7,15.7434
42.8,18.305
42.9,21.824
43,26.1569
43.1,31.0436
43.2,36.3048
43.3,41.7433
43.4,47.1512
43.5,52.2816
43.6,56.8028
43.7,60.2781
43.8,62.2427
43.9,62.2681
44,60.0797
44.1,55.6689
44.2,49.4334
44.3,42.3314
44.4,35.9867
44.5,32.4693
44.6,33.4666
44.7,39.0464
44.8,47.5412
44.9,56.54
45,63.8087
45.1,67.6676
45.2,67.041
45.3,61.5779
45.4,51.7774
45.5,39.3506
45.6,27.9118
45.7,23.2972
45.8,30.1602
45.9,46.694
46,67.468
46.1,87.9008
46.2,104.979
46.3,116.748
46.4,122.09
46.5,120.699
46.6,113.068
46.7,100.565
46.8,85.4962
46.9,71.1404
47,61.2878
47.1,58.5698
47.2,62.4325
47.3,69.304
47.4,75.0455
47.5,76.4357
47.6,71.5305
47.7,59.4669
47.8,40.3572
47.9,15.1109
48,-14.6638
48.1,-40.4551
48.2,-11.2902
48.3,19.9539
48.4,47.3271
48.5,68.8288
48.6,82.9803
48.7,89.0251
48.8,86.8897
48.9,77.4868
49,62.8644
49.1,46.717
49.2,34.9958
49.3,34.2788
49.4,45.5933
49.5,63.1817
49.6,80.9021
49.7,94.7317
49.8,102.364
49.9,102.734
50,95.7153
50.1,81.9892
50.2,62.8951
50.3,40.4233
50.4,17.2461
50.5,-2.66956
50.6,-12.6677
