time,x0,y0,x1,y1,x2,y2,distance
7.3000,2.6374,1.2513,-0.9764,4.7446,2.8548,6.2152,6.8395
7.4000,1.7321,2.3498,-0.3354,6.9310,3.7086,7.6285,8.4822
7.5000,0.4150,2.8895,0.1863,7.9105,4.2887,7.8083,8.9085
7.6000,-1.0008,2.7422,0.6417,7.4925,4.6459,6.5944,8.0667
7.7000,-2.1786,1.9430,1.1027,5.7503,4.8558,4.0908,6.3493
7.8000,-2.8384,0.6818,1.6173,3.0075,4.9761,0.6498,5.0183
7.9000,-2.8234,-0.7415,2.1763,-0.2265,5.0125,-3.1924,5.9428
8.0000,-2.1371,-1.9886,2.6992,-3.3571,4.9045,-6.8179,8.3987
8.1000,-0.9426,-2.7628,3.0459,-5.8212,4.5361,-9.6448,10.6582
8.2000,0.4759,-2.8801,3.0523,-7.1957,3.7705,-11.2361,11.8518
8.3000,1.7813,-2.3127,2.5810,-7.2748,2.4999,-11.3777,11.6491
8.4000,2.6632,-1.1954,1.5731,-6.1019,0.6956,-10.1107,10.1346
8.5000,2.9119,0.2062,0.0862,-3.9505,-1.5541,-7.7121,7.8672
8.6000,2.4682,1.5586,-1.6932,-1.2600,-4.0337,-4.6308,6.1413
8.7000,1.4377,2.5406,-3.4707,1.4588,-6.4219,-1.3926,6.5712
8.8000,0.0654,2.9184,-4.8954,3.7266,-8.3448,1.5035,8.4791
8.9000,-1.3225,2.6024,-5.6337,5.1861,-9.4496,3.6763,10.1395
9.0000,-2.3959,1.6676,-5.4476,5.6613,-9.4842,4.9224,10.6855
9.1000,-2.8997,0.3364,-4.2600,5.1750,-8.3632,5.2351,9.8666
9.2000,-2.7141,-1.0749,-2.1905,3.9240,-6.2037,4.7808,7.8322
9.3000,-1.8831,-2.2305,0.4502,2.2212,-3.3198,3.8421,5.0777
9.4000,-0.6044,-2.8559,3.2085,0.4188,-0.1743,2.7420,2.7475
9.5000,0.8179,-2.8022,5.5710,-1.1678,2.7045,1.7687,3.2315
9.6000,2.0459,-2.0823,7.0664,-2.3195,4.8257,1.1184,4.9536
9.7000,2.7873,-0.8673,7.3651,-2.9426,5.8357,0.8655,5.8995
9.8000,2.8661,0.5539,6.3532,-3.0658,5.5936,0.9670,5.6765
9.9000,2.2634,1.8435,4.1666,-2.8085,4.2056,1.2950,4.4005
10.0000,1.1226,2.6947,1.1724,-2.3313,2.0087,1.6863,2.6227
10.1000,-0.2851,2.9052,-2.0957,-1.7836,-0.4941,1.9947,2.0550
10.2000,-1.6251,2.4250,-5.0398,-1.2632,-2.7340,2.1315,3.4668
10.3000,-2.5787,1.3682,-7.1143,-0.7975,-4.1925,2.0841,4.6819
10.4000,-2.9191,-0.0139,-7.9340,-0.3506,-4.5076,1.9077,4.8946
10.5000,-2.5655,-1.3927,-7.3500,0.1471,-3.5499,1.6961,3.9342
10.6000,-1.6020,-2.4403,-5.4791,0.7582,-1.4503,1.5385,2.1143
10.7000,-0.2575,-2.9078,-2.6786,1.4968,1.4250,1.4788,2.0537
10.8000,1.1482,-2.6839,0.5256,2.3036,4.5474,1.4880,4.7847
10.9000,2.2809,-1.8218,3.5449,3.0428,7.3314,1.4606,7.4755
11.0000,2.8712,-0.5267,5.8431,3.5268,9.2496,1.2385,9.3321
11.1000,2.7790,0.8937,7.0381,3.5625,9.9346,0.6554,9.9562
11.2000,2.0260,2.1016,6.9697,3.0080,9.2456,-0.4068,9.2546
11.3000,0.7913,2.8099,5.7201,1.8256,7.2885,-1.9665,7.5491
11.4000,-0.6316,2.8500,3.5850,0.1145,4.3860,-3.9103,5.8760
11.5000,-1.9042,2.2125,1.0033,-1.8873,1.0064,-5.9910,6.0749
11.6000,-2.7242,1.0490,-1.5370,-3.8349,-2.3319,-7.8609,8.1995
11.7000,-2.8964,-0.3639,-3.5975,-5.3410,-5.1602,-9.1355,10.4921
11.8000,-2.3800,-1.6903,-4.8702,-6.0562,-7.1410,-9.4744,11.8642
11.9000,-1.2977,-2.6149,-5.2247,-5.7518,-8.1169,-8.6632,11.8716
12.0000,0.0931,-2.9177,-4.7150,-4.3818,-8.1181,-6.6752,10.5101
12.1000,1.4618,-2.5268,-3.5471,-2.1110,-7.3312,-3.6988,8.2114
12.2000,2.4829,-1.5351,-2.0180,0.7018,-6.0386,-0.1199,6.0398
12.3000,2.9137,-0.1784,-0.4424,3.5631,-4.5460,3.5389,5.7611
12.4000,2.6517,1.2206,0.9154,5.9373,-3.1146,6.7117,7.3991
12.5000,1.7592,2.3295,1.8883,7.3540,-1.9142,8.8972,9.1008
12.6000,0.4485,2.8845,2.4247,7.5058,-1.0051,9.7590,9.8106
12.7000,-0.9689,2.7537,2.5749,6.3179,-0.3513,9.1951,9.2018
12.8000,-2.1559,1.9681,2.4540,3.9710,0.1432,7.3622,7.3636
12.9000,-2.8303,0.7147,2.1934,0.8727,0.5861,4.6486,4.6854
13.0000,-2.8318,-0.7087,1.8948,-2.4179,1.0525,1.5985,1.9139
13.1000,-2.1600,-1.9636,1.6008,-5.2981,1.5556,-1.1946,1.9614
13.2000,-0.9746,-2.7516,1.2882,-7.2396,2.0418,-3.2057,3.8007
13.3000,0.4425,-2.8854,0.8871,-7.8919,2.4108,-4.0815,4.7403
13.4000,1.7544,-2.3332,0.3179,-7.1497,2.5535,-3.7084,4.5025
13.5000,2.6491,-1.2262,-0.4651,-5.1713,2.3970,-2.2304,3.2741
13.6000,2.9141,0.1723,-1.4374,-2.3431,1.9420,-0.0149,1.9420
13.7000,2.4861,1.5299,-2.4868,0.8001,1.2808,2.4266,2.7439
13.8000,1.4671,2.5237,-3.4236,3.6827,0.5884,4.5456,4.5835
13.9000,0.0993,2.9175,-4.0172,5.8013,0.0859,5.8676,5.8682
14.0000,-1.2922,2.6176,-4.0520,6.8183,-0.0143,6.0853,6.0854
14.1000,-2.3764,1.6953,-3.3890,6.6184,0.4291,5.1143,5.1323
14.2000,-2.8956,0.3700,-2.0178,5.3189,1.4350,3.1010,3.4170
14.3000,-2.7263,-1.0433,-0.0822,3.2312,2.8733,0.3842,2.8989
14.4000,-1.9089,-2.2085,2.1274,0.7866,4.4729,-2.5807,5.1640
14.5000,-0.6375,-2.8487,4.2197,-1.5566,5.8656,-5.3157,7.9160
14.6000,0.7854,-2.8115,5.7763,-3.4053,6.6598,-7.4128,9.9651
14.7000,2.0216,-2.1059,6.4400,-4.5016,6.5273,-8.6044,10.8001
14.8000,2.7771,-0.8996,5.9979,-4.7582,5.2857,-8.7996,10.2651
14.9000,2.8723,0.5206,4.4397,-4.2549,2.9552,-8.0807,8.6041
15.0000,2.2847,1.8171,1.9768,-3.1997,-0.2233,-6.6637,6.6675
15.1000,1.1538,2.6815,-0.9857,-1.8666,-3.8174,-4.8367,6.1617
15.2000,-0.2514,2.9083,-3.9198,-0.5276,-7.2751,-2.8903,7.8282
15.3000,-1.5968,2.4437,-6.2751,0.6062,-10.0257,-1.0590,10.0815
15.4000,-2.5626,1.3980,-7.5887,1.4189,-11.5916,0.5149,11.6030
15.5000,-2.9191,0.0200,-7.5819,1.8963,-11.6842,1.7879,11.8202
15.6000,-2.5815,-1.3628,-6.2213,2.1034,-10.2663,2.7948,10.6399
15.7000,-1.6302,-2.4216,-3.7318,2.1441,-7.5652,3.6089,8.3819
15.8000,-0.2912,-2.9046,-0.5574,2.1145,-4.0328,4.2968,5.8929
15.9000,1.1169,-2.6970,2.7239,2.0654,-0.2607,4.8818,4.8888
16.0000,2.2596,-1.8482,5.5123,1.9836,3.1323,5.3266,6.1794
16.1000,2.8649,-0.5599,7.3031,1.7990,5.6187,5.5411,7.8914
16.2000,2.7892,0.8614,7.7849,1.4138,6.8603,5.4120,8.7381
16.3000,2.0502,2.0780,6.8966,0.7456,6.7671,4.8473,8.3241
16.4000,0.8238,2.8005,4.8351,-0.2281,5.5057,3.8204,6.7014
16.5000,-0.5985,2.8571,2.0101,-1.4391,3.4552,2.4017,4.2080
16.6000,-1.8784,2.2345,-1.0417,-2.7215,1.1228,0.7649,1.3586
16.7000,-2.7118,1.0806,-3.7652,-3.8340,-0.9641,-0.8350,1.2754
16.8000,-2.9004,-0.3303,-5.6950,-4.5079,-2.3641,-2.1109,3.1694
16.9000,-2.3994,-1.6626,-6.5397,-4.5122,-2.8063,-2.8087,3.9704
17.0000,-1.3279,-2.5996,-6.2281,-3.7180,-2.2347,-2.7730,3.5613
17.1000,0.0593,-2.9185,-4.9074,-2.1475,-0.8064,-1.9970,2.1537
17.2000,1.4324,-2.5436,-2.8980,0.0079,1.1539,-0.6420,1.3205
17.3000,2.4649,-1.5638,-0.6165,2.4070,3.2317,0.9816,3.3775
17.4000,2.9114,-0.2123,1.5150,4.6160,5.0126,2.4695,5.5879
17.5000,2.6657,1.1898,3.1519,6.1924,6.1652,3.4067,7.0438
17.6000,1.7862,2.3089,4.0861,6.7780,6.5003,3.4595,7.3635
17.7000,0.4819,2.8791,4.2703,6.1822,5.9930,2.4576,6.4774
17.8000,-0.9369,2.7647,3.8038,4.4346,4.7694,0.4461,4.7902
17.9000,-2.1329,1.9930,2.8893,1.7933,3.0608,-2.3068,3.8327
18.0000,-2.8218,0.7475,1.7713,-1.2936,1.1422,-5.3488,5.4694
18.1000,-2.8398,-0.6758,0.6742,-4.2694,-0.7314,-8.1248,8.1577
18.2000,-2.1827,-1.9384,-0.2448,-6.5760,-2.3734,-10.0845,10.3600
18.3000,-1.0065,-2.7401,-0.9191,-7.7655,-3.6893,-10.7932,11.4063
18.4000,0.4089,-2.8904,-1.3665,-7.5925,-4.6725,-10.0236,11.0592
18.5000,1.7272,-2.3534,-1.6599,-6.0669,-5.3756,-7.8087,9.4801
18.6000,2.6347,-1.2568,-1.8846,-3.4563,-5.8681,-4.4424,7.3600
18.7000,2.9159,0.1385,-2.0964,-0.2357,-6.1955,-0.4283,6.2103
18.8000,2.5037,1.5009,-2.2921,3.0049,-6.3505,3.6132,7.3064
18.9000,1.4963,2.5065,-2.4046,5.6759,-6.2672,7.0618,9.4417
19.0000,0.1331,2.9161,-2.3209,7.3025,-5.8403,9.4130,11.0776
19.1000,-1.2617,2.6324,-1.9216,7.6151,-4.9633,10.3697,11.4963
19.2000,-2.3566,1.7228,-1.1289,6.5967,-3.5769,9.8902,10.5172
19.3000,-2.8911,0.4036,0.0504,4.4791,-1.7105,8.1858,8.3626
19.4000,-2.7383,-1.0116,1.5008,1.6889,0.4944,5.6673,5.6888
19.5000,-1.9344,-2.1862,3.0025,-1.2429,2.7889,2.8552,3.9912
19.6000,-0.6706,-2.8411,4.2655,-3.7884,4.8529,0.2730,4.8606
19.7000,0.7527,-2.8204,4.9895,-5.5244,6.3555,-1.6547,6.5674
19.8000,1.9970,-2.1292,4.9351,-6.2072,7.0275,-2.6770,7.5201
19.9000,2.7665,-0.9317,3.9901,-5.8067,6.7291,-2.7508,7.2696
20.0000,2.8782,0.4873,2.2143,-4.4948,5.4952,-2.0299,5.8581
20.1000,2.3056,1.7904,-0.1520,-2.5939,3.5456,-0.8141,3.6379
20.2000,1.1848,2.6679,-2.7187,-0.4983,1.2545,0.5285,1.3613
20.3000,-0.2176,2.9110,-5.0147,1.4110,-0.9178,1.6456,1.8842
20.4000,-1.5684,2.4620,-6.5803,2.8404,-2.5159,2.2738,3.3912
20.5000,-2.5462,1.4277,-7.0637,3.6309,-3.1871,2.2848,3.9215
20.6000,-2.9187,0.0539,-6.3026,3.7702,-2.7617,1.6959,3.2409
20.7000,-2.5972,-1.3327,-4.3687,3.3709,-1.2988,0.6476,1.4513
20.8000,-1.6582,-2.4025,-1.5666,2.6228,0.9151,-0.6454,1.1198
20.9000,-0.3249,-2.9010,1.6167,1.7350,3.4155,-1.9535,3.9347
21.0000,1.0856,-2.7098,4.6026,0.8809,5.6498,-3.0870,6.4382
21.1000,2.2380,-1.8743,6.8327,0.1630,7.0884,-3.9328,8.1063
21.2000,2.8583,-0.5932,7.8806,-0.3976,7.3349,-4.4648,8.5869
21.3000,2.7990,0.8290,7.5383,-0.8447,6.2120,-4.7282,7.8068
21.4000,2.0742,2.0541,5.8598,-1.2522,3.8037,-4.8037,6.1273
21.5000,0.8563,2.7907,3.1526,-1.6802,0.4451,-4.7640,4.7848
21.6000,-0.5653,2.8639,-0.0832,-2.1391,-3.3386,-4.6376,5.7143
21.7000,-1.8524,2.2561,-3.2528,-2.5710,-6.9319,-4.3887,8.2044
21.8000,-2.6991,1.1119,-5.7838,-2.8563,-9.7462,-3.9239,10.5064
21.9000,-2.9040,-0.2966,-7.2366,-2.8445,-11.3309,-3.1211,11.7529
22.0000,-2.4185,-1.6347,-7.3858,-2.4016,-11.4558,-1.8768,11.6086
