time,measured_position,estimated_position, error, K1, K2, estimated_velocity
0.1,3.62555,2.68383,4.70861,0.8,0.2,0.941722
0.2,13.4366,11.3049,10.6586,0.8,0.2,3.07344
0.3,24.675,22.0624,13.0627,0.8,0.2,5.68599
0.4,35.6591,33.0535,13.0281,0.8,0.2,8.29161
0.5,45.5227,43.1947,11.6401,0.8,0.2,10.6196
0.6,53.688,51.8017,9.43127,0.8,0.2,12.5059
0.7,59.7612,58.4194,6.7089,0.8,0.2,13.8477
0.8,63.4833,62.7475,3.67916,0.8,0.2,14.5835
0.9,64.7179,64.6155,0.512024,0.8,0.2,14.6859
1,63.5024,64.0187,-2.58168,0.8,0.2,14.1696
1.1,60.0045,61.0907,-5.43121,0.8,0.2,13.0833
1.2,54.5917,56.1531,-7.80738,0.8,0.2,11.5218
1.3,47.8633,49.7517,-9.44207,0.8,0.2,9.63343
1.4,40.6788,42.686,-10.0362,0.8,0.2,7.62619
1.5,34.2351,36.0778,-9.21357,0.8,0.2,5.78347
1.6,29.9646,31.3029,-6.69156,0.8,0.2,4.44516
1.7,29.0666,29.6028,-2.68077,0.8,0.2,3.90901
1.8,31.7102,31.3669,1.71648,0.8,0.2,4.2523
1.9,36.8672,35.8522,5.07512,0.8,0.2,5.26733
2,43.0502,41.7159,6.67121,0.8,0.2,6.60157
2.1,48.9547,47.639,6.57865,0.8,0.2,7.9173
2.2,53.6229,52.5845,5.19221,0.8,0.2,8.95574
2.3,56.4201,55.8321,2.94004,0.8,0.2,9.54375
2.4,56.9658,56.9299,0.179348,0.8,0.2,9.57962
2.5,55.0677,55.6318,-2.82019,0.8,0.2,9.01558
2.6,50.7215,51.8839,-5.81182,0.8,0.2,7.85322
2.7,44.0488,45.7729,-8.62037,0.8,0.2,6.12914
2.8,35.3315,37.5423,-11.0543,0.8,0.2,3.91828
2.9,24.955,27.5508,-12.9792,0.8,0.2,1.32244
3,13.4378,16.2869,-14.2452,0.8,0.2,-1.52661
3.1,1.60491,4.51077,-14.5293,0.8,0.2,-4.43247
3.2,-8.38193,-5.89204,-12.4495,0.8,0.2,-6.92236
3.3,-8.5981,-8.19534,-2.01383,0.8,0.2,-7.32512
3.4,0.575236,-1.32538,9.50309,0.8,0.2,-5.42451
3.5,10.9636,8.39729,12.8314,0.8,0.2,-2.85823
3.6,20.4905,18.0147,12.3791,0.8,0.2,-0.382416
3.7,28.5287,26.4183,10.5522,0.8,0.2,1.72803
3.8,34.7781,33.1407,8.187,0.8,0.2,3.36543
3.9,39.1031,37.9779,5.62587,0.8,0.2,4.49061
4,41.483,40.8718,3.05606,0.8,0.2,5.10182
4.1,41.9898,41.8683,0.607841,0.8,0.2,5.22339
4.2,40.7923,41.112,-1.59828,0.8,0.2,4.90373
4.3,38.1369,38.83,-3.46544,0.8,0.2,4.21064
4.4,34.3099,35.2981,-4.94116,0.8,0.2,3.22241
4.5,29.6404,30.8364,-5.97994,0.8,0.2,2.02642
4.6,24.4891,25.7991,-6.54998,0.8,0.2,0.716426
4.7,19.1946,20.5298,-6.67611,0.8,0.2,-0.618796
4.8,14.0874,15.3635,-6.38057,0.8,0.2,-1.89491
4.9,9.44317,10.5893,-5.73083,0.8,0.2,-3.04108
5,5.46999,6.43304,-4.81524,0.8,0.2,-4.00412
5.1,2.26791,3.02085,-3.76472,0.8,0.2,-4.75707
5.2,-0.182389,0.363117,-2.72753,0.8,0.2,-5.30257
