time,measured_position,estimated_position, error, L1, L2, estimated_velocity
0.1,15.6262,14.6573,1.93777,0.5,0.1,0.193777
0.2,17.1373,15.907,2.46064,0.5,0.1,0.439841
0.3,18.1215,17.0362,2.17047,0.5,0.1,0.656888
0.4,18.5413,17.8216,1.43937,0.5,0.1,0.800825
0.5,18.4298,18.1657,0.528116,0.5,0.1,0.853637
0.6,17.899,18.075,-0.352127,0.5,0.1,0.818424
0.7,17.1461,17.6515,-1.01081,0.5,0.1,0.717343
0.8,16.446,17.0846,-1.27723,0.5,0.1,0.58962
0.9,16.1047,16.6241,-1.03882,0.5,0.1,0.485738
1,16.3545,16.5136,-0.318218,0.5,0.1,0.453917
1.1,17.2383,16.8986,0.679295,0.5,0.1,0.521846
1.2,18.5932,17.772,1.6424,0.5,0.1,0.686086
1.3,20.1469,18.9938,2.3063,0.5,0.1,0.916717
1.4,21.6272,20.3563,2.54177,0.5,0.1,1.17089
1.5,22.8231,21.6483,2.34965,0.5,0.1,1.40586
1.6,23.6068,22.6978,1.81792,0.5,0.1,1.58765
1.7,23.9395,23.398,1.08288,0.5,0.1,1.69594
1.8,23.8713,23.7194,0.303656,0.5,0.1,1.7263
1.9,23.5359,23.714,-0.356201,0.5,0.1,1.69068
2,23.1333,23.5082,-0.74972,0.5,0.1,1.61571
2.1,22.8909,23.2803,-0.778805,0.5,0.1,1.53783
2.2,22.9978,23.216,-0.43634,0.5,0.1,1.4942
2.3,23.5319,23.4486,0.166485,0.5,0.1,1.51085
2.4,24.4232,24.0114,0.823465,0.5,0.1,1.59319
2.5,25.4786,24.8247,1.30781,0.5,0.1,1.72397
2.6,26.4458,25.7214,1.44872,0.5,0.1,1.86884
2.7,27.0754,26.4919,1.16714,0.5,0.1,1.98556
2.8,27.1612,26.9258,0.470755,0.5,0.1,2.03263
2.9,26.5594,26.8442,-0.569708,0.5,0.1,1.97566
3,25.1968,26.1193,-1.84501,0.5,0.1,1.79116
3.1,23.0721,24.6852,-3.22633,0.5,0.1,1.46853
3.2,20.2546,22.5434,-4.57747,0.5,0.1,1.01078
3.3,16.8845,19.7645,-5.75994,0.5,0.1,0.434789
3.4,13.1824,16.4952,-6.62554,0.5,0.1,-0.227766
3.5,9.50122,12.9868,-6.97116,0.5,0.1,-0.924882
3.6,6.53376,9.71404,-6.36056,0.5,0.1,-1.56094
3.7,5.63552,7.59673,-3.92243,0.5,0.1,-1.95318
3.8,7.13918,7.2703,-0.262232,0.5,0.1,-1.9794
3.9,9.39736,8.23486,2.325,0.5,0.1,-1.7469
4,11.3681,9.71413,3.30794,0.5,0.1,-1.41611
4.1,12.6523,11.1124,3.07981,0.5,0.1,-1.10813
4.2,13.0851,12.0433,2.08344,0.5,0.1,-0.899785
4.3,12.6142,12.2838,0.66086,0.5,0.1,-0.833699
4.4,11.2668,11.7336,-0.93362,0.5,0.1,-0.927061
4.5,9.13798,10.3894,-2.50292,0.5,0.1,-1.17735
4.6,6.39721,8.33446,-3.8745,0.5,0.1,-1.5648
4.7,3.39749,5.78773,-4.78049,0.5,0.1,-2.04285
4.8,2.2036,3.89353,-3.37985,0.5,0.1,-2.38084
4.9,5.02238,4.33891,1.36694,0.5,0.1,-2.24414
5,8.41872,6.26661,4.30422,0.5,0.1,-1.81372
5.1,11.5934,8.83933,5.50819,0.5,0.1,-1.2629
5.2,14.3055,11.5093,5.59249,0.5,0.1,-0.703652
5.3,16.4123,13.9256,4.97334,0.5,0.1,-0.206318
5.4,17.8366,15.8708,3.93166,0.5,0.1,0.186848
5.5,18.5682,17.2288,2.67868,0.5,0.1,0.454716
5.6,18.6677,17.971,1.39345,0.5,0.1,0.594061
5.7,18.271,18.1507,0.24054,0.5,0.1,0.618114
5.8,17.5863,17.8994,-0.626158,0.5,0.1,0.555499
5.9,16.8786,17.4168,-1.07637,0.5,0.1,0.447862
6,16.4205,16.9411,-1.04102,0.5,0.1,0.34376
6.1,16.4063,16.6909,-0.569164,0.5,0.1,0.286843
6.2,16.8655,16.7925,0.146004,0.5,0.1,0.301444
6.3,17.6544,17.2385,0.831686,0.5,0.1,0.384612
6.4,18.5326,17.9048,1.25558,0.5,0.1,0.51017
6.5,19.2582,18.607,1.30242,0.5,0.1,0.640412
6.6,19.647,19.159,0.975969,0.5,0.1,0.738008
6.7,19.5977,19.4153,0.364857,0.5,0.1,0.774494
6.8,19.101,19.2968,-0.391729,0.5,0.1,0.735321
6.9,18.2438,18.8071,-1.12662,0.5,0.1,0.622659
7,17.2099,18.0396,-1.65944,0.5,0.1,0.456715
7.1,16.2678,17.1765,-1.81749,0.5,0.1,0.274966
7.2,15.7184,16.4612,-1.48561,0.5,0.1,0.126405
7.3,15.7816,16.1277,-0.692288,0.5,0.1,0.0571766
7.4,16.4727,16.3031,0.339304,0.5,0.1,0.091107
7.5,17.5899,16.9511,1.27772,0.5,0.1,0.218879
7.6,18.8215,17.8972,1.84856,0.5,0.1,0.403735
7.7,19.8604,18.899,1.9228,0.5,0.1,0.596015
7.8,20.4607,19.7096,1.50205,0.5,0.1,0.74622
7.9,20.4519,20.1181,0.667637,0.5,0.1,0.812984
8,19.7375,19.9684,-0.461889,0.5,0.1,0.766795
8.1,18.2887,19.1669,-1.75642,0.5,0.1,0.591153
8.2,16.1377,17.6819,-3.08831,0.5,0.1,0.282322
8.3,13.3703,15.5402,-4.33977,0.5,0.1,-0.151656
8.4,10.1189,12.8219,-5.40618,0.5,0.1,-0.692273
8.5,6.56175,9.65723,-6.19097,0.5,0.1,-1.31137
8.6,2.9965,6.26129,-6.5296,0.5,0.1,-1.96433
8.7,1.80666,3.93576,-4.25821,0.5,0.1,-2.39015
8.8,4.84411,4.27043,1.14736,0.5,0.1,-2.27541
8.9,7.89539,5.96914,3.85251,0.5,0.1,-1.89016
9,10.4672,8.12364,4.68703,0.5,0.1,-1.42146
9.1,12.4107,10.1961,4.42923,0.5,0.1,-0.978537
9.2,13.6431,11.8707,3.5448,0.5,0.1,-0.624057
9.3,14.1289,12.9686,2.32066,0.5,0.1,-0.391991
9.4,13.8775,13.4035,0.94814,0.5,0.1,-0.297177
9.5,12.9393,13.1565,-0.434455,0.5,0.1,-0.340622
9.6,11.4008,12.2616,-1.72168,0.5,0.1,-0.51279
9.7,9.37787,10.7941,-2.83245,0.5,0.1,-0.796036
9.8,7.00745,8.86097,-3.70705,0.5,0.1,-1.16674
9.9,4.43797,6.59114,-4.30632,0.5,0.1,-1.59737
10,1.8199,4.12565,-4.6115,0.5,0.1,-2.05852
10.1,0.703792,2.31179,-3.216,0.5,0.1,-2.38012
10.2,3.0059,2.53984,0.932114,0.5,0.1,-2.28691
10.3,4.98231,3.64673,2.67116,0.5,0.1,-2.0198
10.4,6.55704,5.00089,3.11229,0.5,0.1,-1.70857
10.5,7.68545,6.25775,2.85541,0.5,0.1,-1.42303
10.6,8.35518,7.23531,2.23973,0.5,0.1,-1.19905
10.7,8.58499,7.8502,1.46958,0.5,0.1,-1.05209
10.8,8.42196,8.08347,0.67697,0.5,0.1,-0.984396
10.9,7.93743,7.96123,-0.0476079,0.5,0.1,-0.989157
11,7.22284,7.54258,-0.639474,0.5,0.1,-1.0531
11.1,6.38669,6.91198,-1.05058,0.5,0.1,-1.15816
11.2,5.55346,6.17481,-1.2427,0.5,0.1,-1.28243
11.3,4.86202,5.45429,-1.18455,0.5,0.1,-1.40089
11.4,4.449,4.8816,-0.865205,0.5,0.1,-1.48741
11.5,4.39669,4.56478,-0.336169,0.5,0.1,-1.52102
11.6,4.67955,4.54611,0.266877,0.5,0.1,-1.49434
11.7,5.19067,4.79368,0.793991,0.5,0.1,-1.41494
11.8,5.81458,5.23338,1.1624,0.5,0.1,-1.2987
11.9,6.46039,5.78195,1.35688,0.5,0.1,-1.16301
12,7.05719,6.36142,1.39154,0.5,0.1,-1.02386
12.1,7.54261,6.90082,1.28357,0.5,0.1,-0.895498
12.2,7.85679,7.33403,1.04552,0.5,0.1,-0.790947
12.3,7.94246,7.5987,0.68752,0.5,0.1,-0.722195
12.4,7.74899,7.63773,0.222514,0.5,0.1,-0.699943
12.5,7.23833,7.40303,-0.329408,0.5,0.1,-0.732884
12.6,6.39154,6.86064,-0.938209,0.5,0.1,-0.826705
12.7,5.21634,5.99715,-1.56164,0.5,0.1,-0.982868
12.8,3.76209,4.83048,-2.13678,0.5,0.1,-1.19655
12.9,2.19512,3.45297,-2.5157,0.5,0.1,-1.44812
13,1.46197,2.38507,-1.84619,0.5,0.1,-1.63274
13.1,2.84654,2.53417,0.624748,0.5,0.1,-1.57026
13.2,4.8113,3.59422,2.43416,0.5,0.1,-1.32684
13.3,6.76909,5.11532,3.30756,0.5,0.1,-0.996089
13.4,8.53616,6.77593,3.52046,0.5,0.1,-0.644043
13.5,9.98847,8.35,3.27694,0.5,0.1,-0.316349
13.6,11.0295,9.67393,2.71114,0.5,0.1,-0.0452351
13.7,11.5901,10.6297,1.92064,0.5,0.1,0.146829
13.8,11.6329,11.1387,0.988508,0.5,0.1,0.24568
13.9,11.1586,11.1609,-0.0046854,0.5,0.1,0.245211
14,10.2118,10.6986,-0.973621,0.5,0.1,0.147849
14.1,8.89331,9.80335,-1.82008,0.5,0.1,-0.0341584
14.2,7.3853,8.59262,-2.41464,0.5,0.1,-0.275622
14.3,6.01,7.28753,-2.55505,0.5,0.1,-0.531127
14.4,5.28492,6.25967,-1.94949,0.5,0.1,-0.726076
14.5,5.63295,5.91001,-0.554112,0.5,0.1,-0.781488
14.6,6.81857,6.32522,0.986715,0.5,0.1,-0.682816
14.7,8.28483,7.27088,2.02789,0.5,0.1,-0.480027
14.8,9.63766,8.43027,2.41478,0.5,0.1,-0.238548
14.9,10.6551,9.53074,2.24866,0.5,0.1,-0.0136826
15,11.2188,10.3741,1.68941,0.5,0.1,0.155259
15.1,11.2841,10.8368,0.894456,0.5,0.1,0.244704
15.2,10.873,10.8671,0.0116453,0.5,0.1,0.245869
15.3,10.0805,10.4861,-0.811256,0.5,0.1,0.164743
15.4,9.09178,9.79717,-1.41078,0.5,0.1,0.0236651
15.5,8.20411,9.00182,-1.59543,0.5,0.1,-0.135878
15.6,7.79956,8.3939,-1.18867,0.5,0.1,-0.254745
15.7,8.15527,8.26185,-0.213155,0.5,0.1,-0.27606
15.8,9.20621,8.72023,0.97197,0.5,0.1,-0.178863
15.9,10.6306,9.66648,1.92828,0.5,0.1,0.0139645
16,12.0979,10.8829,2.42999,0.5,0.1,0.256963
16.1,13.3703,12.1394,2.46171,0.5,0.1,0.503134
16.2,14.3049,13.2473,2.11513,0.5,0.1,0.714647
16.3,14.8413,14.08,1.52253,0.5,0.1,0.8669
16.4,14.9971,14.5819,0.830404,0.5,0.1,0.949941
16.5,14.8677,14.7723,0.190784,0.5,0.1,0.969019
16.6,14.623,14.7461,-0.246235,0.5,0.1,0.944396
16.7,14.4867,14.6636,-0.353857,0.5,0.1,0.90901
16.8,14.6799,14.7172,-0.0746307,0.5,0.1,0.901547
16.9,15.3338,15.0705,0.52641,0.5,0.1,0.954188
17,16.4267,15.7963,1.26075,0.5,0.1,1.08026
17.1,17.8002,16.8523,1.89583,0.5,0.1,1.26985
17.2,19.2296,18.1044,2.2503,0.5,0.1,1.49488
17.3,20.4894,19.3716,2.23548,0.5,0.1,1.71842
17.4,21.3889,20.4662,1.84545,0.5,0.1,1.90297
17.5,21.786,21.2213,1.12952,0.5,0.1,2.01592
17.6,21.5907,21.5068,0.16782,0.5,0.1,2.0327
17.7,20.7646,21.2373,-0.9454,0.5,0.1,1.93816
17.8,19.3189,20.375,-2.1123,0.5,0.1,1.72693
17.9,17.3094,18.9285,-3.23833,0.5,0.1,1.4031
18,14.8321,16.9505,-4.2367,0.5,0.1,0.97943
18.1,12.018,14.5332,-5.03041,0.5,0.1,0.476389
18.2,9.03227,11.8066,-5.54861,0.5,0.1,-0.0784717
18.3,6.09706,8.94789,-5.70167,0.5,0.1,-0.648639
18.4,3.6427,6.26286,-5.24033,0.5,0.1,-1.17267
18.5,2.88452,4.51506,-3.26108,0.5,0.1,-1.49878
18.6,4.24354,4.30436,-0.121634,0.5,0.1,-1.51094
18.7,6.04848,5.10087,1.89521,0.5,0.1,-1.32142
18.8,7.64054,6.30463,2.67181,0.5,0.1,-1.05424
18.9,8.89242,7.54582,2.69321,0.5,0.1,-0.78492
19,9.82276,8.64504,2.35544,0.5,0.1,-0.549376
19.1,10.5189,9.55452,1.92883,0.5,0.1,-0.356493
19.2,11.1033,10.3111,1.58446,0.5,0.1,-0.198047
19.3,11.6974,10.9944,1.40614,0.5,0.1,-0.057433
19.4,12.3823,11.6854,1.39363,0.5,0.1,0.0819304
19.5,13.1706,12.4321,1.477,0.5,0.1,0.22963
19.6,14.007,13.231,1.55186,0.5,0.1,0.384816
19.7,14.7917,14.0306,1.52215,0.5,0.1,0.537031
19.8,15.4143,14.7493,1.33,0.5,0.1,0.670031
