time, running_average(5), position_error, PI_output, smoothed_output, total_output
8.9,4.82088,-3.07451,-3.17996,1.6832,1.49676
9,5.60196,-4.86519,-5.01929,0.00757593,5.01172
9.1,7.48481,-4.92592,-5.12928,-1.27664,6.40592
9.2,9.85209,-3.79097,-4.03224,-1.96554,5.99777
9.3,11.709,-2.41987,-2.68533,-2.14549,4.83082
9.4,12.9055,-0.972048,-1.24724,-1.92092,3.16816
9.5,13.3999,0.46062,0.190039,-1.39318,1.20314
9.6,13.1979,1.79714,1.54453,-0.658754,-0.885776
9.7,12.3449,2.967,2.74406,0.191949,-2.93601
9.8,10.9206,3.91313,3.72932,1.07629,-4.80561
9.9,9.03267,4.59469,4.45683,1.92143,-6.37826
10,6.80879,4.98889,4.90092,2.6663,-7.56722
10.1,4.6694,3.9656,3.91729,2.97905,-6.89634
10.2,3.395,0.389105,0.344679,2.32046,-2.66513
10.3,2.98997,-1.99233,-2.05668,1.22617,0.830511
10.4,3.41379,-3.14325,-3.23904,0.109869,3.12917
10.5,4.5869,-3.09856,-3.22532,-0.723929,3.94925
10.6,6.11718,-2.238,-2.38715,-1.13973,3.52688
10.7,7.23299,-1.352,-1.51466,-1.23347,2.74813
10.8,7.92092,-0.501034,-0.668711,-1.09228,1.76099
10.9,8.197,0.259575,0.0944939,-0.795584,0.701091
11,8.10448,0.881638,0.725373,-0.415345,-0.310028
11.1,7.71078,1.32409,1.18107,-0.0162424,-1.16482
11.2,7.10447,1.55101,1.4235,0.343693,-1.76719
11.3,6.39249,1.53047,1.41826,0.612334,-2.03059
11.4,5.6948,1.2458,1.14605,0.745763,-1.89181
11.5,5.12957,0.732879,0.640456,0.719436,-1.35989
11.6,4.78815,0.108593,0.0172568,0.543891,-0.561148
11.7,4.71559,-0.475084,-0.571171,0.265126,0.306046
11.8,4.9061,-0.908484,-1.01366,-0.0545697,1.06823
11.9,5.30838,-1.15201,-1.26871,-0.358104,1.62681
12,5.84048,-1.21671,-1.34557,-0.604971,1.95054
12.1,6.41309,-1.12952,-1.26967,-0.771146,2.04082
12.2,6.94631,-0.910475,-1.05973,-0.843294,1.90303
12.3,7.37189,-0.570568,-0.725533,-0.813854,1.53939
12.4,7.62961,-0.119383,-0.275542,-0.679276,0.954818
12.5,7.66583,0.427503,0.275619,-0.440552,0.164933
12.6,7.43562,1.04408,0.902639,-0.104754,-0.797885
12.7,6.90753,1.69119,1.56666,0.3131,-1.87976
12.8,6.07146,2.30937,2.20793,0.786807,-2.99474
12.9,4.96068,2.76556,2.69178,1.26305,-3.95483
13,3.80541,2.34344,2.29309,1.52056,-3.81365
13.1,3.09641,0.249872,0.202023,1.19093,-1.39295
13.2,3.01541,-1.7959,-1.8617,0.427769,1.43394
13.3,3.61681,-3.15229,-3.24962,-0.491578,3.7412
13.4,4.88501,-3.65115,-3.78499,-1.31493,5.09992
13.5,6.59031,-3.39816,-3.56598,-1.87769,5.44367
13.6,8.22691,-2.8026,-2.99845,-2.15788,5.15633
13.7,9.58266,-2.0074,-2.22332,-2.17424,4.39756
13.8,10.5554,-1.0775,-1.3042,-1.95673,3.26093
13.9,11.0799,-0.0786514,-0.306137,-1.54408,1.85022
14,11.1246,0.912771,0.694414,-0.984458,0.290045
14.1,10.6973,1.80401,1.6037,-0.33742,-1.26628
14.2,9.85638,2.47108,2.29547,0.320804,-2.61628
14.3,8.73179,2.72179,2.5734,0.883953,-3.45735
14.4,7.55707,2.27214,2.14647,1.19958,-3.34606
14.5,6.6413,1.00835,0.892763,1.12288,-2.01564
14.6,6.22635,-0.592224,-0.71373,0.663726,0.0500043
14.7,6.40626,-1.87857,-2.01886,-0.00692153,2.02579
14.8,7.13179,-2.50588,-2.67123,-0.672998,3.34422
14.9,8.20582,-2.44925,-2.6391,-1.16452,3.80362
15,9.32299,-1.8958,-2.10461,-1.39954,3.50415
15.1,10.2161,-1.06798,-1.28746,-1.37152,2.65898
15.2,10.7337,-0.139243,-0.360116,-1.11867,1.47879
15.3,10.8223,0.741809,0.528354,-0.706915,0.178561
15.4,10.5096,1.41783,1.21855,-0.225548,-0.993003
15.5,9.90667,1.70256,1.52031,0.210917,-1.73123
15.6,9.20977,1.41021,1.24206,0.468703,-1.71076
15.7,8.66624,0.510966,0.347927,0.438509,-0.786435
15.8,8.49139,-0.714824,-0.885012,0.107629,0.777383
15.9,8.79915,-1.83146,-2.01997,-0.42427,2.44424
16,9.5779,-2.51996,-2.73366,-1.00162,3.73528
16.1,10.692,-2.67823,-2.91872,-1.48089,4.39961
16.2,11.922,-2.3829,-2.64721,-1.77247,4.41968
16.3,13.049,-1.79231,-2.07455,-1.84799,3.92254
16.4,13.9223,-1.07484,-1.36782,-1.72795,3.09577
16.5,14.4763,-0.391447,-0.688346,-1.46805,2.15639
16.6,14.7268,0.103816,-0.192045,-1.14905,1.34109
16.7,14.7632,0.27648,-0.0166166,-0.865939,0.882556
16.8,14.7309,0.0509949,-0.241591,-0.709852,0.951444
16.9,14.7982,-0.535559,-0.833501,-0.740764,1.57427
17,15.11,-1.31671,-1.62782,-0.962529,2.59035
17.1,15.7454,-2.05476,-2.38641,-1.3185,3.70491
17.2,16.694,-2.53555,-2.89256,-1.71201,4.60457
17.3,17.8559,-2.63346,-3.01681,-2.03821,5.05502
17.4,19.067,-2.32197,-2.72854,-2.21079,4.93933
17.5,20.1388,-1.6472,-2.07024,-2.17566,4.2459
17.6,20.8969,-0.693762,-1.12374,-1.91268,3.03641
17.7,21.2039,0.439291,0.0137078,-1.43108,1.41737
17.8,20.9698,1.65097,1.2419,-0.762837,-0.479058
17.9,20.1539,2.84454,2.46391,0.0438504,-2.50776
18,18.7631,3.93099,3.58967,0.930305,-4.51998
18.1,16.8486,4.83058,4.53756,1.83212,-6.36968
18.2,14.5021,5.46987,5.23156,2.68198,-7.91354
18.3,11.8578,5.76072,5.58001,3.40649,-8.9865
18.4,9.12444,5.48174,5.35585,3.89383,-9.24968
18.5,6.73491,3.8504,3.76301,3.86113,-7.62414
18.6,5.18002,0.936473,0.858452,3.11046,-3.96891
18.7,4.58326,-1.46522,-1.55789,1.94337,-0.385478
18.8,4.89195,-2.74858,-2.86874,0.740341,2.1284
18.9,5.9419,-2.95052,-3.10018,-0.21979,3.31997
19,7.32955,-2.49321,-2.66781,-0.831794,3.4996
