time,measured_position,estimated_position, error, L1, L2, estimated_velocity
8.3,-6.56076,-0.865268,-11.391,0.5,0.1,-2.91483
8.4,-7.45946,-4.3081,-6.3027,0.5,0.1,-3.5451
8.5,2.90832,-0.877146,7.57093,0.5,0.1,-2.78801
8.6,13.6296,6.23684,14.7856,0.5,0.1,-1.30945
8.7,24.0672,15.0865,17.9613,0.5,0.1,0.48668
8.8,33.5826,24.3589,18.4474,0.5,0.1,2.33142
8.9,41.6032,33.0976,17.0111,0.5,0.1,4.03253
9,47.6538,40.5773,14.1529,0.5,0.1,5.44782
9.1,51.3939,46.258,10.2718,0.5,0.1,6.475
9.2,52.6334,49.7694,5.7279,0.5,0.1,7.04779
9.3,51.3494,50.9118,0.875164,0.5,0.1,7.1353
9.4,47.6882,49.6568,-3.93711,0.5,0.1,6.74159
9.5,41.9494,46.1402,-8.3815,0.5,0.1,5.90344
9.6,34.5693,40.6499,-12.1612,0.5,0.1,4.68732
9.7,26.0787,33.5987,-15.04,0.5,0.1,3.18332
9.8,17.0774,25.4972,-16.8396,0.5,0.1,1.49936
9.9,8.17988,16.9135,-17.4672,0.5,0.1,-0.24736
10,-0.00107065,8.44385,-16.8898,0.5,0.1,-1.93634
10.1,-6.81083,0.719691,-15.061,0.5,0.1,-3.44245
10.2,-9.52072,-4.57263,-9.89617,0.5,0.1,-4.43206
10.3,-6.79219,-5.90402,-1.77634,0.5,0.1,-4.6097
10.4,-5.3878,-5.87639,0.977189,0.5,0.1,-4.51198
10.5,-5.91167,-6.11963,0.415921,0.5,0.1,-4.47039
10.6,-8.25695,-7.41181,-1.69028,0.5,0.1,-4.63942
10.7,-11.2805,-9.57813,-3.40476,0.5,0.1,-4.97989
10.8,-6.2542,-8.16516,3.82192,0.5,0.1,-4.5977
10.9,-0.558663,-4.5918,8.06627,0.5,0.1,-3.79107
11,5.29642,0.162758,10.2673,0.5,0.1,-2.76434
11.1,10.8108,5.34856,10.9245,0.5,0.1,-1.67189
11.2,15.5205,10.3509,10.3391,0.5,0.1,-0.637983
11.3,19.0601,14.6736,8.77296,0.5,0.1,0.239312
11.4,21.1597,17.9286,6.46219,0.5,0.1,0.885532
11.5,21.6913,19.8542,3.6741,0.5,0.1,1.25294
11.6,20.6888,20.3342,0.709311,0.5,0.1,1.32387
11.7,18.3383,19.4024,-2.12831,0.5,0.1,1.11104
11.8,15.0261,17.2698,-4.48737,0.5,0.1,0.662305
11.9,11.3514,14.3437,-5.98463,0.5,0.1,0.0638422
12,8.15603,11.2531,-6.19411,0.5,0.1,-0.555568
12.1,6.40133,8.79943,-4.79619,0.5,0.1,-1.03519
12.2,6.58702,7.64147,-2.10888,0.5,0.1,-1.24608
12.3,8.21194,7.8644,0.695084,0.5,0.1,-1.17657
12.4,10.2389,8.99282,2.49216,0.5,0.1,-0.927352
12.5,11.8094,10.3548,2.90936,0.5,0.1,-0.636416
12.6,12.4195,11.3553,2.1284,0.5,0.1,-0.423576
12.7,11.8413,11.5771,0.528323,0.5,0.1,-0.370744
12.8,10.0722,10.8061,-1.46786,0.5,0.1,-0.51753
12.9,7.30038,9.02738,-3.45398,0.5,0.1,-0.862929
13,3.88105,6.41107,-5.06003,0.5,0.1,-1.36893
13.1,0.403651,3.33891,-5.87052,0.5,0.1,-1.95598
13.2,-2.23885,0.452232,-5.38217,0.5,0.1,-2.4942
13.3,-3.02985,-1.41352,-3.23266,0.5,0.1,-2.81747
13.4,-2.08788,-1.89157,-0.392615,0.5,0.1,-2.85673
13.5,-0.712998,-1.44512,1.46425,0.5,0.1,-2.7103
13.6,0.0687789,-0.823687,1.78493,0.5,0.1,-2.53181
13.7,-0.235274,-0.65607,0.841593,0.5,0.1,-2.44765
13.8,-1.73123,-1.31603,-0.830396,0.5,0.1,-2.53069
13.9,-4.05284,-2.81097,-2.48374,0.5,0.1,-2.77906
14,-5.50583,-4.29736,-2.41696,0.5,0.1,-3.02076
14.1,-3.06845,-3.83394,1.53098,0.5,0.1,-2.86766
14.2,2.38387,-0.868417,6.50458,0.5,0.1,-2.2172
14.3,8.9734,3.94163,10.0635,0.5,0.1,-1.21085
14.4,15.8267,9.82363,12.0062,0.5,0.1,-0.0102338
14.5,22.3973,16.1099,12.5747,0.5,0.1,1.24723
14.6,28.2336,22.2341,11.9989,0.5,0.1,2.44713
14.7,32.9729,27.7259,10.4941,0.5,0.1,3.49654
14.8,36.3249,32.2002,8.24936,0.5,0.1,4.32147
14.9,38.0914,35.3619,5.45906,0.5,0.1,4.86738
15,38.1699,37.0093,2.32124,0.5,0.1,5.0995
15.1,36.5569,37.038,-0.962357,0.5,0.1,5.00327
15.2,33.3459,35.4421,-4.19244,0.5,0.1,4.58402
15.3,28.7115,32.306,-7.18908,0.5,0.1,3.86512
15.4,22.931,27.8118,-9.76148,0.5,0.1,2.88897
15.5,16.3577,22.2292,-11.743,0.5,0.1,1.71467
15.6,9.48255,15.9416,-12.9181,0.5,0.1,0.422861
15.7,3.138,9.56095,-12.8459,0.5,0.1,-0.861729
15.8,-0.859144,4.30782,-10.3339,0.5,0.1,-1.89512
15.9,-0.00717957,2.05556,-4.12548,0.5,0.1,-2.30767
16,4.31029,3.06754,2.48549,0.5,0.1,-2.05912
16.1,9.35641,6.10902,6.49478,0.5,0.1,-1.40964
16.2,13.9922,9.98012,8.02413,0.5,0.1,-0.60723
16.3,17.8025,13.861,7.88315,0.5,0.1,0.181085
16.4,20.6488,17.2639,6.76968,0.5,0.1,0.858053
16.5,22.5145,19.9321,5.16478,0.5,0.1,1.37453
16.6,23.4788,21.7742,3.40921,0.5,0.1,1.71545
16.7,23.6933,22.8195,1.74763,0.5,0.1,1.89021
16.8,23.3385,23.1735,0.329964,0.5,0.1,1.92321
16.9,22.6153,22.9906,-0.750528,0.5,0.1,1.84816
17,21.7026,22.439,-1.47278,0.5,0.1,1.70088
17.1,20.7112,21.6602,-1.89789,0.5,0.1,1.51109
17.2,19.6583,20.7348,-2.15298,0.5,0.1,1.29579
17.3,18.4757,19.67,-2.38862,0.5,0.1,1.05693
17.4,17.0065,18.3911,-2.76924,0.5,0.1,0.780008
17.5,15.073,16.771,-3.39616,0.5,0.1,0.440392
17.6,12.5194,14.6673,-4.29565,0.5,0.1,0.0108269
17.7,9.23865,11.9535,-5.42968,0.5,0.1,-0.532141
17.8,5.2196,8.55994,-6.68068,0.5,0.1,-1.20021
17.9,0.577498,4.50871,-7.86242,0.5,0.1,-1.98645
18,-4.23645,0.036809,-8.54651,0.5,0.1,-2.8411
18.1,-7.08477,-3.66603,-6.83746,0.5,0.1,-3.52485
18.2,-4.02073,-4.01963,-0.00221157,0.5,0.1,-3.52507
18.3,1.22143,-1.57535,5.59357,0.5,0.1,-2.96571
18.4,6.43379,2.28094,8.30571,0.5,0.1,-2.13514
18.5,11.0125,6.53997,8.9451,0.5,0.1,-1.24063
18.6,14.6246,10.5202,8.20867,0.5,0.1,-0.419765
18.7,17.0438,13.761,6.56556,0.5,0.1,0.236791
18.8,18.1448,15.9648,4.36011,0.5,0.1,0.672802
18.9,17.9186,16.9753,1.88657,0.5,0.1,0.861459
19,16.4757,16.7686,-0.585783,0.5,0.1,0.80288
19.1,14.0579,15.4534,-2.79103,0.5,0.1,0.523778
